filter_idx,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
0,262144000.0,0.1,2.9,0.0026990619022554,200.0,0.1,2.9,4.282471107991124e-16,0.0026990619022554,200.0,256000
1,262144000.0,0.1,2.7,0.0015653847159696,100.0,0.11,2.3,6.84294782740047e-14,0.001504427760643079,100.0,864000
2,262144000.0,0.1,2.8,0.0018328198307472,100.0,0.09,3.0,5.396207626338507e-19,0.0016104211732369533,75.0,729000
3,262144000.0,0.1,2.7,0.0025982945549073,200.0,0.09,2.9,3.2636082308056715e-19,0.0021009077911441354,150.0,432000
4,262144000.0,0.1,2.6,0.0037531313596047,200.0,0.1,2.5,6.256161518435623e-17,0.0032208182849998643,175.0,182250
5,262144000.0,0.1,2.2,0.0036491343015713,200.0,0.1,2.1,3.5010970679821906e-17,0.0032104009208142603,175.0,182250
6,262144000.0,0.1,1.8,0.0045803426087419,200.0,0.09,2.1,1.0955200633273443e-19,0.004231202206812057,175.0,108000
7,262144000.0,0.1,3.2,0.0028619512892254,200.0,0.1,2.9,5.402551595272217e-16,0.002172460073338267,150.0,384000
8,262144000.0,0.1,2.8,0.0025309154716277,200.0,0.09,3.0,1.0451089279280173e-18,0.002129667412419011,150.0,410062
9,262144000.0,0.1,2.6,0.0024719224839302,100.0,0.1,2.8,2.1837026782407485e-16,0.001987482605318447,125.0,486000
10,262144000.0,0.1,2.7,0.002466231100911,200.0,0.1,2.3,4.1044535828237015e-16,0.001830288591374372,150.0,576000
11,262144000.0,0.1,2.4,0.0034965803687864,200.0,0.09,2.6,3.8461019952104303e-19,0.002415053351059848,150.0,324000
12,262144000.0,0.1,2.0,0.0028441432119177,200.0,0.09,2.4,1.8709619020352725e-19,0.0028044747386528623,200.0,243000
13,262144000.0,0.1,2.0,0.0048229601842907,200.0,0.09,2.2,8.658748300891755e-20,0.003828876322696073,150.0,128000
14,262144000.0,0.1,2.8,0.0014514892883913,50.0,0.1,3.0,3.105127581007897e-16,0.00119150426583281,75.0,1296000
15,262144000.0,0.1,3.0,0.0019388957500224,100.0,0.1,2.8,2.874775418626867e-16,0.0016991143035380851,75.0,648000
16,262144000.0,0.1,2.4,0.0024784981902773,100.0,0.09,2.8,9.912565034627885e-19,0.001593773030082235,100.0,768000
17,262144000.0,0.1,2.3,0.0019047248672517,100.0,0.11,1.9,5.5165372288891655e-14,0.0016280689250152136,100.0,729000
18,262144000.0,0.1,2.5,0.004147405786374,200.0,0.09,2.6,1.9925308782222623e-19,0.0027406403763134413,125.0,256000
19,262144000.0,0.1,1.7,0.006181056819461,200.0,0.11,1.6,6.259393582760249e-15,0.0054082351040629535,275.0,64000
20,262144000.0,0.1,1.6,0.0079514944659811,200.0,0.11,1.5,1.8630775360225806e-15,0.006099578425746044,275.0,48000
21,262144000.0,0.1,2.8,0.0027269195718757,200.0,0.09,3.1,1.2626989318278226e-18,0.002424016342223792,175.0,324000
22,262144000.0,0.1,3.2,0.0014474828052921,100.0,0.09,3.5,2.680989766442173e-19,0.0014362574971240744,75.0,864000
23,262144000.0,0.1,2.5,0.0012761176584265,100.0,0.1,2.3,6.423814892273744e-16,0.0011707977472567022,75.0,1296000
24,262144000.0,0.1,2.2,0.002324342563442,100.0,0.09,2.5,9.50709568767074e-19,0.0020823752862068057,75.0,432000
25,262144000.0,0.1,2.1,0.0033145862252985,100.0,0.09,2.5,3.0797300594826724e-19,0.0031269608835685636,100.0,192000
26,262144000.0,0.1,1.6,0.0049062921244755,100.0,0.11,1.5,1.2731160687440085e-14,0.003949054229780376,150.0,121500
27,262144000.0,0.1,2.0,0.0059459131897406,200.0,0.09,2.4,1.426012675449748e-20,0.005366289716809913,200.0,64000
28,262144000.0,0.1,2.7,0.0021382188933354,100.0,0.09,3.0,1.5176825166548082e-18,0.002013297708712225,75.0,461319
29,262144000.0,0.1,3.2,0.001437717880221,100.0,0.1,3.2,1.1773164271171106e-16,0.001437717880221,100.0,864000
30,262144000.0,0.1,2.2,0.0021754783537923,100.0,0.09,2.6,1.4210311354430096e-18,0.0016296357388503324,100.0,729000
31,262144000.0,0.1,2.2,0.0025708923063505,100.0,0.09,2.5,9.47825588633057e-19,0.0020479918106340866,75.0,432000
32,262144000.0,0.1,2.1,0.0050723765269382,200.0,0.11,1.9,1.2390626606956195e-14,0.004315581022167609,250.0,96000
33,262144000.0,0.1,1.3,0.0068389639877269,200.0,0.09,1.7,4.709038308611095e-19,0.00576937471605532,225.0,54000
34,262144000.0,0.1,1.4,0.0110818486517518,200.0,0.1,1.5,1.7289266022446773e-17,0.008889785364760039,275.0,24000
35,262144000.0,0.2,0.7,0.0029493574108973,200.0,0.19,0.8,2.3665951107569894e-05,0.0029247393221925044,200.0,216000
36,262144000.0,0.1,3.0,0.0020552634371946,100.0,0.11,2.7,2.4928584716983475e-14,0.001827448482081051,125.0,576000
37,262144000.0,0.1,2.5,0.0035994154597955,200.0,0.09,2.8,8.090775633605809e-19,0.002851389607041825,150.0,216000
38,262144000.0,0.1,2.1,0.0033853345793137,200.0,0.09,2.4,1.1376659090370593e-18,0.0030241314004036957,175.0,192000
39,262144000.0,0.1,1.6,0.0065451730082695,200.0,0.12,1.3,2.258428926857528e-12,0.004636647252372117,300.0,86494
40,262144000.0,0.1,1.4,0.0061774380087221,200.0,0.09,1.8,3.6899252064888382e-19,0.005649954881467301,225.0,60750
41,262144000.0,0.1,1.4,0.0092948180860225,200.0,0.1,1.5,2.0402978852482796e-17,0.007806643987828821,275.0,32000
