band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,2229190.8,2229190.8,1904047.0,1752198.6,1634615.9,1542814.5,1396472.4,1279981.8,1183282.1,1100234.5,1027725.3,852794.06,0.0120780515281044,0.0136897161741169,0.0142576498003174,0.0152716980463298,0.0177538553844793,0.0206609736015255,0.0239197622215389,0.0275248645882369,0.0312932882230987,0.0353493324997979,0.0478109878651276,0.016516093788497943,0.014941207610390861,0.013769627796241635,0.0127381026157658,0.011457492442801642,2229190.8,,,,
5,867467.25,867467.25,771051.0,723367.6,689126.94,661780.25,617231.44,580686.8,549025.25,521644.72,497617.47,437886.0,0.0055966693632492,0.0065247878409749,0.0077869564848481,0.0095147756831647,0.0101131508466398,0.0129111630364977,0.0153737136763592,0.0176389701678337,0.0197696745744011,0.021553178700367,0.0276423721070958,0.010045735400245684,0.008596286556183101,0.0070127393930604215,0.0061335986908985785,0.0055966693632492626,,,,,
8,297809.22,297809.22,270823.4,256984.02,247242.7,239332.88,226924.45,217102.25,208852.36,201528.75,194849.89,178047.12,0.007937266969267,0.007660655097342,0.0054671216441897,0.0062916328594923,0.0076566776195173,0.0082467623129998,0.0093457601924926,0.0106790480411366,0.0118716590129203,0.013101998409192,0.0163554106764834,0.007788204783062427,0.006948919376992907,0.006112108925663481,0.005172213170861598,0.004635749843896142,256984.02,0.005161300265476398,0.005645491907712574,,
11,93437.62,93437.62,85910.59,81869.59,78774.305,76427.7,72840.75,70110.25,67870.016,65950.836,64262.25,59999.188,0.0039405650050362,0.0048472845289985,0.0039827189643313,0.0035328833848938,0.005576218022013,0.0041597126942494,0.004908490252972,0.0053837303356105,0.0062712176387182,0.0070308777502911,0.0092275325816574,0.004323229700784536,0.004094626935279587,0.003450353130250508,0.0031511323075861485,0.0026248575323002676,78774.305,0.0029029016737064373,0.00296840707183893,0.004431442897693594,
14,28372.748,28372.748,25208.139,23596.143,22486.363,21662.469,20456.387,19544.264,18791.115,18153.05,17599.82,16268.914,0.0064347998606775,0.0047278461345557,0.0055861207210834,0.0043860181588432,0.0039872894253737,0.0047607345783229,0.0038129971797942,0.0057016030549707,0.0053813893412073,0.0059559060605197,0.0077540836857654,0.005131796722582984,0.004757839268287944,0.004309680381811804,0.003983255800796743,0.003584698787552229,20456.387,0.003498281348603416,0.0034730286115862707,0.003487457759365098,0.0038845033145773478
17,9490.91,9490.91,8033.516,7311.937,6850.4,6508.65,5991.599,5601.045,5292.449,5037.9106,4822.919,4330.2095,0.0103493983389558,0.0058778622875576,0.0050812100541794,0.0050616568406405,0.0053677876185352,0.0046962799635255,0.0041599199552229,0.0042685328193276,0.0058739270939854,0.0055722126585606,0.0077188709245656,0.005015994995773928,0.004643020582542684,0.004286384726278946,0.003940977926697427,0.0037056250060371054,5991.599,0.003461807649668136,0.003233901813465445,0.004058487956362294,0.0040013282180407506
20,3230.207,3230.207,2618.0618,2337.2312,2147.3687,2001.8976,1786.6576,1628.2134,1503.5673,1403.3625,1320.3566,1136.2849,0.0165315404544901,0.0134348531402236,0.0109013276626005,0.0097817504327006,0.009235265073789,0.0065496393170708,0.0062609833749963,0.0047425611731233,0.0054783838932708,0.0056839879845954,0.0081715592616969,0.006250522733225624,0.005730393741842241,0.005299316756446331,0.004885452493032729,0.004453932815046691,1562.3046,0.004073918247050071,0.005038194476590291,0.00544820657949191,0.005810362992756557
23,1231.518,1231.518,942.13403,809.757,723.79224,660.4327,567.9783,500.05045,448.31342,407.38293,374.57892,306.6064,0.0257006840002316,0.0234593198627912,0.0201242919998548,0.017651763675388,0.018345923333993,0.0151138362476584,0.0126783651688424,0.0109627408947272,0.0097114563340386,0.0088451815803634,0.0090702698405038,0.008127082740007735,0.007729274716713697,0.007590350669222756,0.007086808693579416,0.008490545507019331,360.51666,0.008161030141641046,0.009682551320267963,0.008502705249855858,0.01038809690854925
26,552.4955,552.4955,358.321,296.78568,257.51364,228.15111,187.60257,160.41779,141.02046,126.55384,115.041824,91.904305,0.0356652029810613,0.0271162816193734,0.0264335474703345,0.0247302688060132,0.020525845826567,0.017552025709245,0.0155216634381413,0.0147220359411954,0.0145201697633823,0.0138309924310585,0.0107251991104292,0.011359770694730369,0.010880744000922832,0.010716321656748084,0.0101535547078213,0.01025191090646086,94.922874,0.009637888875811847,0.00990638369432606,0.00976123811187754,0.010996622185501792
29,144.86983,144.86983,50.8819,37.900883,31.874088,28.478157,24.64167,22.3984,20.796854,19.543257,18.507092,16.152674,0.0402375756133024,0.0298726616453635,0.0238227414838805,0.0231273208180859,0.0207190081135775,0.0189414140224577,0.017986360323579,0.0159189144327488,0.01382734194472,0.0149104483369244,0.0124213356822123,0.012570127992046043,0.012609719918639128,0.012229892028910783,0.012015506822894984,0.011832856431309713,16.489103,0.011412391458158533,0.012924792898866388,0.012824071212982568,0.011951797150993482
