filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
0,"(2.0, 0.5, 0.044)",45245.527,35149.957,55858.81,5.495759,3.202812,11.596157,65536000.0,"(2.0, 0.5, 0.044)",0.0083831885820209,0.7,-1.0,52006.70735128664,50.0,44255.62109375,0.0001677585889693,0.0051982322973833,0.9,-1.07,91943.13700272104,25.0,72000,120.7,0.0641326,0.0,103.617,0.038188,0.0,82.4614,0.041306,0.0,0.0
1,"(2.0, 0.5, 0.065)",16159.348,12461.857,20982.104,7.5778446,4.145749,20.6892,65536000.0,"(2.0, 0.5, 0.065)",0.0074206109247074,0.7,-1.1,25185.65276110832,0.0,16159.34765625,0.0001677585889693,0.0059162698663609,0.6,-1.06,16238.341251382688,0.0,54000,63.2762,0.0705393,0.0,54.5003,0.0446508,0.0,42.8369,0.0465225,0.0,0.0
2,"(2.0, 0.5, 0.096)",5922.317,4530.9473,7658.3535,9.172287,4.7529116,22.550383,65536000.0,"(2.0, 0.5, 0.096)",0.0087383160079014,0.7,-1.1,7966.053776136386,200.0,5258.3662109375,0.0001677585889693,0.0075745752302276,0.6,-1.07,5444.97540995103,150.0,32000,35.6116,0.0722581,0.0,30.8291,0.0461151,0.0,24.1598,0.0473147,0.0,0.0
3,"(2.0, 0.5, 0.141)",2186.1821,1604.9816,2941.1536,11.885174,6.001125,31.736656,65536000.0,"(2.0, 0.5, 0.141)",0.0062036747077827,0.4,-1.0,448.0140378050059,0.0,2105.97265625,0.0001677585889693,0.0061915820943369,0.4,-0.99,416.743570802584,25.0,48000,19.9949,0.0727357,0.0,17.4261,0.0466077,0.0,13.5655,0.046823,0.0,0.0
4,"(2.0, 0.5, 0.208)",896.74567,626.0611,1207.4171,14.605139,7.9027953,40.446873,65536000.0,"(2.0, 0.5, 0.208)",0.00637591046611,0.3,-0.9,22.346598559288775,0.0,896.7456665039062,0.0001677585889693,0.0052815901295255,0.35,-1.0,91.45843850500142,0.0,64000,11.6913,0.0730542,0.0,10.2092,0.0474018,0.0,7.8826,0.0471902,0.0,0.0
5,"(2.0, 0.5, 0.306)",319.7792,214.6534,441.71838,17.831026,8.364756,54.4642,65536000.0,"(2.0, 0.5, 0.306)",0.0081445274050377,0.2,-0.7,0.0475861912681942,0.0,319.7792053222656,0.0001677585889693,0.0081240259801588,0.31,-1.0,15.160471254723278,0.0,27000,6.36888,0.0751344,0.0,5.55181,0.0496491,0.0,4.28128,0.0494646,0.0,0.0
6,"(2.0, 0.5, 0.45)",201.8078,138.28255,288.14822,18.420538,9.052644,56.18318,65536000.0,"(2.0, 0.5, 0.45)",0.009421863686051,0.3,-1.0,7.590876741469151,0.0,185.68650817871097,0.0001677585889693,0.0094186425064057,0.31,-1.0,8.803245873340334,50.0,20250,4.82618,0.0777971,0.0,4.21752,0.0522697,0.0,3.25012,0.0516613,0.0,0.0
7,"(2.0, 1.0, 0.044)",62793.043,49965.652,79623.72,6.65773,3.644785,17.155079,65536000.0,"(2.0, 1.0, 0.044)",0.0027298257859973,0.7,-1.0,74946.77658739118,0.0,62793.04296875,0.0001677585889693,0.002405063990934,0.72,-1.0,79051.53589979031,0.0,324000,145.012,0.0583059,0.0,124.718,0.0322369,0.0,99.2505,0.0353807,0.0,0.0
8,"(2.0, 1.0, 0.065)",22699.832,17202.203,29541.355,8.707811,4.3867908,26.46868,65536000.0,"(2.0, 1.0, 0.065)",0.0060867892486823,0.6,-1.0,17649.087182633633,100.0,22699.83203125,0.0001677585889693,0.0035232863073049,0.54,-1.0,14464.08271435783,0.0,144000,77.3982,0.0650686,0.0,66.6522,0.0390513,0.0,52.7221,0.0415162,0.0,0.0
9,"(2.0, 1.0, 0.096)",8380.244,6284.1074,11114.349,10.975516,5.249789,34.063877,65536000.0,"(2.0, 1.0, 0.096)",0.0058466698230214,0.5,-1.0,3934.227294921875,50.0,8380.244140625,0.0001677585889693,0.0039564995528819,0.46,-1.0,3110.4800049710393,0.0,121500,43.4232,0.0683384,0.0,37.4492,0.0423622,0.0,29.4665,0.0442631,0.0,0.0
