filter_idx,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
0,65536000.0,0.8,-1.0,0.0095683954996576,50.0,0.9,-1.05,95379.30683823962,0.00579987607438584,0.0,54000
1,65536000.0,0.7,-1.1,0.0079911653352301,0.0,0.9,-1.13,39808.19799470224,0.0050527996396158015,25.0,72000
2,65536000.0,0.6,-1.1,0.0080708594814853,50.0,0.56,-1.1,5746.94260266802,0.006475629547876172,0.0,45562
3,65536000.0,0.5,-1.1,0.0080681970370492,100.0,0.4,-1.05,572.0664521853395,0.007841802132775647,0.0,30375
4,65536000.0,0.3,-0.9,0.009481085363228,100.0,0.4,-1.07,229.67813837733686,0.00616579381652152,25.0,48000
5,65536000.0,0.3,-1.0,0.0071780197601581,50.0,0.29,-1.0,9.852762423711791,0.006766301051871204,0.0,40500
6,65536000.0,0.2,-0.8,0.0102495646433823,0.0,0.36,-1.1,33.2047475554101,0.00982996077661924,75.0,19219
7,65536000.0,0.8,-1.0,0.0052860338781455,0.0,0.8,-0.98,96706.22825542808,0.0026640229028090934,0.0,256000
8,65536000.0,1.0,-1.1,0.0032808437730976,50.0,0.8,-1.08,43473.41860159661,0.00264540094633281,0.0,256000
9,65536000.0,0.7,-1.1,0.005661472822005,50.0,0.6,-1.07,8302.661552395582,0.004291978408403396,50.0,96000
10,65536000.0,0.4,-1.0,0.0064662293585366,0.0,0.4,-1.01,699.4011896835905,0.004689133030375325,0.0,81000
11,65536000.0,0.3,-0.9,0.0063973970267558,50.0,0.34,-1.0,104.49086554549854,0.003961412425465438,0.0,121500
12,65536000.0,0.3,-1.0,0.0060470829290649,50.0,0.29,-1.0,13.267856779732348,0.006038536475330203,25.0,51256
13,65536000.0,0.3,-1.0,0.0087502104271164,200.0,0.37,-1.1,39.154740479244865,0.008700867378613975,125.0,24000
14,65536000.0,0.9,-1.1,0.0046725914823638,0.0,0.8,-1.09,85249.28327952945,0.004485383804567644,0.0,96000
15,65536000.0,0.6,-1.1,0.0067662811877619,0.0,0.6,-1.1,17277.24491140632,0.006271339535863674,25.0,48000
16,65536000.0,0.5,-1.1,0.009538148247846,50.0,0.4,-1.05,1376.3853123566469,0.007643887641835212,0.0,32000
17,65536000.0,0.3,-1.0,0.011313675820937,0.0,0.3,-0.97,67.77292785587494,0.007647481187690375,0.0,32000
18,65536000.0,0.3,-1.0,0.0071932201649143,50.0,0.24,-0.9,2.859654010726639,0.005827198724525862,0.0,54000
19,65536000.0,0.2,-0.8,0.0061758214646546,0.0,0.23,-0.9,0.7074855962425813,0.0047940944256364415,0.0,81000
20,65536000.0,0.2,-0.9,0.009943813981919,100.0,0.2,-0.93,0.06833162713285669,0.008019653967315188,25.0,28830
21,65536000.0,0.6,-1.0,0.0056509357509479,100.0,0.55,-1.0,35136.51837705102,0.0033444728026341686,0.0,162000
22,65536000.0,0.4,-1.0,0.0068779463461518,0.0,0.41,-1.0,4298.419434379463,0.005763767308225809,0.0,54000
23,65536000.0,0.5,-1.1,0.0110960798571567,200.0,0.4,-1.04,1378.5570648835578,0.008450022439831187,125.0,27000
24,65536000.0,0.2,-0.7,0.0101442590627923,50.0,0.26,-0.9,16.50832600937326,0.007503369701530448,50.0,32000
25,65536000.0,0.2,-0.8,0.0063646054846318,0.0,0.2,-0.79,0.2223682190255869,0.0060117122952396684,0.0,54000
26,65536000.0,0.2,-0.8,0.0053526696873484,50.0,0.2,-0.85,0.12373466628030523,0.004092210852618461,0.0,108000
27,65536000.0,0.2,-0.9,0.0075854674777397,100.0,0.2,-0.93,0.06898117580311453,0.006733989475322222,50.0,40500
28,65536000.0,1.0,-1.1,0.0059920242279195,0.0,0.9,-1.07,83603.49777301433,0.003446720280994575,0.0,162000
29,65536000.0,0.7,-1.1,0.0076663374636423,100.0,0.64,-1.1,18184.597024724648,0.006453846540680097,0.0,45562
30,65536000.0,0.5,-1.1,0.0094744298446752,0.0,0.5,-1.09,3522.395959842368,0.008423139012361691,25.0,27000
31,65536000.0,0.3,-1.0,0.0106639310919,0.0,0.3,-0.97,65.5328495461534,0.00883611899817105,0.0,24000
32,65536000.0,0.2,-0.7,0.0076618584186621,0.0,0.25,-0.9,4.208977091640591,0.0066205631630794765,0.0,40500
33,65536000.0,0.3,-1.0,0.0086833271718445,200.0,0.3,-1.02,11.50146778929901,0.006531020355593095,100.0,45562
34,65536000.0,0.2,-0.9,0.0140800014594687,200.0,0.22,-1.0,0.26409057284994125,0.011554806185718858,100.0,13500
35,65536000.0,0.6,-1.0,0.002713601406011,100.0,0.6,-1.0,38859.465453785226,0.0023680497774462017,75.0,324000
36,65536000.0,0.4,-1.0,0.0045829917065065,0.0,0.42,-1.0,4144.7589999579395,0.004399772247274142,50.0,96000
37,65536000.0,0.3,-0.9,0.0097200077755905,100.0,0.3,-0.94,167.88145782393732,0.006322591957925616,25.0,48000
38,65536000.0,0.2,-0.7,0.0083692645851159,50.0,0.2,-0.76,0.4713191517481942,0.006734129198245009,0.0,40500
39,65536000.0,0.1,0.0,0.00543093717288,0.0,0.13,-0.4,6.3409748227678534e-06,0.004025152296053824,0.0,115327
40,65536000.0,0.2,-0.8,0.0048730180790609,100.0,0.22,-0.9,0.4325601692574221,0.003315118161190178,50.0,162000
41,65536000.0,0.1,-0.4,0.0105958426697176,0.0,0.12,-0.6,3.4120778457986984e-07,0.008121004607193671,0.0,27000
