filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
0,"(2.0, 0.5, 0.044)",49240.44,38882.65,60244.746,4.773906,2.8015614,11.781327,65536000.0,"(2.0, 0.5, 0.044)",0.010135146501411,0.8,-1.0,69880.49417486331,100.0,49240.44140625,0.0001677585889693,0.0063536378637489,0.9,-1.05,97535.71489609858,0.0,48000,130.982,0.0629681,0.0,111.496,0.0379782,0.0,89.1113,0.0417579,0.0,0.0
1,"(2.0, 0.5, 0.065)",17537.885,13703.031,22308.498,6.268736,3.6368756,14.473557,65536000.0,"(2.0, 0.5, 0.065)",0.0067082594955825,0.8,-1.1,32485.832004262003,50.0,17537.884765625,0.0001677585889693,0.005706512750005,0.77,-1.1,31982.063760868677,0.0,54000,68.6672,0.0705041,0.0,58.5425,0.0454174,0.0,46.266,0.0482216,0.0,0.0
2,"(2.0, 0.5, 0.096)",6263.6475,4817.5923,8065.3906,8.682725,4.491842,22.594627,65536000.0,"(2.0, 0.5, 0.096)",0.0077298541541014,0.6,-1.1,6773.259732248865,50.0,5955.54443359375,0.0001677585889693,0.0074673839400794,0.61,-1.1,7034.449454155821,50.0,32000,36.0124,0.0754746,0.0,30.9691,0.0499123,0.0,24.2295,0.0514426,0.0,0.0
3,"(2.0, 0.5, 0.141)",2366.954,1740.6023,3189.223,11.592262,5.991223,32.2453,65536000.0,"(2.0, 0.5, 0.141)",0.0081079295814525,0.5,-1.1,1546.7234293619797,50.0,2366.9541015625,0.0001677585889693,0.0070105947480506,0.4,-1.04,561.1278689496244,0.0,36000,19.6491,0.077946,0.0,17.0442,0.052272,0.0,13.2222,0.052668,0.0,0.0
4,"(2.0, 0.5, 0.208)",947.27313,670.4914,1259.5748,13.660814,7.5809073,37.590374,65536000.0,"(2.0, 0.5, 0.208)",0.0098553809669871,0.3,-0.9,22.044240809610688,50.0,884.6123657226562,0.0001677585889693,0.0062686075722864,0.4,-1.06,226.41142172828435,50.0,48000,11.5869,0.0771101,0.0,10.1077,0.051518,0.0,7.80066,0.0512724,0.0,0.0
5,"(2.0, 0.5, 0.306)",332.079,220.95845,459.92392,18.274677,8.888781,51.722927,65536000.0,"(2.0, 0.5, 0.306)",0.0081800457453037,0.3,-1.0,10.89170910802103,100.0,275.9718017578125,0.0001677585889693,0.0081731645493059,0.4,-1.09,79.65626673808791,150.0,27000,5.97028,0.0788494,0.0,5.19747,0.0537468,0.0,3.9899,0.0533616,0.0,0.0
6,"(2.0, 0.5, 0.45)",206.10092,141.26283,293.74957,18.116974,9.422618,55.211193,65536000.0,"(2.0, 0.5, 0.45)",0.0104241613715064,0.4,-1.1,49.51584535552936,200.0,171.7593536376953,0.0001677585889693,0.0104125242624259,0.39,-1.1,46.08722341148153,150.0,18000,4.52703,0.0818966,0.0,3.94346,0.0567842,0.0,3.02857,0.0561665,0.0,0.0
7,"(2.0, 1.0, 0.044)",69678.76,56125.305,86983.69,5.7447987,3.1338263,17.97694,65536000.0,"(2.0, 1.0, 0.044)",0.0067211100338887,0.8,-1.0,100000.0,0.0,68023.5234375,0.0001677585889693,0.0039164612053869,0.8,-0.99,100000.0,25.0,121500,161.29,0.0552036,0.0,137.852,0.0297533,0.0,110.326,0.0336331,0.0,0.0
8,"(2.0, 1.0, 0.065)",24894.465,19084.355,32298.969,8.052679,3.9124165,27.09439,65536000.0,"(2.0, 1.0, 0.065)",0.0047562295293652,1.2,-1.1,62584.75245254716,200.0,22874.41015625,0.0001677585889693,0.0037197688355641,0.9,-1.08,48709.028108832186,100.0,128000,85.1812,0.0627275,0.0,72.6294,0.0376325,0.0,57.6826,0.0409232,0.0,0.0
9,"(2.0, 1.0, 0.096)",9170.179,6941.103,12031.187,10.351774,5.0993953,37.49296,65536000.0,"(2.0, 1.0, 0.096)",0.0058924835487165,0.7,-1.1,12959.207077170486,100.0,9170.1787109375,0.0001677585889693,0.0045939881557115,0.5,-1.04,5191.450810086902,0.0,91125,44.7952,0.0707354,0.0,38.2604,0.0456101,0.0,30.1545,0.0481286,0.0,0.0
