filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,best_augmented_var,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
0,55335.4,55335.4,53534.945,52317.88,50306.934,0.0104127667034318,0.0093768648036053,0.010081696373832,0.0110696721014059,0.00964741792274093,0.009052421675893263,55335.4,0.008857943259708997,0.008255587191653146,0.008255587191653146,0.008255587191653146,0.007650069884566846,,
1,19047.67,19047.67,18298.377,17796.328,16972.73,0.0068498404724344,0.0075243512288258,0.0072962023438066,0.0091900954972724,0.00616408434815776,0.006434172151808193,18597.37,0.0063253241723488784,0.005517345908666663,0.005591983283592672,,,,
2,6874.3745,6874.3745,6569.198,6363.778,6025.544,0.007514550171571,0.0081458045410632,0.0092147317991077,0.0083852802653547,0.007289545511088055,0.006910970787671666,6692.859,0.007002258846717124,0.006485854019114001,0.007135949777636319,,,,
3,2517.88,2517.88,2375.746,2282.4126,2134.6985,0.0091734429033372,0.0100549185406155,0.0100000490250325,0.0118372280285359,0.008673285196913016,0.008568183603813284,2517.88,0.008262157027907113,0.008200735403760429,0.007212723224030895,,,,
4,960.3864,960.3864,898.0995,858.6069,796.6047,0.0114353535253308,0.0099817681676486,0.0090445588609621,0.0107063074996739,0.007711036517847769,0.008143020137255812,960.3864,0.007787393262230456,0.007416759540289031,0.006802800435680045,0.006368994575897707,0.006823965941403665,0.006409784432961141,0.005809800424967038
5,337.90594,337.90594,312.76904,295.86163,269.77267,0.0075876609863491,0.0075863865835905,0.0082111959306678,0.0103956358300482,0.0075843682442320315,0.007582589742178902,288.5712,0.007583053513954496,0.007583542833551671,0.007584065950090646,0.007586916626273199,0.007585291469476341,,
6,228.0584,228.0584,212.14166,201.41135,184.80809,0.0103399364816842,0.01030820192287,0.0103071029662957,0.011835381653679,0.010298368048351603,0.010297245718356662,228.0584,0.010297689647952801,0.010298151781997722,0.010298635430835423,0.010307633275372319,0.010296362101768208,0.010297000728142991,0.010296053115649184
7,75053.41,75053.41,72229.555,70305.63,67223.23,0.0076524740729044,0.0088900302243952,0.0080703176923226,0.0090443474292358,0.005520168353716957,0.004955763367246124,75053.41,0.005230838338588062,0.005230838338588062,0.004739258092807508,,,,
8,27106.738,27106.738,25870.932,25059.242,23783.564,0.0047476844636136,0.0054040632560931,0.0051484560708546,0.0051426548972515,0.004239193558826959,0.003908796203210829,27106.738,0.0038002949368909356,0.0034258300222187454,0.003147788438383703,,,,
9,9415.743,9415.743,8899.272,8565.491,8054.158,0.0064897093330477,0.006251143147152,0.0071692798132889,0.00622603002507,0.006409201561501782,0.006102048987546405,8565.491,0.0057892832447675735,0.005705032203272342,0.00563180503355111,0.005285947751239473,0.005110273443438618,0.004926012641021771,0.0048136564535794235
