filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
0,"(2.0, 0.5, 0.044)",55335.4,43910.88,67200.02,4.5699615,2.7531323,10.063652,65536000.0,"(2.0, 0.5, 0.044)",0.0093768648036053,0.8,-1.0,80546.67297890273,50.0,55335.3984375,0.00016775858896935606,0.007650069884566846,0.8,-1.02,87144.74669311235,0.0,32000
1,"(2.0, 0.5, 0.065)",19047.67,14847.801,24242.93,6.379718,3.7461853,14.553737,65536000.0,"(2.0, 0.5, 0.065)",0.0068498404724344,0.7,-1.1,29687.337061221348,0.0,18597.369140625,0.00016775858896935606,0.005517345908666663,0.8,-1.11,36883.14615929338,25.0,64000
2,"(2.0, 0.5, 0.096)",6874.3745,5331.145,8745.576,7.939266,4.3367295,17.756517,65536000.0,"(2.0, 0.5, 0.096)",0.007514550171571,0.6,-1.1,7818.248118841711,0.0,6692.85888671875,0.00016775858896935606,0.006485854019114001,0.6,-1.09,7372.6489540262855,25.0,45562
3,"(2.0, 0.5, 0.141)",2517.88,1859.1957,3329.2505,11.032557,5.883101,26.747358,65536000.0,"(2.0, 0.5, 0.141)",0.0091734429033372,0.5,-1.1,1748.5276963975698,0.0,2517.8798828125,0.00016775858896935606,0.007212723224030895,0.4,-1.03,575.0366346298691,0.0,36000
4,"(2.0, 0.5, 0.208)",960.3864,676.8632,1276.1918,13.725231,7.8746805,37.101093,65536000.0,"(2.0, 0.5, 0.208)",0.0090445588609621,0.3,-0.9,21.396192719967534,100.0,960.3864135742188,0.00016775858896935606,0.005809800424967038,0.33,-1.0,68.72342557575622,0.0,54000
5,"(2.0, 0.5, 0.306)",337.90594,225.18547,464.41925,17.73879,8.973111,45.2616,65536000.0,"(2.0, 0.5, 0.306)",0.0075863865835905,0.3,-1.0,11.764615888366976,50.0,288.5711975097656,0.00016775858896935606,0.007582589742178902,0.31,-1.0,13.680925063213486,125.0,32000
6,"(2.0, 0.5, 0.45)",228.0584,158.85674,316.73297,16.143604,8.750346,45.50593,65536000.0,"(2.0, 0.5, 0.45)",0.0103071029662957,0.4,-1.1,60.60489795587418,100.0,228.0583953857422,0.00016775858896935606,0.010296053115649184,0.38,-1.1,54.1501924924677,0.0,18000
7,"(2.0, 1.0, 0.044)",75053.41,60645.383,93151.82,5.436268,3.0624182,13.906753,65536000.0,"(2.0, 1.0, 0.044)",0.0076524740729044,0.6,-0.9,49883.44342710142,0.0,75053.40625,0.00016775858896935606,0.004739258092807508,0.7,-0.95,79798.194889905,0.0,81000
8,"(2.0, 1.0, 0.065)",27106.738,20925.596,34942.887,7.3309393,3.8355412,21.208311,65536000.0,"(2.0, 1.0, 0.065)",0.0047476844636136,0.6,-1.0,23017.23085153556,0.0,27106.73828125,0.00016775858896935606,0.003147788438383703,0.7,-1.05,36722.31258261022,0.0,192000
9,"(2.0, 1.0, 0.096)",9415.743,7166.462,12257.018,9.784062,4.960153,32.249798,65536000.0,"(2.0, 1.0, 0.096)",0.00622603002507,0.8,-1.1,15532.81012541863,200.0,8565.4912109375,0.00016775858896935606,0.0048136564535794235,0.6,-1.05,8357.924033802019,100.0,81000
10,"(2.0, 1.0, 0.141)",3532.9695,2604.554,4874.848,13.656075,6.115617,48.50049,65536000.0,"(2.0, 1.0, 0.141)",0.0044400043418066,0.4,-1.0,724.0110063719042,0.0,3532.9695,0.00016775858896935606,0.0044400043418066,0.4,-1.0,724.0110063719042,0.0,96000
11,"(2.0, 1.0, 0.208)",1327.3878,911.7445,1873.729,16.026598,7.4330707,53.483917,65536000.0,"(2.0, 1.0, 0.208)",0.0044337244665245,0.3,-0.9,33.07805523408685,0.0,1327.3878173828125,0.00016775858896935606,0.0043268466936743355,0.36,-1.0,158.7144786590387,0.0,96000
