filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,best_augmented_var,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
0,4.719855260068468,4.719855260068468,4.350182401891309,4.15245950792495,3.856683886307436,0.0092022984685237,0.0085618794442556,0.0101907095770811,0.0111488964819888,0.008482973773956397,4.719855260068468,0.00845132037362887,0.007825307774934731,0.00822977456883317,0.007993491714614498,0.007591639479446188,0.007169704186136008,,
1,6.792926402496628,6.792926402496628,6.624192853627332,6.532957906563779,6.390287098961491,0.0394499315507729,0.0394553856680313,0.0394523448434311,0.0394418618763039,0.03943001786552108,6.272428137285836,0.03943089660696414,0.03943312422395445,0.03943475996119339,0.039441861876303996,0.0394352416389549,0.039436804984022134,0.03944253819698046,0.03944763463501705
2,5.997147989227726,5.997147989227726,5.492296219868649,5.21490780073165,4.806048982490536,0.0079156748881477,0.0090179128731031,0.0077858985197567,0.0109284688521246,0.0077353817998457655,5.997147989227726,0.0072800621097134435,0.006933437979325774,0.00709638844158722,0.0070055577595496965,0.006300370922461163,0.005803229800384169,0.005763964022182266,0.005367165431359622
3,2.819513795203753,2.819513795203753,2.3735173496556783,2.2008524076192244,1.967046713031191,0.00872348422089,0.0103125458065396,0.0101281296381708,0.0109812938505719,0.009641256719246441,2.819513795203753,0.010479343202496327,0.009738787092455063,0.008164818435657084,0.007349920427914866,,,,
4,8.533402003275778,8.533402003275778,7.966326005584828,7.637772964597222,7.121534389729754,0.0140062696761825,0.0147216011668968,0.0150512624018614,0.0159186947630102,0.011972548305985264,8.533402003275778,0.012348405115987449,0.012253299239418425,0.012151432705369947,0.011608533140813115,,,,
5,5.294908418938171,5.294908418938171,4.98207803999719,4.796692693815795,4.507522515942169,0.0107719308347103,0.0133438811226362,0.0139907221576712,0.0136730537182839,0.00986690933066181,5.096961978440263,0.009635869617179826,0.009853160963962881,0.009120157615029323,0.009197465740506006,,,,
6,1.964741217030651,1.964741217030651,1.7691827973562548,1.6821564607573554,1.5563844656098054,0.0100143842765632,0.0090904164608495,0.0111355843179458,0.0094763132055318,0.009385436658618795,1.7691827973562548,0.009215752435362767,0.00885422813507486,0.008403173845737077,0.008236665006277455,0.008399994585149506,0.008373687979561784,,
7,3.2366652431239387,3.2366652431239387,3.132797048361835,3.076589207517944,2.9890200244648004,0.0189672833404582,0.0189704495525889,0.0189629584493589,0.0189639936008791,0.018961897723615118,2.9890200244648004,0.01896260540447353,0.018962687844713277,0.018961979366225068,0.01896295844935897,0.018962615268810545,0.018962163651542963,0.018963182903482145,0.01896363599687184
8,0.2431394095756426,0.2431394095756426,0.2077368265088962,0.1956960394093151,0.1795883636794168,0.0517983733769861,0.0516008351655255,0.0517197135614772,0.0515087821386109,0.05155394805522018,0.17063720401022034,0.05144601458169962,0.051487677383714237,0.0515175409019214,0.05150878213861099,0.051527134364754645,0.051584267766422054,0.0515598037176222,0.05155935112856358
9,2.004116570087946,2.004116570087946,1.6479676094358031,1.517520801257058,1.3447726046568529,0.0113826806983839,0.0144196796194297,0.0109073014284994,0.0146805472666234,0.011570525173795088,2.004116570087946,0.012292518924849949,0.011826521065712033,0.011159680609356841,0.010907301428499494,0.011169497780391002,0.010849813305526174,0.010941419219829052,0.009986801443674989
