filter_idx,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
0,196608000.0,0.3,-0.7,0.0085618794442556,50.0,0.21,-0.4,0.00044956517584045073,0.007169704186136008,0.0,36000
1,196608000.0,0.3,7.4,0.0394418618763039,200.0,0.34,7.0,0.0004343094414561009,0.03943001786552108,300.0,1125
2,196608000.0,0.3,-0.8,0.0077858985197567,100.0,0.27,-0.8,0.04252413415663831,0.005367165431359622,0.0,64870
3,196608000.0,0.1,0.0,0.00872348422089,0.0,0.13,-0.4,1.8310232765031265e-08,0.007349920427914866,0.0,36000
4,196608000.0,0.2,-0.6,0.0140062696761825,0.0,0.23,-0.7,0.007784771418975713,0.011608533140813115,0.0,13500
5,196608000.0,0.3,-0.8,0.0107719308347103,0.0,0.4,-0.96,0.9110321914396345,0.009120157615029323,25.0,22780
6,196608000.0,0.3,-0.8,0.0090904164608495,50.0,0.3,-0.78,0.02867575744256429,0.008236665006277455,50.0,27000
7,196608000.0,1.4,0.1,0.0189629584493589,100.0,1.22,0.3,2.2757410746710693,0.018961897723615118,200.0,5062
8,196608000.0,0.1,4.5,0.0515087821386109,200.0,0.11,4.2,2.2562804869580357e-17,0.05144601458169962,275.0,709
9,196608000.0,0.2,-0.8,0.0109073014284994,100.0,0.13,-0.5,2.2308163184479196e-08,0.009986801443674989,0.0,18000
10,196608000.0,0.3,-0.9,0.0098777700643961,100.0,0.3,-0.92,0.05560353904670521,0.008790202534923242,50.0,24000
11,196608000.0,0.2,-0.6,0.0090479862044169,0.0,0.21,-0.6,0.0002965017351036995,0.008550941068368678,50.0,24000
12,196608000.0,0.1,0.3,0.0068185559133027,0.0,0.12,0.0,1.526057761140342e-10,0.005774659311467922,0.0,54000
13,196608000.0,0.1,0.2,0.0098336354649276,0.0,0.12,-0.1,3.616312319437813e-10,0.008352611298233587,0.0,27000
14,196608000.0,0.2,-0.7,0.0113024096648889,50.0,0.2,-0.75,0.000548934828527472,0.009043286735352596,0.0,22780
15,196608000.0,9.6,4.0,0.0761265739768246,0.0,9.6,4.0,6.853521356697512,0.0761265739768246,0.0,315
16,196608000.0,0.1,0.3,0.0078734129321121,0.0,0.09,0.5,2.2837475063015884e-16,0.006628734764046573,0.0,40500
17,196608000.0,0.2,-0.8,0.0194064251004061,0.0,0.2,-0.75,0.0007652296330982769,0.01687197287125204,75.0,6750
18,196608000.0,0.1,0.2,0.0067841470147257,0.0,0.09,0.4,2.9233915835734487e-16,0.006681462390933313,0.0,40500
19,196608000.0,0.1,9.6,0.0964250990612769,50.0,0.1,9.6,2.203985975956026e-20,0.0964250990612769,50.0,187
20,196608000.0,0.2,-0.4,0.0062672049430357,0.0,0.2,-0.4,0.0002661746403066,0.0062672049430357,0.0,48000
21,196608000.0,17.0,-0.8,0.0177609505184016,0.0,17.0,-0.8,44.92377201505558,0.0177609505184016,0.0,6000
22,196608000.0,0.2,-0.7,0.010363942905038,100.0,0.2,-0.75,0.00041959144191562245,0.008156935148324496,25.0,27000
23,196608000.0,0.2,-0.7,0.0100574228047611,0.0,0.27,-0.9,0.024898756745225587,0.009375694750068497,25.0,20250
24,196608000.0,0.1,0.0,0.0072945904682759,0.0,0.09,0.2,1.3472418313846306e-15,0.0068660266786297885,0.0,40500
25,196608000.0,0.1,-0.2,0.011509302514752,0.0,0.13,-0.5,2.8649100149984693e-08,0.007751380875681266,0.0,30375
26,196608000.0,0.4,-0.8,0.0098253479629885,50.0,0.3,-0.64,0.030099325030932662,0.0081079218926281,0.0,27000
27,196608000.0,0.2,-0.8,0.0136448423220421,200.0,0.2,-0.82,0.000441061800427924,0.010596037622469079,100.0,17085
28,196608000.0,0.1,0.0,0.0075232429425843,0.0,0.1,0.0,4.027895515687276e-13,0.0075232429425843,0.0,34171
29,196608000.0,0.1,1.1,0.0186193865644698,200.0,0.09,1.5,3.239871850974877e-18,0.016681956512136664,300.0,6750
30,196608000.0,0.1,0.0,0.0091117548998994,0.0,0.11,-0.1,1.6978501272101915e-11,0.0073574125649881195,0.0,36000
31,196608000.0,0.1,2.3,0.0109419151523452,0.0,0.09,2.7,2.8082265030042203e-19,0.010787006740961114,0.0,15187
32,196608000.0,0.3,-0.9,0.0117053706579788,50.0,0.25,-0.8,0.007412062854178513,0.010764364994833131,25.0,15187
33,196608000.0,0.1,0.1,0.0055784805435293,0.0,0.1,0.1,1.1262291182313233e-13,0.0055784805435293,0.0,60750
34,196608000.0,0.1,0.0,0.0064227164812715,0.0,0.13,-0.4,1.442489507168662e-08,0.0052121047078097504,0.0,68343
37,196608000.0,3.1,-0.8,0.0302800222675165,0.0,3.1,-0.8,40.27981139844844,0.0302800222675165,0.0,2022
38,196608000.0,0.4,-0.9,0.0093208236592182,50.0,0.38,-0.9,0.6556530373529365,0.007910849253207897,0.0,30375
39,196608000.0,0.1,4.1,0.0168615680369433,200.0,0.11,3.8,6.742307494678031e-16,0.01634049385042169,300.0,6750
40,196608000.0,8.4,0.0,0.0762270746964734,0.0,8.4,0.0,10.49674998961841,0.0762270746964734,0.0,315
41,196608000.0,0.2,-0.6,0.0054372981987919,50.0,0.13,-0.2,3.7229817172724895e-09,0.0034038734459744258,0.0,162000
42,196608000.0,0.2,-0.6,0.0069550581307735,50.0,0.16,-0.4,5.445593727933598e-06,0.006602214156673392,0.0,40500
43,196608000.0,0.3,-0.9,0.012908616535325,100.0,0.27,-0.9,0.021283559431589234,0.009956378258071497,0.0,18000
44,196608000.0,0.1,0.7,0.0127327512869096,50.0,0.09,1.0,7.463289793131161e-17,0.012196563015368742,50.0,12000
45,196608000.0,0.1,1.0,0.0112606535003491,0.0,0.1,1.0,5.026001347918463e-15,0.0112606535003491,0.0,15187
46,196608000.0,0.1,7.8,0.0472510641621136,200.0,0.11,7.4,5.345986191058878e-18,0.047239300132174034,300.0,843
47,196608000.0,0.5,-1.0,0.008648929452517,200.0,0.5,-1.02,2.09565491184385,0.007139388373031186,100.0,36000
48,196608000.0,0.1,0.6,0.0135582450828247,200.0,0.09,0.9,2.5095152246349068e-17,0.012626993605585335,275.0,12000
49,196608000.0,0.2,-0.6,0.0114194460678708,0.0,0.23,-0.7,0.003896304425478423,0.008583390420327922,0.0,24000
50,196608000.0,0.3,-0.8,0.0079205110137818,100.0,0.24,-0.7,0.0035633129666013843,0.006319131793972477,0.0,48000
51,196608000.0,20.0,18.0,0.0445248754028979,0.0,20.0,18.0,8.161797142900758,0.0445248754028979,0.0,948
52,196608000.0,0.9,8.0,0.0682108447298058,200.0,1.11,8.3,0.7403006088683114,0.06820656424614435,300.0,375
53,196608000.0,7.5,-0.7,0.0348641195241414,0.0,7.5,-0.7,3.645890360926398,0.0348641195241414,0.0,1500
54,196608000.0,0.1,0.0,0.0116190651237442,50.0,0.08,0.3,1.890514692416144e-18,0.01116564016094701,0.0,15187
55,196608000.0,0.1,0.3,0.0066141603304598,0.0,0.1,0.3,5.706962806560832e-14,0.0066141603304598,0.0,40500
56,196608000.0,0.3,-0.9,0.010317729277434,100.0,0.29,-0.9,0.10440725812736511,0.008958898807905569,25.0,24000
57,196608000.0,0.2,-0.6,0.0080951715968981,50.0,0.2,-0.61,0.00019124101485613944,0.0075547529871711205,25.0,34171
58,196608000.0,20.0,18.0,0.064705187811317,0.0,20.0,18.0,2.86252755343874,0.064705187811317,0.0,421
59,196608000.0,0.5,-1.0,0.0085542887645686,100.0,0.44,-1.0,1.9143493410988315,0.0051309540497707085,0.0,72000
60,196608000.0,0.1,3.0,0.014913022413258,200.0,0.1,2.9,4.69598643561124e-18,0.014642078653078983,175.0,9000
61,196608000.0,0.1,0.4,0.0075002904608004,0.0,0.1,0.4,3.8702852774288523e-14,0.0075002904608004,0.0,34171
62,196608000.0,0.1,0.5,0.0272565649720633,100.0,0.09,0.7,2.309436122279271e-16,0.027208486155155198,50.0,2530
63,196608000.0,0.1,0.1,0.0092255278168728,0.0,0.11,0.0,6.324863594664925e-12,0.007553656605283732,0.0,34171
