filter_idx,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
0,65536000.0,0.7,-1.0,0.0073447598389238,0.0,0.8,-1.04,88016.61949754371,0.006079837648586897,0.0,48000
1,65536000.0,0.8,-1.1,0.0047385373057283,0.0,0.7,-1.07,27227.371873888354,0.004114517019986885,0.0,108000
2,65536000.0,0.9,-1.1,0.0058678659874629,200.0,0.8,-1.09,13477.354909736468,0.00488205204715686,100.0,81000
3,65536000.0,0.7,-1.1,0.004143303114852,50.0,0.6,-1.08,3251.3013654644083,0.0031215683298183583,0.0,192000
4,65536000.0,0.6,-1.1,0.0042627570931856,50.0,0.56,-1.1,1249.83138636498,0.004256804673579029,0.0,102514
5,65536000.0,0.5,-1.1,0.0094825865263999,200.0,0.98,-1.2,1399.421492700267,0.009466153457965754,225.0,20250
6,65536000.0,0.5,-1.1,0.0103337177804738,100.0,0.81,-1.2,921.1997843812657,0.010303249984476792,25.0,18000
7,65536000.0,0.7,-1.0,0.003522837135545,0.0,0.72,-1.0,91635.66494895703,0.0024427221359299353,0.0,324000
8,65536000.0,0.6,-1.0,0.0030250725293973,0.0,0.63,-1.0,26032.286521113954,0.0020933568084184305,0.0,432000
9,65536000.0,0.5,-1.0,0.0046963908696836,0.0,0.6,-1.04,9997.156368912407,0.002641232991283715,0.0,256000
10,65536000.0,0.5,-1.0,0.0043448264452661,0.0,0.5,-1.01,2134.5764424377703,0.0023343287152373104,0.0,324000
11,65536000.0,0.6,-1.1,0.0038978463472838,50.0,0.6,-1.09,1751.1770200058065,0.002795815867137841,50.0,243000
12,65536000.0,0.5,-1.1,0.0060179491860976,0.0,0.48,-1.1,441.2619633103236,0.006008452349157645,0.0,54000
13,65536000.0,0.8,-1.2,0.0105553796680159,200.0,0.71,-1.2,732.5041167897429,0.010551170843907665,125.0,16000
14,65536000.0,0.6,-1.0,0.0052053122975688,0.0,0.7,-1.03,64333.88612073034,0.003835507975839314,0.0,128000
15,65536000.0,0.5,-1.0,0.004477814815617,0.0,0.5,-1.0,9172.3759765625,0.004477814815617,0.0,96000
16,65536000.0,0.5,-1.0,0.0070128033686358,100.0,0.45,-1.0,2454.419022391464,0.00365121643168842,0.0,144000
17,65536000.0,0.4,-1.0,0.0045394717424434,0.0,0.41,-1.0,669.970116147386,0.0035222557134531873,0.0,144000
18,65536000.0,0.5,-1.1,0.0047582224543221,50.0,0.4,-1.03,282.3947371512717,0.0033459280831713845,0.0,162000
19,65536000.0,0.5,-1.1,0.006861410792979,200.0,0.5,-1.11,354.8801985916231,0.0046453091795309875,100.0,86494
20,65536000.0,0.6,-1.2,0.0102451592452159,200.0,0.5,-1.17,225.47353832945416,0.007906332922692383,125.0,30375
21,65536000.0,0.6,-1.0,0.0048163672714338,50.0,0.5,-0.96,26062.150830217237,0.003677483436716922,0.0,144000
22,65536000.0,0.5,-1.0,0.0044157924762117,100.0,0.4,-0.94,3631.7064557694594,0.0027618621790107545,0.0,256000
23,65536000.0,0.5,-1.0,0.0058557604108295,200.0,0.45,-1.0,2435.188680759986,0.00438829955038289,100.0,96000
24,65536000.0,0.4,-1.0,0.0052590182408992,50.0,0.32,-0.9,131.82713238092413,0.0024750935023694354,0.0,288000
25,65536000.0,0.4,-1.0,0.0025392205280287,50.0,0.39,-1.0,240.62006258763608,0.0023723293048689698,25.0,324000
26,65536000.0,0.5,-1.1,0.0032732355415951,100.0,0.46,-1.1,311.0094064691816,0.0031255100920597467,25.0,192000
27,65536000.0,0.6,-1.2,0.009450793589064,200.0,0.5,-1.17,218.89560193900599,0.0070433318929461475,150.0,36000
28,65536000.0,0.7,-1.0,0.0034777555920898,0.0,0.71,-1.0,57249.77786175537,0.003116921382348009,0.0,192000
29,65536000.0,0.6,-1.0,0.0050968302347091,50.0,0.56,-1.0,12608.970685193204,0.0036556303296345627,0.0,144000
30,65536000.0,0.5,-1.0,0.0034202601786834,0.0,0.5,-1.0,3461.517822265625,0.0034202601786834,0.0,162000
31,65536000.0,0.4,-1.0,0.006619412045793,0.0,0.5,-1.05,1524.968447322734,0.004524482928709661,25.0,91125
32,65536000.0,0.5,-1.1,0.0040097950202839,0.0,0.53,-1.1,928.9065437459946,0.0031070570511074758,25.0,192000
33,65536000.0,0.5,-1.1,0.0066171676835951,100.0,0.44,-1.1,245.94753656130317,0.003958065106925757,0.0,121500
34,65536000.0,0.5,-1.2,0.0110234128668805,100.0,0.4,-1.17,109.02858066135316,0.010133504837900875,0.0,18000
35,65536000.0,0.5,-0.9,0.0028632581151236,100.0,0.47,-0.9,15536.295592080762,0.0016250571058550323,25.0,729000
36,65536000.0,0.4,-0.9,0.0021868986776552,50.0,0.39,-0.9,2569.165484702688,0.0017810664249193753,25.0,576000
37,65536000.0,0.5,-1.0,0.0046919212443915,200.0,0.4,-0.94,1106.8715411694623,0.003444032050818384,100.0,162000
38,65536000.0,0.4,-1.0,0.0030271065513218,50.0,0.3,-0.89,74.73284839969922,0.0017352839639225293,0.0,648000
39,65536000.0,0.4,-1.0,0.0026875816197571,100.0,0.4,-1.02,245.44576535494383,0.0014472520343729034,50.0,864000
40,65536000.0,0.4,-1.1,0.0041573350187297,0.0,0.38,-1.1,145.04726591097355,0.002971331825110224,0.0,216000
41,65536000.0,0.3,-1.1,0.0102426130045744,0.0,0.31,-1.1,22.132111961966125,0.007879596505848227,0.0,30375
