filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group
0,52153.13,41293.8,63351.703,4.5895295,2.767363,8.658168,65536000.0,"(2.0, 0.5, 0.044)"
1,19445.803,15267.077,24628.367,5.863659,3.4811437,13.033057,65536000.0,"(2.0, 0.5, 0.065)"
2,7714.107,6043.032,9730.833,7.0881557,3.8592358,16.072926,65536000.0,"(2.0, 0.5, 0.096)"
3,3096.094,2347.4585,3979.3044,8.659405,4.749448,19.396645,65536000.0,"(2.0, 0.5, 0.141)"
4,1261.2007,930.4138,1607.2511,9.7200985,5.608321,23.154419,65536000.0,"(2.0, 0.5, 0.208)"
5,525.8119,385.7015,683.5661,10.908921,5.890527,25.895,65536000.0,"(2.0, 0.5, 0.306)"
6,351.48444,258.49753,464.54666,10.517778,5.9917593,25.871414,65536000.0,"(2.0, 0.5, 0.45)"
7,74528.445,59965.98,93167.52,5.635832,3.2260888,11.598611,65536000.0,"(2.0, 1.0, 0.044)"
8,27890.346,21676.424,34895.67,6.7905703,3.6312983,15.273127,65536000.0,"(2.0, 1.0, 0.065)"
9,10625.615,8166.0874,13714.582,9.043222,4.588309,30.234829,65536000.0,"(2.0, 1.0, 0.096)"
10,4079.0178,3081.818,5428.3535,10.818388,5.1007094,35.054955,65536000.0,"(2.0, 1.0, 0.141)"
11,1757.257,1261.9061,2364.0747,11.925705,5.8170176,38.79054,65536000.0,"(2.0, 1.0, 0.208)"
12,731.0304,515.5813,994.396,14.114601,6.6073437,41.514282,65536000.0,"(2.0, 1.0, 0.306)"
13,393.4526,292.0861,529.1748,14.538462,7.061204,48.91959,65536000.0,"(2.0, 1.0, 0.45)"
14,50395.01,40328.086,63165.152,6.046918,3.4103124,14.606301,65536000.0,"(3.0, 0.5, 0.044)"
15,18874.373,14493.048,24484.291,7.6128626,4.2087183,19.88412,65536000.0,"(3.0, 0.5, 0.065)"
16,7003.579,5365.82,9128.589,10.228154,5.140794,32.42982,65536000.0,"(3.0, 0.5, 0.096)"
17,2755.617,2014.6864,3721.3176,12.492169,6.2755585,47.274113,65536000.0,"(3.0, 0.5, 0.141)"
18,1250.4196,887.7707,1747.8986,13.643116,6.9785376,45.10332,65536000.0,"(3.0, 0.5, 0.208)"
19,557.48553,413.1001,752.6986,14.427507,7.30582,49.464375,65536000.0,"(3.0, 0.5, 0.306)"
20,285.6177,204.66261,399.00867,14.493071,7.6870594,51.266323,65536000.0,"(3.0, 0.5, 0.45)"
21,57508.56,44040.926,77848.83,9.82793,4.765486,32.864075,65536000.0,"(3.0, 1.0, 0.044)"
22,22854.822,16387.89,31764.883,13.042349,5.549559,41.08552,65536000.0,"(3.0, 1.0, 0.065)"
23,8368.242,6238.4194,12114.152,16.4032,6.8427324,69.56224,65536000.0,"(3.0, 1.0, 0.096)"
24,3410.8313,2350.5735,5150.157,20.247528,7.219859,91.77988,65536000.0,"(3.0, 1.0, 0.141)"
25,1420.3724,983.1407,2134.3276,20.705956,8.275726,79.80651,65536000.0,"(3.0, 1.0, 0.208)"
26,650.17523,448.83148,958.604,21.08689,8.177763,81.205894,65536000.0,"(3.0, 1.0, 0.306)"
27,292.79483,197.76765,441.48557,22.798649,8.552553,99.321365,65536000.0,"(3.0, 1.0, 0.45)"
28,48894.043,39005.258,63864.91,6.911498,2.9389715,27.336803,65536000.0,"(4.0, 0.5, 0.044)"
29,18151.559,13828.525,23143.342,8.231595,4.025433,27.773432,65536000.0,"(4.0, 0.5, 0.065)"
30,6960.643,5207.741,9303.911,11.747753,4.9183345,60.98642,65536000.0,"(4.0, 0.5, 0.096)"
31,2778.9055,1977.8042,4185.728,15.495306,5.7404103,90.55677,65536000.0,"(4.0, 0.5, 0.141)"
32,1210.6433,875.57275,1737.9393,16.508595,6.2248225,95.79696,65536000.0,"(4.0, 0.5, 0.208)"
33,572.4577,409.76407,850.76056,17.494171,6.778893,104.84018,65536000.0,"(4.0, 0.5, 0.306)"
34,282.74603,197.66747,407.89157,17.42131,7.4930024,87.05755,65536000.0,"(4.0, 0.5, 0.45)"
35,57645.94,43070.14,75839.84,11.56703,5.297483,32.421753,65536000.0,"(4.0, 1.0, 0.044)"
36,20408.373,15257.692,31677.396,16.654362,6.1112704,121.12866,65536000.0,"(4.0, 1.0, 0.065)"
37,8413.885,5720.0986,12774.06,22.983448,7.093849,130.38564,65536000.0,"(4.0, 1.0, 0.096)"
38,3081.8123,2072.0095,5112.6865,28.892057,8.807064,183.931,65536000.0,"(4.0, 1.0, 0.141)"
39,1307.6943,877.9839,2064.0452,26.122835,8.557677,129.07455,65536000.0,"(4.0, 1.0, 0.208)"
40,687.1439,429.514,1131.1577,36.28396,9.653627,169.8185,65536000.0,"(4.0, 1.0, 0.306)"
41,283.87637,191.22757,468.07037,30.298016,9.807387,148.89159,65536000.0,"(4.0, 1.0, 0.45)"
