filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
0,"(2.0, 0.5, 0.044)",53968.477,42842.637,65663.234,4.5294194,2.6715407,9.9297285,65536000.0,"(2.0, 0.5, 0.044)",0.007354785186968901,0.8,-1.0,81198.94785498692,0.0,53968.477,0.00016775858896935606
1,"(2.0, 0.5, 0.065)",20821.295,16402.219,26296.404,5.743,3.3426003,14.397355,65536000.0,"(2.0, 0.5, 0.065)",0.0038339913104782353,0.9,-1.1,46660.56770103234,0.0,20821.295,0.00016775858896935606
2,"(2.0, 0.5, 0.096)",7666.59,6005.215,9682.268,7.0840797,3.8446941,16.008696,65536000.0,"(2.0, 0.5, 0.096)",0.0044281594508295274,0.8,-1.1,14162.766920426735,50.0,7343.756,0.00016775858896935606
3,"(2.0, 0.5, 0.141)",3192.9138,2420.7083,4104.833,8.65482,4.7672215,21.822508,65536000.0,"(2.0, 0.5, 0.141)",0.0043648491234128325,0.6,-1.1,3631.3110976798635,0.0,3192.9138,0.00016775858896935606
4,"(2.0, 0.5, 0.208)",1371.6312,1016.4411,1742.1873,9.491283,5.4251094,24.351202,65536000.0,"(2.0, 0.5, 0.208)",0.005394385834461446,0.6,-1.1,1477.7153161887454,50.0,1299.3152,0.00016775858896935606
5,"(2.0, 0.5, 0.306)",537.38885,396.5403,695.8591,10.527098,5.6723113,24.628796,65536000.0,"(2.0, 0.5, 0.306)",0.00925408486860857,0.8,-1.2,1420.7924711686956,0.0,537.38885,0.00016775858896935606
6,"(2.0, 0.5, 0.45)",364.30988,267.56274,482.30508,10.603776,6.072431,26.28648,65536000.0,"(2.0, 0.5, 0.45)",0.01195575124805015,0.8,-1.2,821.215763017494,200.0,310.6099,0.00016775858896935606
7,"(2.0, 1.0, 0.044)",76423.195,61806.156,95057.445,5.32518,3.04286,11.335867,65536000.0,"(2.0, 1.0, 0.044)",0.006107499078419565,0.7,-0.9,70326.058944185,50.0,73572.85,0.00016775858896935606
8,"(2.0, 1.0, 0.065)",28467.82,21926.428,36817.164,7.5978727,3.7405975,19.843456,65536000.0,"(2.0, 1.0, 0.065)",0.0034857642581663795,1.1,-1.1,71116.98126329879,100.0,26213.785,0.00016775858896935606
9,"(2.0, 1.0, 0.096)",11275.832,8693.419,14518.498,8.902124,4.48817,30.616276,65536000.0,"(2.0, 1.0, 0.096)",0.003379431251290633,0.9,-1.1,23113.21740121286,100.0,10313.786,0.00016775858896935606
10,"(2.0, 1.0, 0.141)",4387.605,3319.58,5825.1177,10.531976,5.080832,31.424643,65536000.0,"(2.0, 1.0, 0.141)",0.004529508292325124,0.7,-1.1,6838.437902427029,0.0,4387.605,0.00016775858896935606
11,"(2.0, 1.0, 0.208)",1762.8989,1260.4213,2366.7957,12.330162,5.9805775,43.154724,65536000.0,"(2.0, 1.0, 0.208)",0.00361003210688865,0.6,-1.1,1877.0452096405809,50.0,1650.4352,0.00016775858896935606
12,"(2.0, 1.0, 0.306)",745.6645,528.93805,1012.0757,13.569963,6.4410796,45.177895,65536000.0,"(2.0, 1.0, 0.306)",0.007328930320942284,0.5,-1.1,482.2349124484593,50.0,694.4183,0.00016775858896935606
13,"(2.0, 1.0, 0.45)",384.10773,284.34375,517.42163,14.839424,7.2483044,50.776234,65536000.0,"(2.0, 1.0, 0.45)",0.00981620091418367,0.8,-1.2,831.803956683483,200.0,314.6147,0.00016775858896935606
14,"(3.0, 0.5, 0.044)",51914.2,41686.004,65051.332,5.8377953,3.3291972,16.338778,65536000.0,"(3.0, 0.5, 0.044)",0.005292446901680958,0.7,-1.0,61962.30834835153,0.0,51914.2,0.00016775858896935606
15,"(3.0, 0.5, 0.065)",20121.014,15447.533,26134.682,7.6497793,4.1561832,18.7133,65536000.0,"(3.0, 0.5, 0.065)",0.004826257806363143,0.8,-1.1,38804.28928934166,0.0,20121.014,0.00016775858896935606
16,"(3.0, 0.5, 0.096)",7553.185,5814.3687,9803.293,9.749014,5.0442734,29.01981,65536000.0,"(3.0, 0.5, 0.096)",0.006299935114499333,0.7,-1.1,10111.2655319708,200.0,6487.4814,0.00016775858896935606
17,"(3.0, 0.5, 0.141)",2907.1948,2123.0745,3915.211,12.439499,6.363569,40.227215,65536000.0,"(3.0, 0.5, 0.141)",0.005623666491038126,0.4,-1.0,595.7710817696974,0.0,2907.1948,0.00016775858896935606
18,"(3.0, 0.5, 0.208)",1239.65,877.90393,1748.8369,14.423132,6.8848867,54.33668,65536000.0,"(3.0, 0.5, 0.208)",0.004118865777518549,0.5,-1.1,799.1341484917536,50.0,1150.7532,0.00016775858896935606
19,"(3.0, 0.5, 0.306)",561.3305,413.12927,777.4939,15.390804,7.532159,61.881798,65536000.0,"(3.0, 0.5, 0.306)",0.005568447903122942,0.4,-1.1,168.90497283091682,0.0,561.3305,0.00016775858896935606
20,"(3.0, 0.5, 0.45)",284.76028,202.90848,404.3398,15.329744,7.934065,57.69226,65536000.0,"(3.0, 0.5, 0.45)",0.008983469058535698,0.5,-1.2,296.6252962748209,0.0,284.76028,0.00016775858896935606
21,"(3.0, 1.0, 0.044)",61206.117,46783.438,81083.195,9.796426,5.0349927,25.327528,65536000.0,"(3.0, 1.0, 0.044)",0.0035220374327487036,0.6,-1.0,49063.72441791807,50.0,57780.953,0.00016775858896935606
22,"(3.0, 1.0, 0.065)",22796.803,16514.635,30120.648,11.251803,5.460247,29.790302,65536000.0,"(3.0, 1.0, 0.065)",0.00421723267234253,0.5,-1.0,11398.4013671875,0.0,22796.803,0.00016775858896935606
23,"(3.0, 1.0, 0.096)",9137.883,6802.1636,13172.245,16.35892,7.0332103,61.826324,65536000.0,"(3.0, 1.0, 0.096)",0.0049700280749803705,0.4,-1.0,1872.625213465299,0.0,9137.883,0.00016775858896935606
24,"(3.0, 1.0, 0.141)",3432.6167,2363.0771,5119.747,18.990582,7.5552025,76.0019,65536000.0,"(3.0, 1.0, 0.141)",0.004919393509625045,0.3,-0.9,85.53964658051478,0.0,3432.6167,0.00016775858896935606
25,"(3.0, 1.0, 0.208)",1459.5114,991.5533,2277.9783,23.97234,8.661948,92.116806,65536000.0,"(3.0, 1.0, 0.208)",0.005607093005432273,0.5,-1.1,780.3644816080731,200.0,1123.7249,0.00016775858896935606
26,"(3.0, 1.0, 0.306)",652.549,448.37283,963.86163,22.443838,8.222865,99.75556,65536000.0,"(3.0, 1.0, 0.306)",0.004459014985431331,0.4,-1.1,196.35272260832983,0.0,652.549,0.00016775858896935606
27,"(3.0, 1.0, 0.45)",318.5771,212.19495,486.20966,24.926025,9.167426,110.44149,65536000.0,"(3.0, 1.0, 0.45)",0.009562647515941325,0.5,-1.2,297.7747281392415,50.0,285.86374,0.00016775858896935606
28,"(4.0, 0.5, 0.044)",50571.727,40431.79,65892.164,6.679678,2.8838775,25.129753,65536000.0,"(4.0, 0.5, 0.044)",0.003935709652842623,0.8,-1.0,76088.32506749702,0.0,50571.727,0.00016775858896935606
29,"(4.0, 0.5, 0.065)",18909.94,14231.982,25055.006,9.745888,4.055307,39.57902,65536000.0,"(4.0, 0.5, 0.065)",0.0048881815520838146,1.0,-1.1,42894.99511718751,100.0,17157.998,0.00016775858896935606
30,"(4.0, 0.5, 0.096)",6842.406,5137.359,8976.54,11.165505,4.913157,52.805687,65536000.0,"(4.0, 0.5, 0.096)",0.00622169514405746,0.8,-1.1,11189.504487573475,200.0,5802.0435,0.00016775858896935606
31,"(4.0, 0.5, 0.141)",2787.0925,1992.6383,4351.8726,15.390659,5.7222915,107.20398,65536000.0,"(4.0, 0.5, 0.141)",0.006365773208358461,0.6,-1.1,2819.881639366971,100.0,2479.4458,0.00016775858896935606
32,"(4.0, 0.5, 0.208)",1247.4126,903.2397,1744.5676,15.6654,6.3431206,81.22659,65536000.0,"(4.0, 0.5, 0.208)",0.00522496482196718,0.5,-1.1,800.4604763454863,50.0,1152.6631,0.00016775858896935606
33,"(4.0, 0.5, 0.306)",554.5676,392.87805,842.0141,19.098263,7.0591364,117.15437,65536000.0,"(4.0, 0.5, 0.306)",0.00553965714653204,0.4,-1.1,166.87001519986728,0.0,554.5676,0.00016775858896935606
34,"(4.0, 0.5, 0.45)",266.8606,186.1339,383.85413,17.195349,7.6414614,88.66722,65536000.0,"(4.0, 0.5, 0.45)",0.012925921009288188,0.5,-1.2,244.1055615743001,100.0,234.34134,0.00016775858896935606
35,"(4.0, 1.0, 0.044)",57588.613,42649.195,85053.41,14.231262,5.261082,80.49723,65536000.0,"(4.0, 1.0, 0.044)",0.0026600028464296432,0.5,-0.9,20239.814157196968,50.0,53433.11,0.00016775858896935606
36,"(4.0, 1.0, 0.065)",21983.225,16417.64,33028.25,15.000921,6.192299,66.08119,65536000.0,"(4.0, 1.0, 0.065)",0.002849000988340719,0.5,-1.0,9702.6748046875,100.0,19405.35,0.00016775858896935606
37,"(4.0, 1.0, 0.096)",7936.631,5452.11,11634.319,19.419737,7.0005,89.8065,65536000.0,"(4.0, 1.0, 0.096)",0.004025991213757241,0.4,-1.0,1626.4527968012162,0.0,7936.631,0.00016775858896935606
38,"(4.0, 1.0, 0.141)",3282.5146,2210.4067,5667.2046,30.935406,8.547705,207.98854,65536000.0,"(4.0, 1.0, 0.141)",0.0029800105536333388,0.4,-1.0,598.9093206910161,50.0,2922.5085,0.00016775858896935606
39,"(4.0, 1.0, 0.208)",1444.2435,948.2682,2557.7957,34.89251,8.71456,193.39052,65536000.0,"(4.0, 1.0, 0.208)",0.004323724168814106,0.5,-1.1,747.0371670193143,200.0,1075.7335,0.00016775858896935606
40,"(4.0, 1.0, 0.306)",636.5207,409.50058,1040.0055,28.717112,9.065942,157.45232,65536000.0,"(4.0, 1.0, 0.306)",0.0038602543138211987,0.4,-1.1,170.85811195302415,50.0,567.8215,0.00016775858896935606
41,"(4.0, 1.0, 0.45)",288.79776,194.62756,482.28543,30.239223,9.707455,156.58919,65536000.0,"(4.0, 1.0, 0.45)",0.010582155418118855,0.4,-1.2,138.8238233221514,0.0,288.79776,0.00016775858896935606
