filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,best_augmented_var,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
0,56504.473,56504.473,54652.02,53392.324,51346.043,0.0075330703483261,0.0088385746411496,0.0084582486306559,0.0106173339964216,0.008458248630655904,0.008167907619037518,0.007439166793795554,56504.473,0.007539890699265028,0.007235566100705901,,,,
1,22145.58,22145.58,21335.326,20783.434,19886.79,0.0048838119979243,0.0047999808950324,0.0057193210872327,0.0065665529433861,0.0054980089037506286,0.005638122182967886,0.005319251221922658,22145.58,0.00491066651455252,0.00460724970306068,0.004186919943164558,0.0039869126366373075,,
2,7965.91,7965.91,7621.8726,7395.234,7028.1587,0.0047635077197331,0.0041971091890347,0.0055008019369221,0.0064356782387093,0.005567267905974713,0.005024939961019312,0.004948121661891618,7965.91,0.004592471969837045,0.004197109189034792,0.003728299393797485,0.0035353542974742025,,
3,3231.1143,3231.1143,3074.8015,2972.3262,2806.9988,0.0061921901255846,0.0042097428719335,0.0054519977890011,0.0066511239131452,0.005530763446254805,0.005415136072789539,0.004963190606229961,3231.1143,0.0046315044380614845,0.004209742871933542,0.004185072885861785,0.0038469341106134314,,
4,1328.8243,1328.8243,1261.0203,1216.654,1146.5653,0.0068672840726893,0.0047558713906846,0.0060787456986126,0.0084054734413831,0.0058347752010164955,0.0054490075644301195,0.0049422401652400305,1328.8243,0.005042196453794112,0.004755871390684674,0.004197442775664306,0.0036788753739743774,,
5,550.4279,550.4279,520.2777,500.53418,468.9942,0.0076072430584555,0.0076065929602794,0.0083282684817044,0.0095208840968941,0.007600799626372279,0.0076008803259662305,0.0076000330662176485,550.4279,0.007600115718440326,0.007598959415460627,0.007598513310025923,0.007597274546652266,,
6,346.80435,346.80435,328.27798,315.84244,295.71304,0.0120511917492373,0.012036766306019,0.0120359234149026,0.0120344479565163,0.01203235484175319,0.012032268129196555,0.012032176500816893,291.34604,0.01203208035855119,0.012032435504159777,0.012032348851565455,0.012032261401977606,0.012032175545151458,0.012032093783882258
7,78932.836,78932.836,75959.02,73957.91,70727.92,0.0065137789110688,0.0056310400842158,0.0064521891032897,0.0073198131553448,0.006200493323427758,0.005759083974616143,0.0052071824927509835,78932.836,0.004707959262013853,0.004537210377704992,0.004537210377704992,0.00444832293595776,,
8,30041.525,30041.525,28714.4,27835.287,26443.006,0.003606144662173,0.003890532364519,0.0052022044018237,0.0053959656012696,0.00360950478923594,0.0033671665247796655,0.0028341982704519486,30041.525,0.0025770071208028877,0.002245276341610314,,,,
9,11469.051,11469.051,10903.894,10532.371,9951.948,0.0041307118852355,0.0033444185780878,0.0036572562489367,0.0046614882022128,0.003945789095600283,0.0035673535245066557,0.0031766910637029966,11469.051,0.003075405972374101,0.002751405507012583,0.002926108690383844,0.0022088743851829684,,
10,4462.4434,4462.4434,4197.745,4032.747,3782.1077,0.0037215732862208,0.0059664552725713,0.0045548871967385,0.0049409502936764,0.0032992265015725497,0.00329530997345185,0.002724183226557219,4300.861,0.002146736749513045,0.002845551739359964,,,,
11,1818.1088,1818.1088,1705.3026,1635.9789,1530.5801,0.0035672249069255,0.0043601554498622,0.0050006866138354,0.0052171910551489,0.0035014459319273605,0.0030928936660320483,0.002843914630402629,1749.2196,0.002776004769595386,0.0027776971749269297,,,,
12,762.4244,762.4244,709.2604,677.04407,629.1748,0.0064654907153393,0.0068741326058112,0.0073800583765222,0.0064686543894347,0.006459661144169404,0.0064594464853440225,0.006459236316908812,762.4244,0.006459532882462982,0.006458440153985001,,,,
13,385.89188,385.89188,357.54443,340.04556,314.11975,0.0100293312119056,0.0100273609197349,0.0100260234994332,0.010000987022625,0.009997450671861141,0.009997402565128488,0.00999735189255413,332.77072,0.009997299965388229,0.009997248717771579,0.009997200461159261,0.009997156869416601,0.009997123136518793,0.009997906894175734
14,54611.496,54611.496,52429.86,51020.15,48766.11,0.0050903690952792,0.0068203804528265,0.0080953560582667,0.0085072678484187,0.005887817467986278,0.005518421496971904,0.005487633468855613,54611.496,0.004901821162702873,0.003970172049734072,,,,
15,20051.635,20051.635,19038.158,18424.223,17462.863,0.0057819119535519,0.0063361052490495,0.005280807613646,0.0061853577572411,0.0058867744157407795,0.005566194387692458,0.00519937908391347,20051.635,0.005198706435591893,0.004897050466064833,0.004720763774635095,0.004488866953808013,0.004116951897503718,0.0038222401609221412
16,7543.658,7543.658,7125.291,6868.4023,6467.6113,0.0078716019473543,0.0059439223632338,0.0063672450527143,0.0081959496124036,0.006196788990173632,0.005826566256639132,0.0057210909592324555,7543.658,0.005836185310388042,0.005943922363233822,0.005607746173981194,0.005077255033744843,,
17,3029.6753,3029.6753,2840.8982,2727.9343,2553.753,0.0053231396519451,0.0079857478257991,0.007735765888617,0.0068625918627003,0.00546476365397347,0.00562139238250059,0.004977526601120719,3029.6753,0.005223096445403086,0.00480514474149113,,,,
18,1278.9551,1278.9551,1194.3826,1142.9093,1065.2345,0.0064096404664258,0.0045740578713334,0.0056852139786037,0.0079682144527448,0.005850754530203561,0.005488398901911329,0.0051013831138682075,1278.9551,0.004679641465285305,0.004205837455381833,0.004118074848386666,0.004019899322659351,,
19,570.0337,570.0337,530.9081,507.09195,470.461,0.0072071174529211,0.0106292874983381,0.0086189386606405,0.0070492863828433,0.0067734640744246954,0.006352977004298221,0.005927816521660523,507.09195,0.006200820389468866,0.005833280352779635,0.005348047137213579,0.005371576214175056,0.005199534757790003,0.004922378490864743
20,286.7123,286.7123,266.91534,254.46066,234.79414,0.010888518375716,0.0124301168285804,0.0134763248245174,0.0100684705241427,0.009224101725387679,0.008875332479345854,0.00871631653502486,234.79414,0.00868428674790167,0.008683584443334724,0.008684390477396553,0.008683691345643563,0.008718245866313534,0.008718802795911307
21,64540.363,64540.363,61070.31,58843.605,55316.582,0.0046360890188736,0.0058364599137699,0.0049577079958904,0.0061686580091179,0.003516647704603512,0.0034337010264630097,0.003277686892795506,62423.59,0.002753404315482433,0.003089434864371743,,,,
22,24439.07,24439.07,22909.14,21920.416,20410.244,0.0056028414660244,0.0042604130152475,0.0064461207608099,0.0084585959357862,0.005260396631336983,0.004812217733989543,0.004862203358143455,23517.219,0.004331643875715996,0.004135521339732662,0.0038093366623423996,0.0038528488605766853,,
23,8953.594,8953.594,8324.797,7931.529,7340.158,0.0051419669316059,0.0085139263748194,0.009184627311134,0.0073091872874201,0.004942498391707906,0.004715126115650503,0.004320074142007024,8953.594,0.0038810546254039457,0.0036258567863757807,,,,
24,3573.481,3573.481,3257.9822,3076.1318,2812.253,0.004753536707425,0.0044095566979693,0.0054218095607384,0.0078115129503175,0.005435909147718965,0.005297501038153962,0.004865914189225107,3573.481,0.004395260018711773,0.0038467305028911936,0.004147888903146796,0.0033654261373472077,,
25,1460.1869,1460.1869,1327.7726,1252.9294,1145.3057,0.0049888472543409,0.0065827758596944,0.0045879724500967,0.0074489243335957,0.0049108318344871504,0.004635678507560748,0.004351582657759576,1460.1869,0.0037976102783445764,0.004582702173250214,0.0038964746720210885,0.0033687960104928777,0.0023792017864761456,0.0023420066802099654
26,644.15283,644.15283,583.9031,549.1817,499.8303,0.0051608920523441,0.0096404161927445,0.0081711843154307,0.0062185853195515,0.003724269434306593,0.003548317678057744,0.002887188166340593,644.15283,0.00272487431613494,0.0027247131767750288,,,,
27,297.63724,297.63724,267.2173,250.32854,226.98189,0.0122256374282996,0.0077566726432334,0.0089933555798098,0.0110431463171517,0.007059213059760969,0.007105878843127245,0.007508871348893831,297.63724,0.007567397307592538,0.007302226618954646,0.007107732847726811,0.007005616550320004,,
