filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group
0,56504.473,44910.99,68505.58,4.4635496,2.6625092,8.7798,65536000.0,"(2.0, 0.5, 0.044)"
1,22145.58,17490.322,27941.785,5.559312,3.294965,10.666305,65536000.0,"(2.0, 0.5, 0.065)"
2,7965.91,6234.1777,10095.481,7.1502085,3.8303425,15.639308,65536000.0,"(2.0, 0.5, 0.096)"
3,3231.1143,2453.8948,4167.673,8.567645,4.6815004,22.268137,65536000.0,"(2.0, 0.5, 0.141)"
4,1328.8243,984.11316,1681.465,9.382234,5.4788094,24.889473,65536000.0,"(2.0, 0.5, 0.208)"
5,550.4279,406.7023,713.3895,10.480392,5.5645366,23.63566,65536000.0,"(2.0, 0.5, 0.306)"
6,346.80435,254.86658,454.4991,10.562816,6.136742,23.673801,65536000.0,"(2.0, 0.5, 0.45)"
7,78932.836,63857.81,97946.1,5.3749666,3.0093865,14.306604,65536000.0,"(2.0, 1.0, 0.044)"
8,30041.525,23313.432,37536.09,6.876506,3.6433752,15.1910515,65536000.0,"(2.0, 1.0, 0.065)"
9,11469.051,8900.052,14682.279,8.250266,4.3516183,23.149244,65536000.0,"(2.0, 1.0, 0.096)"
10,4462.4434,3374.4111,5946.2026,10.814595,5.075714,40.132824,65536000.0,"(2.0, 1.0, 0.141)"
11,1818.1088,1310.6132,2446.1787,11.66352,5.6086955,40.47784,65536000.0,"(2.0, 1.0, 0.208)"
12,762.4244,541.1085,1034.1337,13.610855,6.35502,43.26357,65536000.0,"(2.0, 1.0, 0.306)"
13,385.89188,283.89017,523.6054,15.397686,7.341062,51.135696,65536000.0,"(2.0, 1.0, 0.45)"
14,54611.496,43830.477,68225.84,5.8426104,3.3512216,13.24751,65536000.0,"(3.0, 0.5, 0.044)"
15,20051.635,15301.119,26173.47,8.327031,4.237464,31.902897,65536000.0,"(3.0, 0.5, 0.065)"
16,7543.658,5791.975,9827.254,10.051375,5.1577287,31.161493,65536000.0,"(3.0, 0.5, 0.096)"
17,3029.6753,2226.6934,4048.9788,11.869856,6.099657,42.95454,65536000.0,"(3.0, 0.5, 0.141)"
18,1278.9551,912.78687,1790.4606,13.163214,6.759455,46.13346,65536000.0,"(3.0, 0.5, 0.208)"
19,570.0337,423.46823,770.7787,14.327629,7.225086,52.971577,65536000.0,"(3.0, 0.5, 0.306)"
20,286.7123,204.47507,402.80707,15.016447,7.8517394,51.353134,65536000.0,"(3.0, 0.5, 0.45)"
21,64540.363,49467.23,87195.8,9.409001,4.7803283,37.679535,65536000.0,"(3.0, 1.0, 0.044)"
22,24439.07,17615.53,32619.6,11.773681,5.5610085,31.460018,65536000.0,"(3.0, 1.0, 0.065)"
23,8953.594,6787.576,12553.048,13.947937,6.377974,46.95319,65536000.0,"(3.0, 1.0, 0.096)"
24,3573.481,2456.5896,5408.809,19.758526,7.513738,86.421295,65536000.0,"(3.0, 1.0, 0.141)"
25,1460.1869,1014.0151,2200.9016,20.469873,8.118437,79.21844,65536000.0,"(3.0, 1.0, 0.208)"
26,644.15283,444.09998,950.1494,21.628925,8.052745,88.341415,65536000.0,"(3.0, 1.0, 0.306)"
27,297.63724,199.13623,461.9794,25.02184,8.875195,130.113,65536000.0,"(3.0, 1.0, 0.45)"
28,52661.484,41935.332,68760.51,7.222083,2.908855,28.258614,65536000.0,"(4.0, 0.5, 0.044)"
29,19179.664,14357.501,25446.459,10.077302,4.221503,39.123707,65536000.0,"(4.0, 0.5, 0.065)"
30,7389.1016,5530.429,9733.235,11.388264,4.9882026,54.667698,65536000.0,"(4.0, 0.5, 0.096)"
31,2937.0312,2098.5413,4282.121,14.420107,5.6800027,75.537,65536000.0,"(4.0, 0.5, 0.141)"
32,1211.6005,876.56085,1694.5302,15.904488,6.231095,73.17604,65536000.0,"(4.0, 0.5, 0.208)"
33,568.4065,405.28287,833.9084,17.182964,6.882735,86.33892,65536000.0,"(4.0, 0.5, 0.306)"
34,283.11673,197.49237,409.01205,17.404562,7.6313305,90.71602,65536000.0,"(4.0, 0.5, 0.45)"
35,58287.34,43707.965,76399.82,11.168824,5.140559,31.577555,65536000.0,"(4.0, 1.0, 0.044)"
36,21414.965,16082.757,32492.146,14.850756,5.8051095,83.52836,65536000.0,"(4.0, 1.0, 0.065)"
37,8498.877,5852.591,12304.955,18.97387,6.9008064,67.0381,65536000.0,"(4.0, 1.0, 0.096)"
38,3317.6882,2236.2944,5358.334,27.628592,8.728076,167.15974,65536000.0,"(4.0, 1.0, 0.141)"
39,1350.272,913.49713,2110.288,25.219662,8.160243,126.59571,65536000.0,"(4.0, 1.0, 0.208)"
40,669.43933,429.96326,1037.2242,26.914349,9.231152,123.560646,65536000.0,"(4.0, 1.0, 0.306)"
41,272.01816,182.47232,462.20102,31.423466,9.644135,166.41689,65536000.0,"(4.0, 1.0, 0.45)"
