filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
0,"(2.0, 0.5, 0.044)",56504.473,44910.99,68505.58,4.4635496,2.6625092,8.7798,65536000.0,"(2.0, 0.5, 0.044)",0.0075330703483261,0.8,-1.0,85014.51256410714,0.0,56504.47265625,0.00016775858896935606,0.007235566100705901,0.81,-1.0,86642.30247167467,0.0,36000
1,"(2.0, 0.5, 0.065)",22145.58,17490.322,27941.785,5.559312,3.294965,10.666305,65536000.0,"(2.0, 0.5, 0.065)",0.0047999808950324,1.0,-1.1,53338.31542968752,50.0,22145.580078125,0.00016775858896935606,0.0039869126366373075,0.9,-1.09,48362.23222935551,0.0,121500
2,"(2.0, 0.5, 0.096)",7965.91,6234.1777,10095.481,7.1502085,3.8303425,15.639308,65536000.0,"(2.0, 0.5, 0.096)",0.0041971091890347,0.8,-1.1,14699.127614210583,50.0,7965.91015625,0.00016775858896935606,0.0035353542974742025,0.76,-1.1,14238.672769806351,0.0,144000
3,"(2.0, 0.5, 0.141)",3231.1143,2453.8948,4167.673,8.567645,4.6815004,22.268137,65536000.0,"(2.0, 0.5, 0.141)",0.0042097428719335,0.7,-1.1,4792.327319148805,50.0,3231.1142578125,0.00016775858896935606,0.0038469341106134314,0.6,-1.08,3449.780237608164,0.0,128000
4,"(2.0, 0.5, 0.208)",1328.8243,984.11316,1681.465,9.382234,5.4788094,24.889473,65536000.0,"(2.0, 0.5, 0.208)",0.0047558713906846,0.6,-1.1,1434.1623790596984,50.0,1328.8243408203125,0.00016775858896935606,0.0036788753739743774,0.57,-1.1,1334.7021264242387,0.0,144000
5,"(2.0, 0.5, 0.306)",550.4279,406.7023,713.3895,10.480392,5.5645366,23.63566,65536000.0,"(2.0, 0.5, 0.306)",0.0076065929602794,0.5,-1.1,361.3039652506511,50.0,550.4279174804688,0.00016775858896935606,0.007597274546652266,0.46,-1.1,289.256737452799,0.0,32000
6,"(2.0, 0.5, 0.45)",346.80435,254.86658,454.4991,10.562816,6.136742,23.673801,65536000.0,"(2.0, 0.5, 0.45)",0.0120344479565163,0.8,-1.2,781.8302548133944,200.0,291.3460388183594,0.00016775858896935606,0.01203208035855119,0.75,-1.2,705.9953250619402,225.0,12811
7,"(2.0, 1.0, 0.044)",78932.836,63857.81,97946.1,5.3749666,3.0093865,14.306604,65536000.0,"(2.0, 1.0, 0.044)",0.0056310400842158,0.7,-0.9,72606.92831880279,50.0,78932.8359375,0.00016775858896935606,0.00444832293595776,0.7,-0.92,78651.8806883433,0.0,96000
8,"(2.0, 1.0, 0.065)",30041.525,23313.432,37536.09,6.876506,3.6433752,15.1910515,65536000.0,"(2.0, 1.0, 0.065)",0.003606144662173,0.7,-1.0,35856.12968169285,0.0,30041.525390625,0.00016775858896935606,0.002245276341610314,0.7,-1.01,36741.13818236473,0.0,384000
9,"(2.0, 1.0, 0.096)",11469.051,8900.052,14682.279,8.250266,4.3516183,23.149244,65536000.0,"(2.0, 1.0, 0.096)",0.0033444185780878,0.9,-1.1,24435.6494311416,50.0,11469.05078125,0.00016775858896935606,0.0022088743851829684,0.7,-1.07,16404.194808463457,0.0,384000
10,"(2.0, 1.0, 0.141)",4462.4434,3374.4111,5946.2026,10.814595,5.075714,40.132824,65536000.0,"(2.0, 1.0, 0.141)",0.0037215732862208,0.5,-1.0,2231.2216796875,0.0,4300.86083984375,0.00016775858896935606,0.002146736749513045,0.6,-1.05,4196.638265586834,25.0,384000
11,"(2.0, 1.0, 0.208)",1818.1088,1310.6132,2446.1787,11.66352,5.6086955,40.47784,65536000.0,"(2.0, 1.0, 0.208)",0.0035672249069255,0.6,-1.1,2067.74091298502,0.0,1749.2196044921875,0.00016775858896935606,0.002776004769595386,0.6,-1.09,1926.8868962728418,25.0,243000
