filter_idx,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
0,65536000.0,0.8,-1.0,0.0075330703483261,0.0,0.81,-1.0,86642.30247167467,0.007235566100705901,0.0,36000
1,65536000.0,1.0,-1.1,0.0047999808950324,50.0,0.9,-1.09,48362.23222935551,0.0039869126366373075,0.0,121500
2,65536000.0,0.8,-1.1,0.0041971091890347,50.0,0.76,-1.1,14238.672769806351,0.0035353542974742025,0.0,144000
3,65536000.0,0.7,-1.1,0.0042097428719335,50.0,0.6,-1.08,3449.780237608164,0.0038469341106134314,0.0,128000
4,65536000.0,0.6,-1.1,0.0047558713906846,50.0,0.57,-1.1,1334.7021264242387,0.0036788753739743774,0.0,144000
5,65536000.0,0.5,-1.1,0.0076065929602794,50.0,0.46,-1.1,289.256737452799,0.007597274546652266,0.0,32000
6,65536000.0,0.8,-1.2,0.0120344479565163,200.0,0.75,-1.2,705.9953250619402,0.01203208035855119,225.0,12811
7,65536000.0,0.7,-0.9,0.0056310400842158,50.0,0.7,-0.92,78651.8806883433,0.00444832293595776,0.0,96000
8,65536000.0,0.7,-1.0,0.003606144662173,0.0,0.7,-1.01,36741.13818236473,0.002245276341610314,0.0,384000
9,65536000.0,0.9,-1.1,0.0033444185780878,50.0,0.7,-1.07,16404.194808463457,0.0022088743851829684,0.0,384000
10,65536000.0,0.5,-1.0,0.0037215732862208,0.0,0.6,-1.05,4196.638265586834,0.002146736749513045,25.0,384000
11,65536000.0,0.6,-1.1,0.0035672249069255,0.0,0.6,-1.09,1926.8868962728418,0.002776004769595386,25.0,243000
12,65536000.0,0.5,-1.1,0.0064654907153393,0.0,0.48,-1.1,464.0591696659191,0.006458440153985001,0.0,45562
13,65536000.0,0.8,-1.2,0.010000987022625,200.0,0.71,-1.2,742.5575777182299,0.009997123136518793,125.0,18000
14,65536000.0,0.7,-1.0,0.0050903690952792,0.0,0.8,-1.04,90187.1489116849,0.003970172049734072,0.0,121500
15,65536000.0,0.9,-1.1,0.005280807613646,100.0,0.7,-1.07,28679.8732691304,0.0038222401609221412,0.0,128000
16,65536000.0,0.6,-1.1,0.0059439223632338,50.0,0.5,-1.07,4715.965368295199,0.005077255033744843,0.0,72000
17,65536000.0,0.4,-1.0,0.0053231396519451,0.0,0.5,-1.08,1960.1936419311278,0.00480514474149113,0.0,81000
18,65536000.0,0.5,-1.1,0.0045740578713334,50.0,0.4,-1.03,292.08939989078425,0.004019899322659351,0.0,115327
19,65536000.0,0.5,-1.1,0.0070492863828433,200.0,0.6,-1.16,709.7816793188831,0.004922378490864743,100.0,76885
20,65536000.0,0.6,-1.2,0.0100684705241427,200.0,0.58,-1.2,357.0883401426976,0.008683584443334724,200.0,24000
21,65536000.0,0.5,-0.9,0.0046360890188736,0.0,0.6,-0.98,50308.7830856938,0.002753404315482433,25.0,256000
22,65536000.0,0.5,-1.0,0.0042604130152475,50.0,0.49,-1.0,10978.223170981088,0.0038093366623423996,25.0,128000
23,65536000.0,0.4,-1.0,0.0051419669316059,0.0,0.42,-1.0,2290.762181587392,0.0036258567863757807,0.0,144000
24,65536000.0,0.4,-1.0,0.0044095566979693,50.0,0.31,-0.9,113.47225950206513,0.0033654261373472077,0.0,162000
25,65536000.0,0.4,-1.0,0.0045879724500967,100.0,0.35,-1.0,148.92339917668193,0.0023420066802099654,0.0,324000
26,65536000.0,0.4,-1.1,0.0051608920523441,0.0,0.42,-1.1,238.7803038828234,0.0027247131767750288,0.0,256000
27,65536000.0,0.5,-1.2,0.0077566726432334,50.0,0.4,-1.17,122.90821904618174,0.007005616550320004,0.0,36000
28,65536000.0,0.8,-1.0,0.0033568002658474,0.0,0.9,-1.02,97474.74570278166,0.0019006938162668963,0.0,512000
29,65536000.0,1.0,-1.1,0.0055072364976199,200.0,0.8,-1.08,31717.471739875946,0.004851734920507833,100.0,81000
30,65536000.0,0.7,-1.1,0.0056995299837426,50.0,0.6,-1.07,7343.466920768697,0.004768335393300571,25.0,81000
31,65536000.0,0.6,-1.1,0.0054788951580885,50.0,0.5,-1.07,1836.1035571392852,0.0044095841066124075,0.0,96000
32,65536000.0,0.5,-1.1,0.0035142204864395,0.0,0.5,-1.1,841.3892110188804,0.0035142204864395,0.0,144000
33,65536000.0,0.4,-1.1,0.0076192745422955,0.0,0.5,-1.14,435.2409402221364,0.004059632473749963,25.0,108000
34,65536000.0,0.5,-1.2,0.0109853862339898,50.0,0.4,-1.16,111.4053529985683,0.010429954256055751,0.0,17085
35,65536000.0,0.7,-1.0,0.0024184782701031,100.0,0.6,-0.97,42937.08710295233,0.0015721830215269517,50.0,768000
36,65536000.0,0.5,-1.0,0.0031479612649835,0.0,0.5,-0.98,9368.68566912943,0.0022324358824636348,50.0,384000
37,65536000.0,0.4,-1.0,0.0047026561844112,0.0,0.4,-0.97,1434.0753936625133,0.002830476039527907,50.0,243000
38,65536000.0,0.4,-1.0,0.0042889936241625,100.0,0.38,-1.0,473.1801191091769,0.0028859328470359213,50.0,216000
39,65536000.0,0.5,-1.1,0.0047369841207154,100.0,0.35,-1.0,137.71325671153457,0.0011701678186266662,0.0,1296000
40,65536000.0,0.4,-1.1,0.0031917167506147,50.0,0.38,-1.1,158.95169558360595,0.0024454489742777863,0.0,324000
41,65536000.0,0.5,-1.2,0.0097565908099684,200.0,0.5,-1.2,208.6959679921468,0.0097565908099684,200.0,20250
