filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
0,5.587389215930188,3.8854696765530097,13.307503954965169,43.95647187361966,5.678747580566405,345.9882571163552,196608000.0,dual_color,0.0119967973478354,0.2,-0.2,0.0001228524568451,50.0,4.955935473492539,9.685608715247527e-05,0.011840314386687645,0.21,-0.2,0.00025449540905250935,75.0,13500
1,6.54344462754433,5.507460841739875,8.010498046321423,2.2583671425110525,0.2063177838323888,46.51539800985658,196608000.0,misc,0.0112712168347347,5.1,-0.4,12.879053340782228,0.0,6.54344462754433,9.685608715247527e-05,0.0112712168347347,5.1,-0.4,12.879053340782228,0.0,15187
2,6.8420296859164695,4.7405839273687125,16.75817679015462,50.01985619981177,7.108068687822791,371.5865261468234,196608000.0,dual_color,0.0087432943308374,0.3,-0.9,0.1705010644969155,0.0,6.134035465525453,9.685608715247527e-05,0.00657939886665998,0.3,-0.85,0.12683903029164229,50.0,40500
3,4.693403406530854,3.106137918586395,13.01491252600498,80.96009006362998,7.116939891842073,401.3504710206563,196608000.0,single_edge,0.0084304675804613,0.4,-1.0,0.7931569997753334,100.0,4.693403406530854,9.685608715247527e-05,0.005978172579283916,0.3,-0.93,0.1315679620765798,0.0,54000
4,8.801267447485516,6.170590586545867,16.023568849703203,23.75559925136216,7.612705310089319,220.58987792519704,196608000.0,dual_color,0.0109017568637436,0.3,-0.9,0.1940890539843481,100.0,8.801267447485516,9.685608715247527e-05,0.009305712199686789,0.24,-0.8,0.019383815202965927,0.0,20250
5,5.643842373468628,4.1583571030033735,10.20865519947128,19.989688471236125,5.204447451525867,205.4882830036772,196608000.0,dual_color,0.0152612269699415,0.3,-0.8,0.0913711715096651,50.0,5.390905439588583,9.685608715247527e-05,0.014275812954101741,0.26,-0.7,0.018580436001095192,25.0,9000
6,2.878008310835161,2.019895541718755,8.7324904125739,65.38815802481705,5.802812863201114,473.5515563331135,196608000.0,single_edge,0.007415391222011,0.4,-0.9,0.3804635350320753,50.0,2.658097664024081,9.685608715247527e-05,0.007246024635146009,0.4,-0.9,0.39261295339020336,25.0,36000
7,3.4521114675605724,2.926638560172905,5.49520084781665,7.828096427510539,0.6999815665784908,140.43627082647157,196608000.0,inside_out,0.010126921811231,0.3,3.7,0.0001986535408374,50.0,3.2781111213393777,9.685608715247527e-05,0.010126859712254799,0.32,3.5,0.0004982353205525356,75.0,18000
8,0.4191771402520714,0.2865794576150924,1.65569055556916,180.6613150637377,4.794617415814085,590.6137950903698,196608000.0,misc,0.0071220076037209,0.1,2.4,1.5415806648074432e-17,50.0,0.37681222654477053,9.685608715247527e-05,0.006764284048426883,0.09,2.8,2.764089308920118e-20,25.0,40500
9,2.967988228683067,1.9329145066585216,8.063438818355541,82.25650488678856,7.825889898319618,456.4634334910519,196608000.0,multi_edge,0.0115665485066548,0.4,-1.1,0.7188021339227509,100.0,2.967988228683067,9.685608715247527e-05,0.009527066402622283,0.3,-1.03,0.127838877061405,0.0,20250
