band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75
2,232.90454,232.90454,117.460144,94.88787,79.913994,69.11554,54.02234,42.98317,34.317337,27.264038,21.540266,10.115169,0.015908930032478,0.0178518786377259,0.0317927153164589,0.0459918993287591,0.0606191445948535,0.0870561764870297,0.1101790196219776,0.1310455925861413,0.1527851234236276,0.1727780626279615,0.2316433860218829,0.06990847949284662,0.05493519866738561,0.03649497117556866,0.018804923253800787,0.015908930032478064,,,,
7,411.60992,411.60992,305.12646,267.51428,240.61913,219.54774,187.95499,163.48486,143.5535,126.816414,112.750145,80.16652,0.0141167395358543,0.0135926055292863,0.0176419860815936,0.0208780555075113,0.026401001013251,0.0355504753731839,0.0439416940229562,0.0528072401092579,0.0606502934288106,0.0683542733963821,0.0933287675051811,0.03347834938281524,0.029096131893065702,0.023910812578519347,0.018529310539813992,0.01274613970738181,411.60992,0.012287030652620157,,
11,25.455986,25.455986,6.2959666,4.634074,3.8259273,3.3008366,2.5424707,2.0087006,1.6044428,1.2838751,1.0229323,0.5189461,0.035746670506535,0.0179406450964556,0.0315294396469361,0.0465616131509903,0.0589519371474278,0.0825349379717427,0.1070547270098094,0.1271491602691569,0.1453169352201063,0.1679480472818286,0.2382921182060891,0.07939975505320769,0.06664161926526296,0.052060621991001366,0.03361541950508412,0.017940645096455654,,0.09388896692323834,,
16,26.201517,26.201517,12.333666,10.093321,8.676532,7.6071763,6.11281,5.136662,4.4012485,3.821369,3.3327966,2.252399,0.0193709385297491,0.014500901756731,0.0197247748608461,0.0242695853247815,0.0310407525238392,0.046278753686408,0.05827818924183,0.0694823842500411,0.080708436394847,0.0921839507716976,0.1274784142249349,0.04294592104402318,0.034713795352008116,0.025732123724168707,0.019724545589173886,0.014495125932019732,12.333666,0.02177350261063593,,
20,97.35567,97.35567,59.11389,49.0961,41.71098,36.063778,27.630774,21.739538,17.209072,13.740161,10.864891,5.26941,0.012320555184778,0.0235158266721089,0.0359496230907062,0.0493789536607701,0.0615680271848963,0.0866743703069546,0.10889703590502,0.1293395807970702,0.1505678381686535,0.1707118124641077,0.2343673730317481,0.06550084923939214,0.05164964255828906,0.03808633934632676,0.027180286055213707,0.012320555184778037,,,,
23,9.735077,9.735077,4.1567764,3.285903,2.8277826,2.5149586,2.0529587,1.726821,1.4741898,1.2684771,1.1003658,0.74043006,0.0184825316617714,0.0111026385530168,0.0182889706118509,0.0267645267088251,0.0346848133835988,0.0488072557235805,0.0612110379858989,0.0741079883493944,0.0864086578686986,0.0983674138812775,0.1293382004812734,0.04522696963570591,0.037957038073795156,0.029921497556446734,0.020126983896540905,0.010513822815574225,4.1567764,0.02206577541636956,,
26,12.941311,12.941311,6.630273,5.4667673,4.6543202,4.0524063,3.202925,2.6615794,2.2474015,1.9135026,1.6471262,1.082962,0.0084140910978051,0.0131993561770883,0.0158900777638261,0.0211773880179737,0.0266945575376734,0.0370571578438494,0.048612176202881,0.0589255057061107,0.0679869662499874,0.0765183266258782,0.1043740654224437,0.031281913726393724,0.026741277394584873,0.02252533082983077,0.017461061997180782,0.00841409109780511,,,,
29,152.03807,152.03807,112.23112,97.098274,86.93874,78.73514,66.38797,57.096325,49.739017,43.46748,38.17915,26.442434,0.0246795462485781,0.0249796216492429,0.0259532001207057,0.0271748129759508,0.0285482647343875,0.0312456386947146,0.0371045481627604,0.0448768373127219,0.0500164311168104,0.0573386125468352,0.0773289512915799,0.03405873497849406,0.03110728267056259,0.026252732301732293,0.024025466865423062,0.023031991940605345,152.03807,,,
32,4.6955585,4.6955585,2.4615617,1.9906932,1.7247614,1.5331228,1.2617304,1.0603541,0.9064474,0.78198,0.6801336,0.4665683,0.0077542465635935,0.0123119237751184,0.0155788637241907,0.0204085069211045,0.0262026405360538,0.0372747691231055,0.0492895325198147,0.0609237786039079,0.0711798275855758,0.0807730267867053,0.1068519878405776,0.030862356663150896,0.026140298978989826,0.021970467486578632,0.016000656722785278,0.00739199976871574,4.6955585,,,
35,7.1557374,7.1557374,4.3403955,3.6089795,3.1327994,2.7658515,2.2222345,1.8593656,1.5867959,1.3744861,1.1974186,0.8161884,0.0111956194170485,0.0136933708795038,0.0157958988344085,0.0193178745038803,0.0232353404266907,0.0321024144638566,0.0408733970504544,0.0497470491700372,0.0585982911423937,0.0666441957656692,0.0895555115165016,0.029006844117758446,0.025072072160796877,0.021144662970070803,0.016794670083847385,0.010773668523235413,7.1557374,,,
