band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,232.90454,162.11453,339.1701,41.432636,3.8111916,67.74964,1936.0,0.015908930032478,0.1,3.7,7.117349956090086e-16,0.0,232.90454,0.030778420570179734,0.015908930032478,0.1,3.7,7.117349956090086e-16,0.0,7350
7,411.60992,362.87738,468.11087,12.073417,6.8569956,20.417501,5808.0,0.0135926055292863,1.2,-1.0,716.2093887403729,25.0,411.60992431640625,0.017791462992411876,0.012287030652620157,0.76,-1.0,570.098935824176,0.0,12402
11,25.455986,13.670766,45.623543,121.32997,18.839497,191.87726,1936.0,0.0179406450964556,1.2,-0.3,6.693166868573319,25.0,6.2959666,0.030778420570179734,0.0179406450964556,1.2,-0.3,6.693166868573319,25.0,5512
16,26.201517,19.135315,35.715782,56.64782,18.11463,87.31862,3872.0,0.014500901756731,0.4,0.1,0.2570537668626927,25.0,12.33366584777832,0.02178194290533237,0.014495125932019732,0.43,0.0,0.4617428036823022,25.0,8712
20,97.35567,77.18977,124.084015,15.014645,3.2387779,24.531052,1936.0,0.012320555184778,0.1,5.2,2.810671631022208e-17,0.0,97.35567,0.030778420570179734,0.012320555184778,0.1,5.2,2.810671631022208e-17,0.0,12402
23,9.735077,7.354701,12.54041,39.059242,26.552275,51.53159,3872.0,0.0111026385530168,0.7,-0.5,2.0925010608781163,25.0,4.156776428222656,0.02178194290533237,0.010513822815574225,0.69,-0.5,2.017253003692499,25.0,16537
26,12.941311,9.822509,16.96417,54.67561,22.441498,81.43293,4840.0,0.0084140910978051,0.1,1.0,2.7196895736321643e-14,0.0,12.941311,0.019486513147937458,0.0084140910978051,0.1,1.0,2.7196895736321643e-14,0.0,27564
29,152.03807,134.32904,171.3986,15.353937,11.14488,19.546694,7744.0,0.0246795462485781,0.4,-1.1,45.748424415800685,0.0,152.03807067871094,0.015411245499559557,0.023031991940605345,0.5,-1.17,138.77151394551927,0.0,3486
32,4.6955585,3.6371517,6.0389977,45.400753,20.940344,68.9964,4840.0,0.0077542465635935,0.1,1.3,3.714780676955941e-15,0.0,4.695558547973633,0.019486513147937458,0.00739199976871574,0.09,1.6,8.863243964333598e-18,0.0,34884
35,7.1557374,5.607568,9.320236,57.182716,13.195077,99.45977,5808.0,0.0111956194170485,0.1,1.1,1.074156164106393e-14,0.0,7.155737400054932,0.017791462992411876,0.010773668523235413,0.09,1.4,2.5818656979116267e-17,0.0,16537
38,69.772705,60.47646,80.73282,19.48745,11.611683,28.392937,6776.0,0.0230776772870828,2.1,-1.2,170.48487382544727,75.0,37.675667,0.01647369969021179,0.0230776772870828,2.1,-1.2,170.48487382544727,75.0,3388
41,97.09404,84.69685,110.857445,24.575432,17.568161,32.627636,9680.0,0.0260547641720255,0.1,-0.2,4.137737576261173e-11,0.0,97.09403991699219,0.013786299947101946,0.02310188693673209,0.15,-0.7,9.76100899632204e-05,0.0,3630
44,1.9368098,1.5603001,2.4155622,26.372587,10.58912,43.02039,3872.0,0.0113438200730128,0.2,2.8,1.6006962446724817e-07,25.0,1.1368522644042969,0.02178194290533237,0.01131960392158271,0.19,3.0,4.251623687596977e-08,25.0,14701
47,1.7432816,1.4507148,2.1093082,29.025627,12.628968,50.816208,5808.0,0.0074177323146314,0.2,2.9,1.4077198110332817e-07,25.0,1.1111977,0.017791462992411876,0.0074177323146314,0.2,2.9,1.4077198110332817e-07,25.0,33078
50,1.3662819,1.1308482,1.6708695,32.299706,11.631307,56.695156,5808.0,0.0123265337080916,0.1,10.0,1.4887268019449137e-21,25.0,0.8815337,0.017791462992411876,0.0123265337080916,0.1,10.0,1.4887268019449137e-21,25.0,12402
53,0.7821364,0.66272783,0.92478436,14.4364605,5.9437513,21.820505,3872.0,0.0097777520849761,0.2,9.0,1.089031308535608e-09,25.0,0.5227468,0.02178194290533237,0.0097777520849761,0.2,9.0,1.089031308535608e-09,25.0,19602
56,0.55372274,0.47528943,0.64314735,8.02688,4.711393,11.836911,2904.0,0.0125069466857308,9.4,0.4,0.5793579946732872,25.0,0.3707308,0.02514374587310714,0.0125069466857308,9.4,0.4,0.5793579946732872,25.0,12402
59,0.42981556,0.3813053,0.48441482,6.4300575,3.9294448,8.747514,3872.0,0.0104776759523984,1.4,0.6,0.2548591388130227,25.0,0.3193458318710327,0.02178194290533237,0.010453688934509878,1.71,0.3,0.34563930533706927,25.0,16537
62,0.37438095,0.32671028,0.42737356,8.66083,5.3595943,12.158939,3872.0,0.0126200752963986,0.2,6.8,1.701631282323135e-09,25.0,0.26434016,0.02178194290533237,0.0126200752963986,0.2,6.8,1.701631282323135e-09,25.0,11025
