scale,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,kstest_stat_eta0,kstest_stat_best,best_r,best_eta,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
0.3162,0.7904758373939704,0.6829669566358358,0.922651560200412,1.1805926672617622,0.3317850862947662,2.6995398803422987,100000.0,2.4,0.3,0.003230192520669,0.0042930146183294,1.66,0.0051993736574414,0.003230192520669,2.4,0.3,168750.0,0.821331,0.0127641,1.39832e-14,0.727089,0.0184537,5.18404e-30,0.58734,0.0222072,2.84898e-43,0.24715616
0.4833,1.2190515697767184,1.0497231104262186,1.3891083479579758,1.1700107579013783,0.3419237468967103,2.4291734935022977,100000.0,1.46,0.6,0.0019174351102427,0.0042930146183294,1.06,0.0083793512178106,0.0019174351102427,1.46,0.6,506250.0,1.0214,0.0127582,1.44108e-14,0.90139,0.018042,1.04727e-28,0.724271,0.0207661,6.843350000000001e-38,0.85505434
0.7071,1.766919407220206,1.5350659570119072,2.032186942706492,1.1544260427222532,0.3746948050321669,2.244439570328183,100000.0,1.16,0.8,0.0019660367194309,0.0042930146183294,0.84,0.0109956428654733,0.0019660367194309,1.16,0.8,480540.0,1.23161,0.0128255,1.02119e-14,1.08417,0.0174935,5.1693400000000006e-27,0.870805,0.0206462,1.8478600000000001e-37,0.83353542
0.7386,1.8313599958468745,1.607561015689542,2.0891321278406805,1.1745979820973993,0.3292825920187756,3.498762427465318,100000.0,1.14,0.8,0.002404617893609,0.0042930146183294,0.83,0.0106239355675072,0.002404617893609,1.14,0.8,337500.0,1.243,0.0131994,1.45793e-15,1.10291,0.017759,7.94857e-28,0.887026,0.0204928,6.530660000000001e-37,0.6087951
1.0,2.510904216932301,2.163975560506997,2.88362857533112,1.1893164301939887,0.3332975981265428,2.563086419554624,100000.0,1.02,1.1,0.0024201861502772,0.0042930146183294,0.72,0.0139578138795082,0.0024201861502772,1.02,1.1,320359.0,1.45902,0.0128271,1.01284e-14,1.29672,0.0186353,1.34741e-30,1.04312,0.0213253,6.1697400000000006e-40,0.60055046
1.129,2.81690968681408,2.419636665137886,3.240292478767627,1.134521784059066,0.3473288999464007,3.525764352619858,100000.0,0.98,1.2,0.0029954105569256,0.0042930146183294,0.69,0.0155328395313473,0.0029954105569256,0.98,1.2,213573.0,1.55382,0.0131475,1.91661e-15,1.37753,0.0188891,2.00485e-31,1.10962,0.0214129,2.9173500000000003e-40,0.33024506
1.725,4.293771080536949,3.682135466038445,4.9224354557124,1.247802666127802,0.3292094826758206,2.5132659137427,100000.0,0.84,1.3,0.0026374873315628,0.0042930146183294,0.6,0.0173018906478654,0.0026374873315628,0.84,1.3,253125.0,1.9193,0.0132853,9.24891e-16,1.68437,0.0187271,6.78445e-31,1.36288,0.021544,9.45566e-41,0.48904823
2.637,6.598141345167847,5.703404787172231,7.531284895786829,1.2042217095276095,0.3439553234408705,3.311855846635813,100000.0,0.75,1.5,0.0021274729925532,0.0042930146183294,0.53,0.0177049653318388,0.0021274729925532,0.75,1.5,427147.0,2.36823,0.0134976,2.96558e-16,2.08862,0.0173537,1.36986e-26,1.69013,0.0209244,1.82759e-38,0.75511086
4.03,10.133139060128244,8.797776803236413,11.5385630663656,1.2880810757762573,0.3518999345909703,5.224418771348591,100000.0,0.65,1.4,0.0056202386990663,0.0042930146183294,0.48,0.0199200225440138,0.0056202386990663,0.65,1.4,56250.0,2.90751,0.0147601,2.3591500000000003e-19,2.59182,0.018514,3.3189400000000004e-30,2.09873,0.0211947,1.8738600000000003e-39,0.0035955921
6.158,15.464858066817593,13.285058207980102,17.790632746158646,1.1301435415401675,0.3484676976848094,3.757000267189488,100000.0,0.65,2.2,0.0017141459706451,0.0042930146183294,0.44,0.0209346497037236,0.0017141459706451,0.65,2.2,640720.0,3.64784,0.0128845,7.53919e-15,3.20058,0.0175964,2.5103700000000003e-27,2.58047,0.0209555,1.40837e-38,0.93006664
9.412,23.246506762913988,19.86000221939534,26.594510410276985,1.1524434099798508,0.3248301211425025,2.5206462707788293,100000.0,0.58,2.0,0.0035033180688593,0.0042930146183294,0.41,0.02429144162752,0.0035033180688593,0.58,2.0,150000.0,4.45396,0.0127104,1.83845e-14,3.92787,0.0179532,1.9849800000000002e-28,3.17214,0.0208796,2.6582400000000003e-38,0.17127813
14.38,35.84305844960962,31.19904721483133,41.64983065299306,1.1269880086958457,0.333473902141263,2.4264551815317352,100000.0,0.55,2.3,0.0033788041694188,0.0042930146183294,0.38,0.0262968616529251,0.0033788041694188,0.55,2.3,168750.0,5.54271,0.0127047,1.89251e-14,4.91475,0.0190795,4.7207000000000007e-32,3.96894,0.0214991,1.39189e-40,0.20322885
21.98,54.99550266762287,47.08430036744417,63.0133184302225,1.2030450267813482,0.3177207443306564,2.708551946473364,100000.0,0.52,2.5,0.0021185531729502,0.0042930146183294,0.36,0.0296354614311831,0.0021185531729502,0.52,2.5,427147.0,6.84331,0.0130976,2.49063e-15,6.05487,0.0174086,9.351330000000001e-27,4.8257,0.0204619,8.41214e-37,0.75965941
33.6,82.9204885477583,70.73556953721587,94.121589982643,1.1880538773550438,0.3855456178829802,2.650974461346254,100000.0,0.5,2.9,0.0042720762750697,0.0042930146183294,0.34,0.0352284806830365,0.0042720762750697,0.5,2.9,100000.0,8.37969,0.0129471,5.45557e-15,7.54022,0.0196486,5.743040000000001e-34,6.01987,0.0216468,3.88981e-41,0.051826581
51.35,127.79253025005568,109.33989365305813,147.47799136272698,1.1681845233704342,0.3506640115596351,3.661705263341977,100000.0,0.47,2.9,0.0025873997641956,0.0042930146183294,0.32,0.0305540254361549,0.0025873997641956,0.47,2.9,284764.0,10.4102,0.0131333,2.06516e-15,9.23252,0.0177921,6.281380000000001e-28,7.4297,0.0209194,1.90571e-38,0.51398463
78.48,196.16661305554177,168.0599403955681,227.52666189773475,1.1186628789241286,0.2880036459931798,2.742142154895373,100000.0,0.44,2.8,0.0038992095688862,0.0042930146183294,0.3,0.0331331010450467,0.0038992095688862,0.44,2.8,126562.0,12.8678,0.0132733,9.85776e-16,11.3994,0.0174277,8.185910000000001e-27,9.2305,0.021064,5.657310000000001e-39,0.095337579
119.9,300.21116275798755,259.9864210313965,346.4653880086482,1.1645137048021477,0.2934729149192156,2.53428062105465,100000.0,0.41,2.6,0.0050509630128523,0.0042930146183294,0.29,0.0336360084446282,0.0050509630128523,0.41,2.6,75000.0,16.0035,0.0126556,2.42781e-14,14.1269,0.0183535,1.08414e-29,11.3899,0.0214814,1.6207000000000001e-40,0.012122607
