band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,best_scale,kstest_stat_best,n_pval_0.05
2,31800.0,0.26,8.0,0.0036042573437461,0.261,7.96,0.21901919076630602,0.003600952831450288,135831
5,41340.0,0.13,19.0,0.0022629606000763,0.128,19.4,5.515463402131305e-13,0.002212092538303345,397309
8,66780.0,1.04,1.2,0.0030087029919861,1.049,1.18,27514.75240086397,0.0030063380145001206,213934
11,104940.0,0.17,13.0,0.0011607975416541,0.176,12.5,4.956722971236065e-07,0.0011571279021415082,1344745
14,162180.0,0.35,5.8,0.0032339815803291,0.351,5.78,3.0236688492949693,0.0032339560173582083,182452
17,257580.0,0.42,3.9,0.0012974103067698,0.417,3.94,19.32921631093689,0.0012898135283265777,1100247
20,381600.0,0.23,7.7,0.0007548391242012,0.228,7.78,0.000360620853299502,0.0007494995316499331,3259996
23,610560.0,0.19,8.5,0.0015121494634163,0.191,8.44,1.8552782107111657e-06,0.0015042477371726148,825184
26,973080.0,0.13,9.3,0.0032877113328748,0.129,9.36,7.670658804673551e-13,0.0032584522698336227,182452
29,1376940.0,0.08,10.0,0.0094532006425322,0.079,10.1,6.814492919744221e-26,0.009424866577601887,21514
32,419760.0,0.14,18.0,0.0011534252296765,0.134,18.8,1.1850143100478067e-15,0.0011039545942078677,1593775
