band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,164622.75,156708.31,172875.03,1.5730996,1.1551127,2.07445,31800.0
5,89105.41,84883.04,93516.57,1.5012345,1.0109708,2.1425598,41340.0
8,49459.945,47133.05,51857.87,1.4750681,1.0284976,2.0876257,66780.0
11,28516.895,27105.725,29987.748,1.8179421,1.125604,2.9672084,104940.0
14,15809.663,15056.35,16603.172,1.633317,1.06396,2.714023,162180.0
17,8928.17,8495.979,9380.361,1.6748462,1.0774019,3.061004,257580.0
20,4547.4067,4326.058,4780.4346,1.7790294,1.113188,4.0506554,381600.0
23,2160.4749,2054.5764,2273.1846,1.8601742,1.1629676,3.4032485,610560.0
26,900.7158,848.15436,965.5392,4.115283,1.5789286,15.710218,973080.0
29,316.848,290.46594,357.9198,14.169542,3.1071591,60.432312,1376940.0
32,36.040783,34.37498,37.77347,1.3440132,0.8827634,2.3539827,419760.0
