band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0,best_r,best_eta,best_scale,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma,pass_all
2,157269.88,149264.11,165654.39,2.0195932,1.4713491,2.7044363,31800.0,0.54,1.8,4881.907869140449,0.0033631365121993,0.0076105772670922,0.93,26.01391898781926,0.008559724726099,0.538,1.81,4758.50445416887,0.0033560554448992,0.538,1.81,0.0033560554448992,160987,354.051,0.0159097,2.01678e-07,313.807,0.0165229,5.68985e-08,255.195,0.0191431,1.48848e-10,0.86507399,True
5,83422.35,79257.164,87787.93,1.9039826,1.2757837,2.832162,41340.0,0.19,8.9,4.851825283927845e-05,0.0021744728737904,0.0066754871311422,1.67,53.70876698826916,0.0054617306934647,0.191,8.84,5.740764468679415e-05,0.0021662190243704,0.191,8.84,0.0021662190243704,397309,262.91,0.0136523,4.01987e-07,231.525,0.0178714,6.71006e-12,186.687,0.0201312,5.51976e-15,0.98993914,True
8,45610.926,43328.332,47969.348,1.937604,1.3123013,2.8375485,66780.0,0.16,11.0,5.496529134159769e-08,0.0032627935723594,0.0052529256547175,6.0,75.79266909779786,0.0403363271379706,0.155,11.4,1.5158381874669132e-08,0.003262496610835,0.155,11.4,0.003262496610835,169036,193.285,0.0142752,2.99359e-12,171.982,0.0183317,6.337100000000001e-20,138.164,0.0202922,2.56089e-24,0.47488932,True
11,25793.922,24441.889,27232.033,2.370253,1.3658774,4.514517,104940.0,0.18,9.7,2.286282472281135e-06,0.0016967878255895,0.0041907897336608,6.0,75.79266909779786,0.0997284257490887,0.179,9.78,1.8736150277967168e-06,0.001677766987613,0.179,9.78,0.001677766987613,672372,145.415,0.0130431,6.16715e-16,128.663,0.0178971,1.25317e-29,103.635,0.0200984,2.9678600000000003e-37,0.92869862,True
14,14051.502,13346.595,14808.067,2.089291,1.2751459,4.009901,162180.0,0.35,4.6,3.4510521307951945,0.0025441847457668,0.003371320732074,6.0,75.79266909779786,0.16022482660387,0.349,4.62,3.31190261455354,0.0025365864628699,0.349,4.62,0.0025365864628699,273678,107.902,0.0128709,9.126700000000001e-24,95.83,0.0189211,7.241349999999999e-51,77.0999,0.0204552,2.23097e-59,0.24722279,True
17,7919.1426,7515.9673,8348.544,2.1518784,1.2933547,4.513294,257580.0,0.17,10.0,1.1032415409861961e-07,0.0008863783698672,0.0026752851133031,6.0,75.79266909779786,0.212573388388104,0.164,10.4,2.8987665966942882e-08,0.0008384496329479,0.164,10.4,0.0008384496329479,2643573,80.7485,0.0136161,6.547369999999998e-42,71.2726,0.0168844,3.23755e-64,57.181,0.0193485,3.400499999999998e-84,0.9934613,True
20,4052.6973,3844.8557,4287.259,2.4168644,1.2767596,9.097979,381600.0,0.27,5.7,0.0176979530974321,0.0009719501646495,0.0021980660924352,6.0,75.79266909779786,0.2677036629550114,0.27,5.71,0.017611459007018,0.0009351583480399,0.27,5.71,0.0009351583480399,2173330,57.7597,0.0133762,9.778239999999996e-60,50.8649,0.0168027,5.138369999999997e-94,41.0259,0.0194574,6.306279999999997e-126,0.89206153,True
23,1979.6365,1878.4255,2088.579,2.248149,1.3707936,4.596758,610560.0,0.19,8.7,1.270410110452822e-06,0.0010890144776882,0.0017377962858799,6.0,75.79266909779786,0.3175825272113327,0.189,8.76,1.0717637518234432e-06,0.0010733580348678,0.189,8.76,0.0010733580348678,1545480,40.2707,0.0132049,6.623609999999996e-93,35.5279,0.0168254,1.4279199999999992e-150,28.6819,0.0194058,3.6815699999999995e-200,0.48230818,True
26,868.0049,815.8724,934.2969,4.653831,1.6947181,18.998148,973080.0,0.12,13.0,3.016085652950858e-15,0.0017851501276554,0.0013765848003003,5.9,75.74233051045374,0.3649267790349563,0.112,13.8,5.774490857664643e-17,0.0016977292488176,0.112,13.8,0.0016977292488176,615775,26.3327,0.0134734,7.219539999999996e-154,23.2009,0.0165567,3.894989999999999e-232,18.6874,0.0188167,1.02645e-299,0.0073183239,False
29,329.39447,302.9992,371.57492,13.155254,2.838861,66.09846,1376940.0,0.11,11.0,4.943743261132867e-17,0.0046385123850085,0.0011572531101864,5.9,75.74233051045374,0.407773208517477,0.102,11.9,4.061151940926681e-19,0.0045798218414235,0.102,11.9,0.0045798218414235,86058,15.7502,0.0133908,6.903889999999999e-215,13.8485,0.0163491,,11.1905,0.0186527,0.0,1.6367734000000002e-25,False
32,44.476166,42.376705,46.640842,1.4597125,1.0056723,2.2622225,419760.0,0.63,2.2,2.4844321123515907,0.001633614958824,0.0020957932105484,5.8,75.68801383741256,0.4577123462662638,0.632,2.19,2.531163208724747,0.0016311833222805,0.632,2.19,0.0016311833222805,708345,6.16725,0.011813,2.61449e-51,5.42934,0.0184692,8.269799999999995e-125,4.37047,0.0208066,2.752389999999998e-158,0.21375455,True
