band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,9.598991,9.110358,10.110742,2.0195932,1.4713491,2.7044363,31800.0,0.0034249890778964,1.0,0.7,4.195024316961114,25.0,9.229053497314451,0.0076105772670922,0.0033613557913695,0.99,0.7,4.110970390057229,25.0,160987.0,2.76602,0.0159097,2.01678e-07,2.45161,0.0165229,5.68985e-08,1.99371,0.0191431,1.48848e-10,0.8638231
5,5.0916963,4.8374734,5.35815,1.9039826,1.2757837,2.832162,41340.0,0.0022623140546526,0.2,8.4,1.4081392273024494e-08,0.0,5.0916963,0.0066754871311422,0.0022623140546526,0.2,8.4,1.4081392273024494e-08,0.0,353164.0,2.05398,0.0136524,4.01896e-07,1.80879,0.0178715,6.70808e-12,1.45849,0.0201313,5.51793e-15,0.98369843
8,2.78387,2.6445515,2.9278166,1.937604,1.3123013,2.8375485,66780.0,0.0032650376270186,0.2,8.5,7.335602579822533e-09,0.0,2.6811511516571045,0.0052529256547175,0.0032594193749215,0.23,8.2,1.9505171487654785e-07,50.0,169036.0,1.51004,0.0142752,2.99359e-12,1.34361,0.0183318,6.334e-20,1.07941,0.0202923,2.55951e-24,0.47611057
11,1.574336,1.4918145,1.6621114,2.370253,1.3658774,4.514517,104940.0,0.0016488965219491,0.2,9.3,2.803178925401244e-09,25.0,1.5413389,0.0041907897336608,0.0016488965219491,0.2,9.3,2.803178925401244e-09,25.0,672372.0,1.13605,0.0130431,6.16715e-16,1.00518,0.0178973,1.25129e-29,0.809651,0.0200986,2.9628600000000002e-37,0.93737611
14,0.8576356,0.8146115,0.9038127,2.089291,1.2751459,4.009901,162180.0,0.0025452243098945,0.5,3.1,0.0089688634679343,25.0,0.84163815,0.003371320732074,0.0025452243098945,0.5,3.1,0.0089688634679343,25.0,273678.0,0.842986,0.0128711,9.111470000000001e-24,0.748671,0.0189213,7.22359e-51,0.602342,0.0204553,2.2280099999999997e-59,0.24374575
17,0.4833461,0.45873824,0.5095547,2.1518784,1.2933547,4.513294,257580.0,0.0009281316092151,0.5,2.7,0.006003235490368,25.0,0.47401547,0.0026752851133031,0.0009281316092151,0.5,2.7,0.006003235490368,25.0,2200495.0,0.630848,0.0136162,6.53819e-42,0.556817,0.0168845,3.23192e-64,0.446727,0.0193486,3.3937299999999986e-84,0.97937557
20,0.24735701,0.23467137,0.2616735,2.4168644,1.2767596,9.097979,381600.0,0.0009826001929819,0.5,2.7,0.0030735432120321,25.0,0.2426869720220565,0.0021980660924352,0.0009326647679354,0.54,2.4,0.0056263249064984,25.0,2173330.0,0.451245,0.0133767,9.678909999999998e-60,0.397381,0.0168031,5.085919999999997e-94,0.320516,0.0194576,6.268919999999996e-126,0.89389135
23,0.12082742,0.114649996,0.12747675,2.248149,1.3707936,4.596758,610560.0,0.0011203195272457,0.2,8.2,3.6860452272655167e-10,0.0,0.12082742,0.0017377962858799,0.0011203195272457,0.2,8.2,3.6860452272655167e-10,0.0,1545480.0,0.314616,0.0132055,6.496659999999996e-93,0.277562,0.0168257,1.4104199999999993e-150,0.224077,0.0194065,3.561409999999999e-200,0.42726849
26,0.052978814,0.049796898,0.057024956,4.653831,1.6947181,18.998148,973080.0,0.0007234453993844,0.2,8.1,1.64836730536519e-10,25.0,0.05140849,0.0013765848003003,0.0007234453993844,0.2,8.1,1.64836730536519e-10,25.0,3694662.0,0.205724,0.0134737,7.106829999999996e-154,0.181257,0.0165571,3.79586e-232,0.145996,0.0188169,1.0115200000000001e-299,0.68813932
29,0.020104643,0.018493604,0.022679133,13.155254,2.838861,66.09846,1376940.0,0.001159487644209,0.2,7.6,7.718027166944931e-11,50.0,0.018621352,0.0011572531101864,0.001159487644209,0.2,7.6,7.718027166944931e-11,50.0,1376940.0,0.123049,0.0133915,6.556499999999998e-215,0.10819,0.0163503,,0.0874259,0.0186527,0.0,0.049292196
32,0.0027146097,0.0025864688,0.002846731,1.4597125,1.0056723,2.2622225,419760.0,0.0015882524544358,1.2,0.9,0.0015364265535354,50.0,0.002649622503668,0.0020957932105484,0.001571877311593,1.28,0.8,0.0017530397901422,50.0,756418.0,0.0481814,0.0118136,2.58356e-51,0.0424154,0.0184732,7.304809999999996e-125,0.0341457,0.0208094,2.4958399999999987e-158,0.25053301
