band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,31800.0,1.0,0.7,0.0034249890778964,25.0,0.99,0.7,4.110970390057229,0.0033613557913695358,25.0,160987.0
5,41340.0,0.2,8.4,0.0022623140546526,0.0,0.2,8.4,1.4081392273024494e-08,0.0022623140546526,0.0,353164.0
8,66780.0,0.2,8.5,0.0032650376270186,0.0,0.23,8.2,1.9505171487654785e-07,0.0032594193749215794,50.0,169036.0
11,104940.0,0.2,9.3,0.0016488965219491,25.0,0.2,9.3,2.803178925401244e-09,0.0016488965219491,25.0,672372.0
14,162180.0,0.5,3.1,0.0025452243098945,25.0,0.5,3.1,0.0089688634679343,0.0025452243098945,25.0,273678.0
17,257580.0,0.5,2.7,0.0009281316092151,25.0,0.5,2.7,0.006003235490368,0.0009281316092151,25.0,2200495.0
20,381600.0,0.5,2.7,0.0009826001929819,25.0,0.54,2.4,0.005626324906498454,0.0009326647679354094,25.0,2173330.0
23,610560.0,0.2,8.2,0.0011203195272457,0.0,0.2,8.2,3.6860452272655167e-10,0.0011203195272457,0.0,1545480.0
26,973080.0,0.2,8.1,0.0007234453993844,25.0,0.2,8.1,1.64836730536519e-10,0.0007234453993844,25.0,3694662.0
29,1376940.0,0.2,7.6,0.001159487644209,50.0,0.2,7.6,7.718027166944931e-11,0.001159487644209,50.0,1376940.0
32,419760.0,1.2,0.9,0.0015882524544358,50.0,1.28,0.8,0.0017530397901422904,0.0015718773115930285,50.0,756418.0
