band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,10.134422,9.643435,10.646572,1.6213522,1.1836832,2.1597786,31800.0
5,5.42439,5.1648307,5.694692,1.5568814,1.0348669,2.2470355,41340.0
8,2.9748478,2.8336635,3.120628,1.5415745,1.0658181,2.1755729,66780.0
11,1.6950549,1.6103996,1.7843001,1.9223003,1.1526672,3.322009,104940.0
14,0.92622846,0.881725,0.9731252,1.7057948,1.0837425,3.0058448,162180.0
17,0.51818645,0.4928552,0.5447789,1.7715883,1.1085786,3.4905186,257580.0
20,0.26062724,0.24778943,0.27453458,1.9561996,1.1437149,5.900508,381600.0
23,0.12215869,0.1160552,0.12869267,2.0418558,1.2526941,3.8817518,610560.0
26,0.04917801,0.04615113,0.053056452,5.0354824,1.8246825,19.982931,973080.0
29,0.01554814,0.014030669,0.017972944,20.922686,4.49984,88.63337,1376940.0
32,0.0013369159,0.001273765,0.0014023694,1.4744663,0.99268293,2.485555,419760.0
