band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,12.612577,11.997124,13.256687,1.6837716,1.2167081,2.2785435,31800.0,0.003709541989401,0.4,3.4,0.0207660199424578,0.0,12.612577,0.0076105772670922,0.003709541989401,0.4,3.4,0.0207660199424578,0.0,135831,3.19853,0.0148796,1.51732e-06,2.85932,0.0181991,1.40227e-09,2.3092,0.0201238,1.28416e-11,0.7725017
5,6.7710466,6.442859,7.1151824,1.6739402,1.1455767,2.416164,41340.0,0.0023149944594443,1.2,0.7,4.109166968038657,25.0,6.572597026824951,0.0066754871311422,0.0023105417270591,1.14,0.8,3.640767928508206,25.0,353164,2.37241,0.0130121,1.64969e-06,2.09744,0.0181046,3.35249e-12,1.6949,0.0204902,1.65227e-15,0.97971634
8,3.7032576,3.5244849,3.8877685,1.6701221,1.185903,2.2657652,66780.0,0.0030712829080603,0.7,2.0,0.3387471354890784,50.0,3.627510070800781,0.0052529256547175,0.0030565726242656,0.59,2.4,0.1357987874949847,25.0,190165,1.74643,0.0135306,4.75819e-11,1.56078,0.0189299,3.2256100000000004e-21,1.25587,0.0203866,1.53314e-24,0.55964386
11,2.0963998,1.9904659,2.2079978,2.0080843,1.2298299,3.5630333,104940.0,0.0016725160599571,0.5,2.8,0.0249216000932131,25.0,2.0963997840881348,0.0041907897336608,0.001655389949533,0.45,3.0,0.0110513284050138,0.0,672372,1.3159,0.0128334,1.92658e-15,1.16377,0.0176556,7.59972e-29,0.934937,0.0197513,5.414170000000001e-36,0.93547977
14,1.1383592,1.0824326,1.1979613,1.9097166,1.1819729,3.5356312,162180.0,0.002567774944978,1.5,0.5,0.9790583920729794,75.0,1.0874018669128418,0.003371320732074,0.0025450574258347,1.57,0.5,1.0156333773944872,100.0,273678,0.970979,0.0133182,2.0411800000000002e-25,0.86285,0.018225,3.18456e-47,0.693391,0.0202146,5.336149999999999e-58,0.24381258
17,0.6329777,0.6013892,0.66609097,1.9252734,1.2448709,3.3548322,257580.0,0.0007729102014857,0.5,2.3,0.0096844817024987,0.0,0.6329777,0.0026752851133031,0.0007729102014857,0.5,2.3,0.0096844817024987,0.0,3133126,0.721698,0.014092,7.336649999999999e-45,0.635307,0.0159157,4.1692099999999996e-57,0.510918,0.0188336,8.529959999999997e-80,0.99786699
20,0.31625372,0.30002004,0.33402973,2.323948,1.3481867,7.316415,381600.0,0.0007827850453913,0.7,1.3,0.0399018943925474,25.0,0.3104153275489807,0.0021980660924352,0.0007440429456163,0.73,1.2,0.0485529917740204,25.0,3259996,0.505674,0.0143869,4.881289999999999e-69,0.446114,0.0153231,2.9386499999999997e-78,0.358713,0.018554,1.5268799999999994e-114,0.98403504
23,0.1467151,0.13900171,0.15504234,2.5120902,1.5322732,5.0869966,610560.0,0.0014938239644785,0.5,2.1,0.0024348330812725,25.0,0.1437525451183319,0.0017377962858799,0.0014812536855624,0.55,1.8,0.0049267792360963,25.0,869332,0.342048,0.0148957,4.181189999999998e-118,0.30162,0.0153211,6.361509999999997e-125,0.243474,0.0179315,5.800809999999997e-171,0.13704617
26,0.05834127,0.05454888,0.06333469,6.08531,2.2171407,24.902412,973080.0,0.0008588244962439,0.3,3.8,3.1339959642668714e-06,50.0,0.055479567,0.0013765848003003,0.0008588244962439,0.3,3.8,3.1339959642668714e-06,50.0,2463108,0.209743,0.016196,3.7755799999999996e-222,0.184919,0.0139791,1.3292599999999993e-165,0.148906,0.0164425,5.97163e-229,0.46934666
29,0.018183842,0.016285822,0.021421267,26.047552,5.2599683,114.97077,1376940.0,0.0015641391410212,0.1,12.0,5.7233525819476764e-24,75.0,0.015939388,0.0011572531101864,0.0015641391410212,0.1,12.0,5.7233525819476764e-24,75.0,774528,0.109517,0.0171316,0.0,0.0963362,0.0136782,3.4246199999999997e-224,0.0776852,0.0152119,3.4764399999999993e-277,0.0023688537
32,0.0015016715,0.0014264359,0.0015806099,1.9583812,1.2832929,4.1062307,419760.0,0.0014780986586451,0.2,8.7,3.53752179324895e-12,25.0,0.0014767431,0.0020957932105484,0.0014780986586451,0.2,8.7,3.53752179324895e-12,25.0,850969,0.0350872,0.01402,4.2478699999999997e-72,0.0311307,0.017125,2.3165099999999988e-107,0.0249862,0.0189088,8.425219999999997e-131,0.31788252
