band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,n_pval_0.05
2,10.134422,9.643435,10.646572,1.6213522,1.1836832,2.1597786,31800.0,0.0034202256393036,0.65,2.3,0.6047838360069995,25.0,9.782848,0.0076105772670922,0.0034202256393036,0.65,2.3,0.6047838360069995,160987
5,5.42439,5.1648307,5.694692,1.5568814,1.0348669,2.2470355,41340.0,0.0025584110442049,0.96,1.5,1.5958820909595466,25.0,5.2639885,0.0066754871311422,0.0025584110442049,0.96,1.5,1.5958820909595466,297981
8,2.9748478,2.8336635,3.120628,1.5415745,1.0658181,2.1755729,66780.0,0.0031621172069583,0.24,9.9,2.592458409209287e-07,50.0,2.8757958,0.0052529256547175,0.0031621172069583,0.24,9.9,2.592458409209287e-07,190165
11,1.6950549,1.6103996,1.7843001,1.9223003,1.1526672,3.322009,104940.0,0.0016608568295888,0.57,3.2,0.0376332724795806,50.0,1.6450269,0.0041907897336608,0.0016608568295888,0.57,3.2,0.0376332724795806,672372
14,0.92622846,0.881725,0.9731252,1.7057948,1.0837425,3.0058448,162180.0,0.0025259339293271,1.67,0.7,0.8200218988457328,100.0,0.88637304,0.003371320732074,0.0025259339293271,1.67,0.7,0.8200218988457328,292248
17,0.51818645,0.4928552,0.5447789,1.7715883,1.1085786,3.4905186,257580.0,0.000709927928318,0.66,2.1,0.0364247438148785,25.0,0.50929636,0.0026752851133031,0.000709927928318,0.66,2.1,0.0364247438148785,3713337
20,0.26062724,0.24778943,0.27453458,1.9561996,1.1437149,5.900508,381600.0,0.0007800755391313,0.73,1.7,0.0320501146105286,25.0,0.2562057,0.0021980660924352,0.0007800755391313,0.73,1.7,0.0320501146105286,2897775
23,0.12215869,0.1160552,0.12869267,2.0418558,1.2526941,3.8817518,610560.0,0.0014318631131532,0.95,1.1,0.0407026939001749,50.0,0.11857531,0.0017377962858799,0.0014318631131532,0.95,1.1,0.0407026939001749,915840
26,0.04917801,0.04615113,0.053056452,5.0354824,1.8246825,19.982931,973080.0,0.0007504780114354,0.2,7.9,1.6896964757218282e-10,25.0,0.04763038,0.0013765848003003,0.0007504780114354,0.2,7.9,1.6896964757218282e-10,3284145
29,0.01554814,0.014030669,0.017972944,20.922686,4.49984,88.63337,1376940.0,0.0016299649569304,0.15,9.9,3.072069140415185e-15,100.0,0.0135306865,0.0011572531101864,0.0016299649569304,0.15,9.9,3.072069140415185e-15,688470
32,0.0013369159,0.001273765,0.0014023694,1.4744663,0.99268293,2.485555,419760.0,0.0013717551096109,0.61,3.0,4.606430167816802e-05,50.0,0.001304606,0.0020957932105484,0.0013717551096109,0.61,3.0,4.606430167816802e-05,944460
