band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,10.047775,10.047775,9.704805,9.473248,9.282934,9.114775,8.826298,8.578938,8.3598175,8.160549,7.976008,7.4960556,0.0036886790279512,0.0036889154543894,0.0036725424019246,0.0044098666121532,0.005320929675968,0.0072695181408496,0.0092052623966217,0.0113286392856958,0.0132859016964485,0.0150632497397812,0.0201648079555566,0.007865596299860812,0.006654636876258883,0.005627020177563551,0.004491975518379404,0.0035482985396606548,9.473248,0.0038865035266636427,0.00484142852981273,,
5,5.4385624,5.4385624,5.282056,5.185845,5.1043034,5.033012,4.907471,4.796859,4.6958637,4.6030645,4.516481,4.285246,0.003168734072817,0.0030224210153917,0.0031632105060909,0.0037722510501428,0.0043547214180675,0.0054393528676561,0.0067366704228124,0.0082825527529152,0.0098595190722159,0.0113468760761367,0.0155106991594716,0.004889723100198223,0.004324227273953873,0.0037880251133090015,0.003175294097616077,0.002992570162298036,5.282056,0.0036639493760682873,,,
8,3.0187955,3.0187955,2.9603171,2.9211605,2.8874185,2.8568306,2.8028452,2.7554147,2.7124631,2.6733134,2.6370742,2.5398512,0.0030099132809856,0.0029724735088897,0.0030150658668282,0.0029807791298399,0.0029913867549775,0.0036271333630596,0.0044569039328327,0.0052947247960565,0.0062481979886337,0.0073070131074877,0.0102103184226974,0.00338850578018135,0.002992523565736538,0.00298119923759943,0.0029791827263289106,0.0029622502639716775,2.9603171,0.002980942438324863,,,
11,1.7405331,1.7405331,1.7091852,1.6908097,1.6754316,1.662006,1.6384764,1.6173835,1.5978601,1.5796257,1.5625201,1.5170026,0.0022731686942658,0.002226577662106,0.0022310134226771,0.0022091825447206,0.0022778187679594,0.0028714198671943,0.0034475689690728,0.0040239421604353,0.0045977577952116,0.0050973633941926,0.0065855148997963,0.003597783545426666,0.00324016999987279,0.0028674840914106187,0.0024716379497231322,0.002209182544720689,,0.0022161162357822173,0.0022240465492080475,0.0022403735124822965,
14,0.96494526,0.96494526,0.9496723,0.9402022,0.93194324,0.92442244,0.9110452,0.8992351,0.88854104,0.8786604,0.8693991,0.8444465,0.002414866800007,0.0023742256935803,0.0023907726856051,0.0023861473297925,0.0023471146229273,0.0028069857984938,0.0033938615951816,0.0039789375269905,0.0044946272092516,0.005023735860658,0.006692533712727,0.0033827412443178384,0.0031028065443947546,0.00279643475103631,0.002497615821284476,0.002333109936864086,0.92442244,0.0023434362990933377,0.002469997769578569,0.002770553539695242,0.0031959589919147158
17,0.54493225,0.54493225,0.5360203,0.5304854,0.5258261,0.5216402,0.51431507,0.5078241,0.50187856,0.4963811,0.4912262,0.4772604,0.0009548419751151,0.0009271569596702,0.0011764545271163,0.0014760785142299,0.0018336257704444,0.0024724279362107,0.0030657288646587,0.0036686349026254,0.0042078576585348,0.0047732797507122,0.0065996393701099,0.002513450340502564,0.0020583305691447007,0.001592207845147204,0.0011517397006463037,0.0008190663655842367,0.5360203,0.0013504487142432797,,,
20,0.27755168,0.27755168,0.27304253,0.27027315,0.2678621,0.26571253,0.26187512,0.2584541,0.255343,0.25245717,0.24974182,0.24249913,0.0008522562045971,0.0008974413303259,0.0010311757846336,0.001359135911603,0.0016451208738123,0.0022500088471519,0.0028403230788464,0.0034658565343033,0.0040398663071805,0.0045421866936886,0.0066399901007877,0.002305132897692637,0.0018176697082673207,0.0013554150173570867,0.0009937583120457893,0.0008522562045971613,,,,,
23,0.13186492,0.13186492,0.12957619,0.12817541,0.12700221,0.1259542,0.124107294,0.122486345,0.121011816,0.11964834,0.118371405,0.11494117,0.0013470842802772,0.0013516144836601,0.0013542413723607,0.0014771591400706,0.0018623147662412,0.0025287659293861,0.0031717263648632,0.0037693663354486,0.0043480097882763,0.0048945909461453,0.0065385015363861,0.002360837780009173,0.001902353374983394,0.0015008509996146668,0.001351614483660113,0.0013470842802772998,,,,,
26,0.05497533,0.05497533,0.05342155,0.052692067,0.052119184,0.051625594,0.0507727,0.050037924,0.04938159,0.04877997,0.04822098,0.046731908,0.0018897586249894,0.0010403906800211,0.0010474515680405,0.0012475825926822,0.0015999616406381,0.0022973125969276,0.0029382961280971,0.0035512356704776,0.0041270662798407,0.0046819084653263,0.0062997655640095,0.0024829476347927315,0.0020072223425025015,0.0014813299009209802,0.0010426563429573044,0.0010403906800211526,,0.0018310152544975047,,,
29,0.019338867,0.019338867,0.018237585,0.017821008,0.017524043,0.017286059,0.016906451,0.016599586,0.016336977,0.016103363,0.015891442,0.015344718,0.0053280463204574,0.002947806845478,0.0018254059461972,0.001272410398685,0.0015033327001152,0.0020219198316,0.0026677110723839,0.0032255637402579,0.0038340605721124,0.0044340106986507,0.0060710402335151,0.0023301644117746934,0.002023241696010869,0.0017581749800592572,0.0015006537758402994,0.0012724103986850865,,0.0017674892213892512,0.0028679046350805343,0.005456423422641327,
32,0.0021997548,0.0021997548,0.002169058,0.0021489016,0.0021315278,0.0021157847,0.0020877165,0.0020626185,0.0020395925,0.002018137,0.001997925,0.0019431285,0.0013497809924796,0.0013035008681954,0.0013316217995921,0.0015060861320911,0.001881414769452,0.0025029387924744,0.00312112571368,0.0037061995635069,0.0042800719487551,0.0048846468494608,0.006589171544618,0.0024802943772415167,0.0020748203805786222,0.0016266120152472474,0.0012984137536380391,0.0012918285433932697,0.002169058,0.0014522330275779094,,,
