band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,10.047775,9.564716,10.551455,1.5730996,1.1551127,2.07445,31800.0
5,5.4385624,5.1808496,5.7077985,1.5012345,1.0109708,2.1425598,41340.0
8,3.0187955,2.876773,3.1651533,1.4750681,1.0284976,2.0876257,66780.0
11,1.7405331,1.6544021,1.8303069,1.8179421,1.125604,2.9672084,104940.0
14,0.96494526,0.91896665,1.0133772,1.633317,1.06396,2.714023,162180.0
17,0.54493225,0.5185534,0.5725318,1.6748462,1.0774019,3.061004,257580.0
20,0.27755168,0.26404163,0.29177457,1.7790294,1.113188,4.0506554,381600.0
23,0.13186492,0.1254014,0.13874418,1.8601742,1.1629676,3.4032485,610560.0
26,0.05497533,0.051767234,0.058931835,4.115283,1.5789286,15.710218,973080.0
29,0.019338867,0.017728634,0.02184569,14.169542,3.1071591,60.432312,1376940.0
32,0.0021997548,0.0020980823,0.0023055098,1.3440132,0.8827634,2.3539827,419760.0
