band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,10.047775,9.564716,10.551455,1.5730996,1.1551127,2.07445,31800.0,0.003672542401924689,2.3,0.2,12.693691103998228,50.0,9.473248,0.007610577267092261
5,5.4385624,5.1808496,5.7077985,1.5012345,1.0109708,2.1425598,41340.0,0.003022421015391741,1.7,0.5,5.2950679522949935,25.0,5.282056,0.006675487131142218
8,3.0187955,2.876773,3.1651533,1.4750681,1.0284976,2.0876257,66780.0,0.0029724735088897947,0.8,2.0,0.4523235157329286,25.0,2.9603171,0.005252925654717587
11,1.7405331,1.6544021,1.8303069,1.8179421,1.125604,2.9672084,104940.0,0.002209182544720689,0.3,7.8,1.5850014235079392e-05,75.0,1.6754316,0.004190789733660874
14,0.96494526,0.91896665,1.0133772,1.633317,1.06396,2.714023,162180.0,0.00234711462292736,1.3,1.1,0.5657349621872653,100.0,0.92442244,0.0033713207320740964
17,0.54493225,0.5185534,0.5725318,1.6748462,1.0774019,3.061004,257580.0,0.0009271569596702722,0.7,2.0,0.05076986545302879,25.0,0.5360203,0.0026752851133031844
20,0.27755168,0.26404163,0.29177457,1.7790294,1.113188,4.0506554,381600.0,0.0008522562045971613,0.4,4.0,0.0003475802309836414,0.0,0.27755168,0.002198066092435259
23,0.13186492,0.1254014,0.13874418,1.8601742,1.1629676,3.4032485,610560.0,0.0013470842802772998,0.3,5.7,2.8292689232683356e-06,0.0,0.13186492,0.0017377962858799252
26,0.05497533,0.051767234,0.058931835,4.115283,1.5789286,15.710218,973080.0,0.0010403906800211526,0.2,8.8,1.2209747444528595e-10,25.0,0.05342155,0.0013765848003003353
29,0.019338867,0.017728634,0.02184569,14.169542,3.1071591,60.432312,1376940.0,0.0012724103986850865,0.2,8.0,5.908743781878587e-11,75.0,0.017524043,0.0011572531101864485
32,0.0021997548,0.0020980823,0.0023055098,1.3440132,0.8827634,2.3539827,419760.0,0.0013035008681954174,0.7,2.6,0.00016520137360738333,25.0,0.002169058,0.0020957932105484973
