filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
0,"(2.0, 0.5, 0.044)",19.51273169190206,16.061955079839702,24.35298415088591,3.69359294466666,1.2401204390899383,35.55706243409978,49152000.0,"(2.0, 0.5, 0.044)",0.030190415604448,1.9,-0.5,33.83778770855422,0.0,19.51273169190206,0.0001937104786289,0.030190415604448,1.9,-0.5,33.83778770855422,0.0,2133,3.43309,0.0384445,0.0,3.5617,0.0301975,0.0,2.53352,0.0301907,0.0,0.0
1,"(2.0, 0.5, 0.065)",7.825586861621166,6.293172683134725,9.732980638764548,4.648551327811284,1.37134634530721,44.6661260580679,49152000.0,"(2.0, 0.5, 0.065)",0.0247226124962374,0.1,5.5,1.4968772107179086e-18,0.0,7.825586861621166,0.0001937104786289,0.0247226124962374,0.1,5.5,1.4968772107179086e-18,0.0,3000,2.11235,0.0397095,0.0,2.0387,0.0247493,0.0,1.51953,0.0253597,0.0,0.0
2,"(2.0, 0.5, 0.096)",3.203549148034639,2.597086692140683,5.41291613291562,11.848032453631888,1.80065110898504,175.54074061343363,49152000.0,"(2.0, 0.5, 0.096)",0.0162973767035926,0.4,0.3,0.0489703628672202,50.0,2.9187499848552374,0.0001937104786289,0.0162958639318836,0.33,0.7,0.0061608883439782,125.0,6750,1.31815,0.0383874,0.0,1.2099,0.0167335,0.0,0.953154,0.0188844,0.0,0.0
3,"(2.0, 0.5, 0.141)",1.2990670284540071,1.0083249356009194,3.309370947133168,37.19003273348633,2.0626450760316586,367.02902050842056,49152000.0,"(2.0, 0.5, 0.141)",0.008241261367192,0.1,4.8,6.676241732600787e-19,0.0,1.2990670284540071,0.0001937104786289,0.008241261367192,0.1,4.8,6.676241732600787e-19,0.0,27000,0.821261,0.0362447,0.0,0.726249,0.0103727,0.0,0.598946,0.0127664,0.0,0.0
4,"(2.0, 0.5, 0.208)",0.5031300679017542,0.3777652950163511,1.4744190158810375,47.714933867586026,2.424145220399164,425.6936555845887,49152000.0,"(2.0, 0.5, 0.208)",0.0047546287029867,0.1,6.1,4.070785336141429e-20,50.0,0.4622419698604182,0.0001937104786289,0.0047546287029867,0.1,6.1,4.070785336141429e-20,50.0,81000,0.526098,0.0311237,0.0,0.45912,0.00922739,0.0,0.377199,0.0084137,0.0,0.0
5,"(2.0, 0.5, 0.306)",0.1776740383436319,0.1386555863468935,0.550851594863821,60.8999601697847,1.3868324890295205,471.2001529369917,49152000.0,"(2.0, 0.5, 0.306)",0.0053186213787582,0.1,14.0,1.4183482202604862e-23,200.0,0.1468337328166863,0.0001937104786289,0.0052601375470071,0.11,14.0,3.3105722210521347e-21,275.0,68343,0.345643,0.0187777,0.0,0.306284,0.0176948,0.0,0.251139,0.0153308,0.0,0.0
6,"(2.0, 0.5, 0.45)",0.1208566261708683,0.0952084064921162,0.3871135582981402,62.22535068244778,0.9756723825458652,487.2502141820484,49152000.0,"(2.0, 0.5, 0.45)",0.0059410025771948,0.2,13.0,4.553415870507702e-11,200.0,0.1019586640319183,0.0001937104786289,0.0054319726338831,0.23,13.0,1.3638172780470783e-09,275.0,60750,0.30353,0.012,0.0,0.270617,0.023546,0.0,0.221923,0.0221395,0.0,0.0
7,"(2.0, 1.0, 0.044)",25.326290085208893,21.284981308018747,32.06765879236143,3.7153943149561535,1.1123783784321313,41.577878422163614,49152000.0,"(2.0, 1.0, 0.044)",0.0279329457566331,5.7,-0.5,49.73388234754167,100.0,23.53228795111263,0.0001937104786289,0.0279327849102019,6.0,-0.49,48.63727693445809,150.0,2250,4.00402,0.0348482,0.0,4.11279,0.0282021,0.0,3.02635,0.0279332,0.0,0.0
8,"(2.0, 1.0, 0.065)",10.787103433829865,8.88428926954633,13.944637746613138,4.4979166285441154,1.4340385909640367,37.939141820544286,49152000.0,"(2.0, 1.0, 0.065)",0.0246713267515023,0.4,0.8,0.0918673981641454,200.0,9.538917056605545,0.0001937104786289,0.0246703384314603,0.46,0.6,0.2736861627348577,275.0,3000,2.52535,0.0368227,0.0,2.52054,0.0247458,0.0,1.82954,0.0247089,0.0,0.0
9,"(2.0, 1.0, 0.096)",4.270451682142163,3.470486372570209,6.392773600638415,7.512120143663049,1.9028854783452789,113.6072578850783,49152000.0,"(2.0, 1.0, 0.096)",0.020023402442723,0.1,5.4,9.352356928715257e-19,0.0,4.270451682142163,0.0001937104786289,0.020023402442723,0.1,5.4,9.352356928715257e-19,0.0,4500,1.53597,0.0380279,0.0,1.45608,0.0202978,0.0,1.10339,0.020622,0.0,0.0
10,"(2.0, 1.0, 0.141)",1.7679233622501918,1.3786769223123465,3.666835758894524,19.689906084501786,2.1483681613277787,290.21828195819603,49152000.0,"(2.0, 1.0, 0.141)",0.0118457013865482,0.1,5.3,4.167476138753689e-19,50.0,1.6906725080749576,0.0001937104786289,0.011840697085935,0.1,5.2,4.880995012050502e-19,25.0,13500,0.964512,0.0369713,0.0,0.869195,0.0132504,0.0,0.697815,0.014463,0.0,0.0
11,"(2.0, 1.0, 0.208)",0.696641026708459,0.5301261697481967,1.7434032761495126,36.04849835387899,2.2973235730710635,395.6463879499338,49152000.0,"(2.0, 1.0, 0.208)",0.0055127904868005,0.1,5.6,1.0764608751936457e-19,50.0,0.6319763547701622,0.0001937104786289,0.0053369396487343,0.1,5.8,8.14085682239444e-20,75.0,68343,0.606687,0.0327637,0.0,0.532648,0.00921712,0.0,0.440315,0.00772088,0.0,0.0
12,"(2.0, 1.0, 0.306)",0.2588104405077348,0.1961371324147418,0.6309620530964113,36.33871479178925,2.192687814142277,364.3273120087159,49152000.0,"(2.0, 1.0, 0.306)",0.0040617126421922,0.1,8.5,1.4926909113579305e-21,100.0,0.2278403252169247,0.0001937104786289,0.0036763523815619,0.1,8.8,1.1094229504089705e-21,125.0,144000,0.398884,0.0243157,0.0,0.348659,0.011976,0.0,0.284871,0.0104012,0.0,0.0
13,"(2.0, 1.0, 0.45)",0.1215943220630072,0.0968323534682826,0.3844555838817861,66.42143102296836,1.04775533245985,487.2311654982003,49152000.0,"(2.0, 1.0, 0.45)",0.0040462472770206,0.2,9.7,1.5907993071016155e-10,200.0,0.1042580340639234,0.0001937104786289,0.0040462472770206,0.2,9.7,1.5907993071016155e-10,200.0,108000,0.299133,0.0139653,0.0,0.264394,0.0201715,0.0,0.21612,0.0192944,0.0,0.0
14,"(3.0, 0.5, 0.044)",19.82260432902438,16.646747654217812,24.30675554551788,3.913003564088695,1.4528453121402642,23.9660126197682,49152000.0,"(3.0, 0.5, 0.044)",0.0060766723205882,1.2,-0.4,20.68305847536608,200.0,17.866701397647105,0.0001937104786289,0.0059603447914476,1.1,-0.35,17.759298656568905,225.0,54000,3.57152,0.02923,0.0,3.23291,0.00733874,0.0,2.59626,0.0126251,0.0,0.0
15,"(3.0, 0.5, 0.065)",7.951646781485762,6.535055771457268,10.127135795041267,5.010531568033738,1.6474741268460649,41.0056696284236,49152000.0,"(3.0, 0.5, 0.065)",0.0040888207373236,0.7,-0.3,3.0333451815018733,50.0,7.951646781485762,0.0001937104786289,0.0040062180010324,0.59,-0.2,1.6597621647738856,0.0,121500,2.18762,0.0318742,0.0,1.92502,0.00461677,0.0,1.59614,0.0105511,0.0,0.0
16,"(3.0, 0.5, 0.096)",3.075412676529183,2.4849777393568764,4.707525770309941,9.434889675516498,2.084195533277921,117.95723768442592,49152000.0,"(3.0, 0.5, 0.096)",0.0037098627063499,0.4,0.0,0.0735824073497643,0.0,2.962827349633713,0.0001937104786289,0.0035523041920638,0.5,-0.21,0.3207772887308597,25.0,144000,1.28757,0.0358861,0.0,1.12546,0.00773904,0.0,0.931594,0.0116333,0.0,0.0
17,"(3.0, 0.5, 0.141)",1.225489089803893,0.9524822988208028,2.5730767437740774,23.12923474194033,2.768521262943074,298.719399727026,49152000.0,"(3.0, 0.5, 0.141)",0.0027846101572504,0.3,0.3,0.0017753401775403,0.0,1.225489089803893,0.0001937104786289,0.0027715603582998,0.27,0.5,0.0004063723037712,0.0,243000,0.788712,0.0371019,0.0,0.68811,0.00967092,0.0,0.566483,0.0100491,0.0,0.0
18,"(3.0, 0.5, 0.208)",0.4789722900554672,0.365268934151941,0.8911569523735711,19.26424680880668,2.823928226392227,223.1777494246765,49152000.0,"(3.0, 0.5, 0.208)",0.0038299521544084,0.2,1.7,2.386863353093824e-07,50.0,0.4541790459163697,0.0001937104786289,0.0035293485769317,0.18,2.0,1.723348154376327e-08,25.0,144000,0.503744,0.0326872,0.0,0.434151,0.00770769,0.0,0.35652,0.00567269,0.0,0.0
19,"(3.0, 0.5, 0.306)",0.1772315965335748,0.1393072637796061,0.473946873866983,42.96838411044199,2.018257766629768,401.2237770582991,49152000.0,"(3.0, 0.5, 0.306)",0.0033815785862794,0.1,9.3,4.863613879937372e-22,100.0,0.1552665277208545,0.0001937104786289,0.0029177992052686,0.1,9.6,3.686393048795656e-22,125.0,216000,0.335091,0.0217063,0.0,0.291633,0.0124015,0.0,0.237717,0.010927,0.0,0.0
20,"(3.0, 0.5, 0.45)",0.0857007416981033,0.0695941000405907,0.2620221639262115,56.07323083292229,0.6182616373101393,467.7086795747334,49152000.0,"(3.0, 0.5, 0.45)",0.0025879657434875,0.3,7.7,7.625518287734513e-07,100.0,0.0771193279575212,0.0001937104786289,0.0023721479774451,0.3,8.1,6.587367792395675e-07,125.0,324000,0.262224,0.0105085,0.0,0.230926,0.0208219,0.0,0.187824,0.0216393,0.0,1.1582650999999999e-240
21,"(3.0, 1.0, 0.044)",23.2606085126456,19.31046713176099,28.48137688133796,3.344933887853384,1.3182521310446351,16.33085976322779,49152000.0,"(3.0, 1.0, 0.044)",0.0062338298932297,1.1,-0.3,21.449507383963912,50.0,22.194882252378942,0.0001937104786289,0.0061957025932843,0.9,-0.16,13.753867840028931,75.0,48000,3.96153,0.0262671,0.0,3.59059,0.00933882,0.0,2.85669,0.0135312,0.0,0.0
22,"(3.0, 1.0, 0.065)",9.245448100973675,7.516882117249893,11.758372292497308,4.863808602074945,1.5693592583671876,36.71476647506172,49152000.0,"(3.0, 1.0, 0.065)",0.0055531905893054,0.7,-0.2,3.102032508618254,100.0,8.753820718327042,0.0001937104786289,0.0053292289108962,0.57,0.0,1.288994360415866,75.0,68343,2.38268,0.0305986,0.0,2.13177,0.00642968,0.0,1.72621,0.0106073,0.0,0.0
23,"(3.0, 1.0, 0.096)",3.6389461351802415,3.0097929555462564,5.649832960605141,9.74592765171444,2.1184965479519864,121.94693138830606,49152000.0,"(3.0, 1.0, 0.096)",0.0043523232563497,0.6,-0.3,0.834820469659744,100.0,3.6389461351802415,0.0001937104786289,0.0037000043207527,0.39,0.1,0.0639339778868414,0.0,136687,1.40566,0.0347084,0.0,1.23244,0.00703084,0.0,1.016,0.0108599,0.0,0.0
24,"(3.0, 1.0, 0.141)",1.4474482022464124,1.1315329684737303,2.77928040197044,17.98134412272255,2.70119281401115,241.5342042012152,49152000.0,"(3.0, 1.0, 0.141)",0.0032402363962419,0.2,1.2,1.652142751807326e-06,0.0,1.4474482022464124,0.0001937104786289,0.0027097738485525,0.23,0.8,3.3959636357279355e-05,0.0,243000,0.846483,0.0370891,0.0,0.739428,0.00987887,0.0,0.606786,0.00986093,0.0,
25,"(3.0, 1.0, 0.208)",0.5596448873863831,0.4205898391353869,1.4782214455749247,47.52820340365383,3.287515212007934,376.6189054812034,49152000.0,"(3.0, 1.0, 0.208)",0.0035670559144653,0.1,4.5,4.140943295602396e-19,50.0,0.5109550315425831,0.0001937104786289,0.0035670559144653,0.1,4.5,4.140943295602396e-19,50.0,144000,0.521988,0.0341875,0.0,0.452031,0.00923513,0.0,0.373545,0.0047417,0.0,0.0
26,"(3.0, 1.0, 0.306)",0.2104180800593706,0.1630237558673992,0.4476171588792393,28.99208748691857,2.5624616027954783,251.8470059080735,49152000.0,"(3.0, 1.0, 0.306)",0.003711762354824,0.1,7.5,3.304201331549344e-21,100.0,0.1840482508726874,0.0001937104786289,0.0032666106354048,0.1,7.7,2.639877948471531e-21,125.0,182250,0.351698,0.0246015,0.0,0.30475,0.0103808,0.0,0.24918,0.00799893,0.0,0.0
27,"(3.0, 1.0, 0.45)",0.092465183919946,0.0744277925383749,0.2364187086162182,40.55534186337548,0.9829102508096218,368.3036358545776,49152000.0,"(3.0, 1.0, 0.45)",0.002015868699414,0.2,8.4,2.3209779820127048e-10,100.0,0.0839243356544514,0.0001937104786289,0.002015868699414,0.2,8.4,2.3209779820127048e-10,100.0,432000,0.264921,0.0135701,0.0,0.233083,0.0176229,0.0,0.189107,0.0184537,0.0,6.430346699999997e-174
