filter_idx,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
0,49152000.0,1.9,-0.5,0.030190415604448,0.0,1.9,-0.5,33.83778770855422,0.030190415604448,0.0,2133
1,49152000.0,0.1,5.5,0.0247226124962374,0.0,0.1,5.5,1.4968772107179086e-18,0.0247226124962374,0.0,3000
2,49152000.0,0.4,0.3,0.0162973767035926,50.0,0.33,0.7,0.006160888343978284,0.016295863931883647,125.0,6750
3,49152000.0,0.1,4.8,0.008241261367192,0.0,0.1,4.8,6.676241732600786e-19,0.008241261367192,0.0,27000
4,49152000.0,0.1,6.1,0.0047546287029867,50.0,0.1,6.1,4.070785336141429e-20,0.0047546287029867,50.0,81000
5,49152000.0,0.1,14.0,0.0053186213787582,200.0,0.11,14.0,3.310572221052135e-21,0.00526013754700716,275.0,68343
6,49152000.0,0.2,13.0,0.0059410025771948,200.0,0.23,13.0,1.3638172780470783e-09,0.005431972633883175,275.0,60750
7,49152000.0,5.7,-0.5,0.0279329457566331,100.0,6.0,-0.49,48.63727693445809,0.027932784910201902,150.0,2250
8,49152000.0,0.4,0.8,0.0246713267515023,200.0,0.46,0.6,0.2736861627348577,0.024670338431460326,275.0,3000
9,49152000.0,0.1,5.4,0.020023402442723,0.0,0.1,5.4,9.352356928715257e-19,0.020023402442723,0.0,4500
10,49152000.0,0.1,5.3,0.0118457013865482,50.0,0.1,5.2,4.880995012050502e-19,0.011840697085935048,25.0,13500
11,49152000.0,0.1,5.6,0.0055127904868005,50.0,0.1,5.8,8.140856822394439e-20,0.005336939648734315,75.0,68343
12,49152000.0,0.1,8.5,0.0040617126421922,100.0,0.1,8.8,1.1094229504089705e-21,0.003676352381561998,125.0,144000
13,49152000.0,0.2,9.7,0.0040462472770206,200.0,0.2,9.7,1.5907993071016155e-10,0.0040462472770206,200.0,108000
14,49152000.0,1.2,-0.4,0.0060766723205882,200.0,1.1,-0.35,17.759298656568905,0.005960344791447636,225.0,54000
15,49152000.0,0.7,-0.3,0.0040888207373236,50.0,0.59,-0.2,1.6597621647738856,0.004006218001032402,0.0,121500
16,49152000.0,0.4,0.0,0.0037098627063499,0.0,0.5,-0.21,0.32077728873085976,0.003552304192063871,25.0,144000
17,49152000.0,0.3,0.3,0.0027846101572504,0.0,0.27,0.5,0.0004063723037712946,0.0027715603582998127,0.0,243000
18,49152000.0,0.2,1.7,0.0038299521544084,50.0,0.18,2.0,1.723348154376327e-08,0.003529348576931768,25.0,144000
19,49152000.0,0.1,9.3,0.0033815785862794,100.0,0.1,9.6,3.6863930487956557e-22,0.002917799205268634,125.0,216000
20,49152000.0,0.3,7.7,0.0025879657434875,100.0,0.3,8.1,6.587367792395675e-07,0.002372147977445116,125.0,324000
21,49152000.0,1.1,-0.3,0.0062338298932297,50.0,0.9,-0.16,13.753867840028933,0.006195702593284391,75.0,48000
22,49152000.0,0.7,-0.2,0.0055531905893054,100.0,0.57,0.0,1.288994360415866,0.0053292289108962665,75.0,68343
23,49152000.0,0.6,-0.3,0.0043523232563497,100.0,0.39,0.1,0.06393397788684142,0.003700004320752792,0.0,136687
24,49152000.0,0.2,1.2,0.0032402363962419,0.0,0.23,0.8,3.3959636357279355e-05,0.002709773848552588,0.0,243000
25,49152000.0,0.1,4.5,0.0035670559144653,50.0,0.1,4.5,4.140943295602396e-19,0.0035670559144653,50.0,144000
26,49152000.0,0.1,7.5,0.003711762354824,100.0,0.1,7.7,2.639877948471531e-21,0.003266610635404843,125.0,182250
27,49152000.0,0.2,8.4,0.002015868699414,100.0,0.2,8.4,2.320977982012705e-10,0.002015868699414,100.0,432000
28,49152000.0,0.8,0.0,0.0014221931150718,50.0,0.8,-0.05,8.556573879189722,0.0008234991966889205,25.0,2592000
29,49152000.0,0.6,0.0,0.0016082131455026,0.0,0.74,-0.2,3.1160578106296897,0.0006762248928837006,25.0,3888000
30,49152000.0,0.5,-0.1,0.001522826613531,0.0,0.47,0.0,0.18585610078140288,0.0010025118368507946,0.0,1944000
31,49152000.0,0.2,1.5,0.0017555782777589,0.0,0.22,1.2,7.4010639341010654e-06,0.0014676822091224673,0.0,864000
32,49152000.0,0.2,2.0,0.0028611683853733,50.0,0.18,2.4,9.199388409926311e-09,0.0025971842461796624,50.0,288000
33,49152000.0,0.1,9.5,0.002332640089618,100.0,0.1,9.5,4.0403755841489284e-22,0.002332640089618,100.0,324000
34,49152000.0,0.3,6.4,0.0014244758688544,50.0,0.3,6.8,9.779424891229753e-07,0.001313709567780319,75.0,1093500
35,49152000.0,0.8,0.2,0.0012718638434559,50.0,0.72,0.3,5.319150823838741,0.0010699422966028438,25.0,1536000
36,49152000.0,0.8,-0.2,0.0013065928247326,50.0,0.7,-0.07,2.699936131734989,0.0006232922295414944,25.0,4608000
37,49152000.0,0.4,0.3,0.0012046372646952,0.0,0.42,0.2,0.08482491935389137,0.0008741597905213006,0.0,2304000
38,49152000.0,0.2,1.5,0.0019536250932751,0.0,0.18,1.9,5.758113895016415e-08,0.0012663509928963618,0.0,1152000
39,49152000.0,0.1,5.2,0.0026399459488289,50.0,0.1,5.2,1.3483724356017776e-19,0.0026399459488289,50.0,273375
40,49152000.0,0.1,8.5,0.0027134093382323,100.0,0.1,8.5,1.095162347769705e-21,0.0027134093382323,100.0,243000
41,49152000.0,0.2,8.4,0.001071156861561,50.0,0.2,8.4,2.1078420332670628e-10,0.001071156861561,50.0,1536000
