filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
0,"(2.0, 0.5, 0.044)",66.0275,54.146038,78.47181,2.8726091,1.3108617,8.945055,16384000.0,"(2.0, 0.5, 0.044)",0.0008278203872011,0.6,0.2,9.789325660328092,0.0,66.02749633789062,0.0003355120903509215,0.0006254417920011912,0.65,0.1,14.243706109717317,0.0,4608000
1,"(2.0, 0.5, 0.065)",26.310843,21.517254,32.023525,3.1993608,1.4146307,9.393432,16384000.0,"(2.0, 0.5, 0.065)",0.0014693451794816,0.6,-0.1,5.221120732702482,0.0,26.310842514038086,0.0003355120903509215,0.0008164264919700223,0.74,-0.3,12.084968016831716,0.0,2916000
2,"(2.0, 0.5, 0.096)",9.566076,7.822888,11.649402,4.2447634,1.7844245,15.088311,16384000.0,"(2.0, 0.5, 0.096)",0.0012720441478567,0.7,-0.5,4.815516327913589,0.0,9.566076278686523,0.0003355120903509215,0.0006077554708004418,0.7,-0.48,4.694737068667998,0.0,5184000
3,"(2.0, 0.5, 0.141)",3.6542144,2.9471848,4.6022663,5.1577663,2.2197258,21.337349,16384000.0,"(2.0, 0.5, 0.141)",0.0026001114128662,0.8,-0.7,3.0916075629858577,50.0,3.654214382171631,0.0003355120903509215,0.001729512283758755,0.64,-0.6,1.6676254826754957,0.0,648000
4,"(2.0, 0.5, 0.208)",1.2468936,0.9734563,1.5532819,6.50208,2.9534879,27.303137,16384000.0,"(2.0, 0.5, 0.208)",0.0033265824107509,0.5,-0.6,0.2473995326057313,0.0,1.2468936443328857,0.0003355120903509215,0.002860485224983389,0.51,-0.6,0.26768405860461697,0.0,216000
5,"(2.0, 0.5, 0.306)",0.31195986,0.24055377,0.4156295,9.978146,3.126065,66.28704,16384000.0,"(2.0, 0.5, 0.306)",0.0043551449314889,0.3,-0.2,0.0011138767751572,0.0,0.3119598627090454,0.0003355120903509215,0.0035604858244857457,0.35,-0.4,0.0059554892590376095,0.0,144000
6,"(2.0, 0.5, 0.45)",0.17440787,0.13299213,0.25678504,11.664751,3.4981663,98.72245,16384000.0,"(2.0, 0.5, 0.45)",0.0043010232402619,0.3,-0.2,0.0006227367637615,0.0,0.17440786957740784,0.0003355120903509215,0.003659602437476317,0.35,-0.4,0.0033295443360565613,0.0,144000
7,"(2.0, 1.0, 0.044)",87.42761,73.475105,104.67302,3.0991545,1.3745834,9.448888,16384000.0,"(2.0, 1.0, 0.044)",0.0006203890942929,0.3,2.1,0.0163528682318753,0.0,87.4276123046875,0.0003355120903509215,0.0005720827620433085,0.29,2.2,0.009881364271922705,0.0,5832000
8,"(2.0, 1.0, 0.065)",35.73371,29.532925,43.861973,3.5271044,1.5547183,10.987603,16384000.0,"(2.0, 1.0, 0.065)",0.0011967571405874,0.4,0.7,0.3711114498001548,0.0,35.73371124267578,0.0003355120903509215,0.0007472313325494195,0.46,0.4,1.2449408348600501,0.0,3456000
9,"(2.0, 1.0, 0.096)",13.965508,11.528218,17.141226,4.37086,1.9310893,19.370962,16384000.0,"(2.0, 1.0, 0.096)",0.0011229144148607,0.5,-0.1,1.3125477876878324,0.0,13.965508460998535,0.0003355120903509215,0.0008861910758155567,0.55,-0.2,2.2373523507124697,0.0,2304000
10,"(2.0, 1.0, 0.141)",5.132245,4.07275,6.352166,5.248698,2.2762716,20.074081,16384000.0,"(2.0, 1.0, 0.141)",0.0011157491801483,0.5,-0.3,0.6289516009536441,0.0,5.132245063781738,0.0003355120903509215,0.0010489858628195473,0.5,-0.29,0.6201059716521361,0.0,1728000
11,"(2.0, 1.0, 0.208)",1.8196675,1.414431,2.3093932,6.8441095,2.6947403,35.612938,16384000.0,"(2.0, 1.0, 0.208)",0.0024344489953984,0.4,-0.3,0.0695288838519085,0.0,1.8196674585342407,0.0003355120903509215,0.0018133404935992414,0.44,-0.4,0.14110773237168217,0.0,576000
12,"(2.0, 1.0, 0.306)",0.5527461,0.41978896,0.73323756,8.96718,3.459659,47.49922,16384000.0,"(2.0, 1.0, 0.306)",0.0036061472302092,0.5,-0.6,0.1032858850463988,50.0,0.5527461171150208,0.0003355120903509215,0.002572214147385732,0.34,-0.3,0.006948732016568869,0.0,288000
13,"(2.0, 1.0, 0.45)",0.18217844,0.13921066,0.25447756,13.326584,4.0153995,86.02584,16384000.0,"(2.0, 1.0, 0.45)",0.0038813580780608,0.2,0.4,9.411144619542208e-07,0.0,0.18217843770980835,0.0003355120903509215,0.00272398017968975,0.23,0.1,1.62190132370601e-05,0.0,256000
14,"(3.0, 0.5, 0.044)",66.36079,55.759647,79.706856,3.2474027,1.5640929,8.903874,16384000.0,"(3.0, 0.5, 0.044)",0.0007930362227554,0.6,0.0,11.879273311054572,0.0,66.36078643798828,0.0003355120903509215,0.0006461322044268858,0.7,-0.19,23.550083718533216,0.0,4608000
15,"(3.0, 0.5, 0.065)",24.72557,20.344393,30.30968,4.0528607,1.8177656,14.556546,16384000.0,"(3.0, 0.5, 0.065)",0.0014793210612423,0.6,-0.3,6.162594749759981,0.0,24.725570678710938,0.0003355120903509215,0.0005885124618755233,0.68,-0.4,10.191094337972547,0.0,5184000
16,"(3.0, 0.5, 0.096)",9.054409,7.4070854,11.06092,5.023156,2.1581454,16.98755,16384000.0,"(3.0, 0.5, 0.096)",0.0013058083041346,0.6,-0.5,2.942173813057249,0.0,9.054409,0.0003355120903509215,0.0013058083041346,0.6,-0.5,2.942173813057249,0.0,1093500
17,"(3.0, 0.5, 0.141)",3.2259433,2.5655553,4.0458345,6.0903616,2.8308134,27.034254,16384000.0,"(3.0, 0.5, 0.141)",0.0038101285836593,0.6,-0.7,1.4403506482249775,0.0,3.2259433269500732,0.0003355120903509215,0.002434707652096413,0.53,-0.6,0.8018833856989156,0.0,324000
18,"(3.0, 0.5, 0.208)",1.1075789,0.8453771,1.486692,8.911111,3.7603815,52.94884,16384000.0,"(3.0, 0.5, 0.208)",0.0041537558478413,0.4,-0.6,0.0756586679586931,0.0,1.1075789,0.0003355120903509215,0.0041537558478413,0.4,-0.6,0.0756586679586931,0.0,108000
19,"(3.0, 0.5, 0.306)",0.3052548,0.23494864,0.41884175,11.36455,4.445158,57.69829,16384000.0,"(3.0, 0.5, 0.306)",0.005867154500973,0.2,0.1,3.211855925995894e-06,0.0,0.3052547872066498,0.0003355120903509215,0.00486808098427708,0.23,-0.1,4.3588414390459016e-05,0.0,81000
20,"(3.0, 0.5, 0.45)",0.08817584,0.0638571,0.15339418,20.644598,5.5946465,173.88652,16384000.0,"(3.0, 0.5, 0.45)",0.0043466986355317,0.1,1.8,1.651365247538679e-17,0.0,0.08817584,0.0003355120903509215,0.0043466986355317,0.1,1.8,1.651365247538679e-17,0.0,96000
21,"(3.0, 1.0, 0.044)",72.09461,59.311398,87.896996,3.4081984,1.4619961,12.440883,16384000.0,"(3.0, 1.0, 0.044)",0.0007431062602238,0.5,0.4,3.9525554891218224,0.0,72.09461212158203,0.0003355120903509215,0.0007181731041907558,0.57,0.2,8.718742086065038,0.0,3456000
22,"(3.0, 1.0, 0.065)",29.068783,23.278124,35.760403,4.4924583,1.8819758,14.588925,16384000.0,"(3.0, 1.0, 0.065)",0.0012492598401331,0.4,0.3,0.4696113700316856,0.0,29.068782806396484,0.0003355120903509215,0.0002805708433307741,0.5,-0.05,2.5701841561800594,0.0,24576000
23,"(3.0, 1.0, 0.096)",10.750367,8.93262,13.589758,5.79926,2.4365275,26.769873,16384000.0,"(3.0, 1.0, 0.096)",0.0016915902361189,0.5,-0.4,1.527040790427815,0.0,10.750367164611816,0.0003355120903509215,0.0011022325961362739,0.51,-0.4,1.661074420929799,0.0,1536000
24,"(3.0, 1.0, 0.141)",4.0061545,3.1753223,5.277949,7.522498,3.0410058,37.51454,16384000.0,"(3.0, 1.0, 0.141)",0.002146468498587,0.4,-0.4,0.1829889646282961,0.0,4.006154537200928,0.0003355120903509215,0.0019262603212115703,0.4,-0.38,0.17638230289904108,0.0,512000
25,"(3.0, 1.0, 0.208)",1.3584931,1.0419704,1.8353417,9.597003,4.045145,39.550526,16384000.0,"(3.0, 1.0, 0.208)",0.0034574838958457,0.3,-0.3,0.0060133952535234,0.0,1.3584930896759033,0.0003355120903509215,0.0031248222664093106,0.3,-0.31,0.006148977914198515,0.0,192000
26,"(3.0, 1.0, 0.306)",0.3979732,0.2987519,0.55102473,13.077761,4.8204007,68.98945,16384000.0,"(3.0, 1.0, 0.306)",0.0046281106330702,0.2,0.1,4.187428552393961e-06,0.0,0.3979732096195221,0.0003355120903509215,0.003924313900451455,0.21,0.0,1.1851076103756994e-05,0.0,121500
27,"(3.0, 1.0, 0.45)",0.097727224,0.06842925,0.16110542,24.342752,6.090358,165.65569,16384000.0,"(3.0, 1.0, 0.45)",0.0052848602547772,0.1,1.9,1.2627470014084585e-17,50.0,0.09097958356142044,0.0003355120903509215,0.005176674284558369,0.09,2.2,3.0061205752666937e-20,25.0,72000
