filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
0,"(2.0, 0.5, 0.044)",47.675446,38.538307,58.149254,4.0355287,1.7087072,11.88198,16384000.0,"(2.0, 0.5, 0.044)",0.000870049109169,0.3,1.4,0.0171519619460284,0.0,47.675445556640625,0.0003355120903509,0.0007924909847081,0.27,1.8,0.0030741080748589,0.0,3072000,5.58572,0.024698,0.0,4.8886,0.0058223,0.0,3.95756,0.00953787,0.0,2.3075947e-09
1,"(2.0, 0.5, 0.065)",19.243467,15.368475,24.224464,4.5915446,1.8238894,14.051207,16384000.0,"(2.0, 0.5, 0.065)",0.0010116333665693,0.5,0.0,1.603622277577718,0.0,19.243467330932617,0.0003355120903509,0.0002847082999148,0.41,0.3,0.3672244065186337,0.0,23328000,3.41575,0.0289774,0.0,2.98161,0.00273087,1.4814799999999992e-106,2.44258,0.00811151,0.0,0.14036291
2,"(2.0, 0.5, 0.096)",7.278729,5.8730617,9.066898,5.347929,2.069188,19.490412,16384000.0,"(2.0, 0.5, 0.096)",0.0011318020645267,0.6,-0.4,2.0602034210650197,0.0,7.27872896194458,0.0003355120903509,0.0004589476251227,0.5,-0.22,0.7986667136965169,0.0,9216000,2.01814,0.0331705,0.0,1.76845,0.00534301,0.0,1.45229,0.00934257,0.0,0.0020108889
3,"(2.0, 0.5, 0.141)",2.8101535,2.207047,3.7605584,6.9910345,2.539103,32.83667,16384000.0,"(2.0, 0.5, 0.141)",0.0020123718173457,0.4,-0.2,0.0909291176511964,0.0,2.8101534843444824,0.0003355120903509,0.0013479992980446,0.5,-0.44,0.4248538770477265,0.0,1024000,1.17999,0.0387157,0.0,1.03314,0.0107158,0.0,0.841822,0.0137597,0.0,2.7639452e-26
4,"(2.0, 0.5, 0.208)",0.9830495,0.7538298,1.3227394,9.225349,3.4068913,56.3096,16384000.0,"(2.0, 0.5, 0.208)",0.0028156275797428,0.4,-0.4,0.0449027142343726,0.0,0.9830495119094848,0.0003355120903509,0.0020823784625015,0.4,-0.42,0.0466111544539286,0.0,432000,0.653816,0.0437342,0.0,0.572657,0.015804,0.0,0.463323,0.0178312,0.0,3.8967945e-62
5,"(2.0, 0.5, 0.306)",0.2809072,0.20950025,0.38420007,13.071856,3.5561674,79.350945,16384000.0,"(2.0, 0.5, 0.306)",0.0037618465588736,0.3,-0.3,0.0012434410732809,0.0,0.2809072136878967,0.0003355120903509,0.0027743324538875,0.28,-0.2,0.0005130238731648,0.0,243000,0.324606,0.0474949,0.0,0.284928,0.0198316,0.0,0.228979,0.0203076,0.0,5.829695599999997e-110
6,"(2.0, 0.5, 0.45)",0.15354717,0.113396116,0.24126898,16.764734,3.9495487,131.47011,16384000.0,"(2.0, 0.5, 0.45)",0.0042330481355684,0.2,0.4,7.932083621124451e-07,0.0,0.1535471677780151,0.0003355120903509,0.0033248642776816,0.22,0.2,5.757603851918768e-06,0.0,162000,0.239518,0.0472218,0.0,0.21029,0.0195994,0.0,0.169188,0.0196809,0.0,9.566137899999995e-158
7,"(2.0, 1.0, 0.044)",63.05527,52.46766,76.867676,3.9716148,1.6878263,11.15274,16384000.0,"(2.0, 1.0, 0.044)",0.000443502629537,0.2,3.2,5.893437778769221e-06,0.0,63.05527,0.0003355120903509,0.000443502629537,0.2,3.2,5.893437778769221e-06,0.0,9216000,6.49817,0.0232968,0.0,5.70073,0.00748497,0.0,4.59253,0.0101881,0.0,0.0031750352
8,"(2.0, 1.0, 0.065)",26.44106,21.522533,33.041473,4.424464,1.9012107,13.735676,16384000.0,"(2.0, 1.0, 0.065)",0.0004718985216291,0.3,1.1,0.0131712515409601,0.0,26.44106,0.0003355120903509,0.0004718985216291,0.3,1.1,0.0131712515409601,0.0,8192000,4.05804,0.0272154,0.0,3.54965,0.00422496,1.87525e-254,2.88411,0.00834326,0.0,0.0013546464
9,"(2.0, 1.0, 0.096)",9.860673,7.986827,12.410775,6.181883,2.1602745,40.18519,16384000.0,"(2.0, 1.0, 0.096)",0.0009004701411412,0.3,0.8,0.0070475936473593,0.0,9.860672950744627,0.0003355120903509,0.0002559687808232,0.34,0.5,0.0350109320683106,0.0,27648000,2.39319,0.0301603,0.0,2.08912,0.00370071,2.5311499999999993e-195,1.71486,0.00736532,0.0,0.23326531
