filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
0,47.17468,47.17468,45.43138,44.328167,42.62452,0.0010495100819514,0.0014013896062562,0.0021161922824011,0.0033839413806178,0.002689016262185588,0.0022166194499119163,0.0017105745661468719,0.0011468724165225597,0.0006290082553463971,47.17468,,,,
1,19.006046,19.006046,18.24941,17.78124,17.059925,0.0009428862545224,0.0013372706596486,0.0022261638227746,0.0035442051822558,0.002215600574820953,0.0017696111154398737,0.0013462330583271197,0.0008550221377415373,0.0005953132874024769,19.006046,,,,
2,7.4275613,7.4275613,7.0965905,6.9013,6.6031,0.0010920295966036,0.0012929759754736,0.0020684299366076,0.0035145951776022,0.0020320714527677745,0.0016391849350959643,0.0012042030350306251,0.0008652237349647818,0.0005273145762866305,7.4275613,,,,
3,2.9004047,2.9004047,2.7511299,2.6674974,2.5425937,0.0021184416613708,0.002343643097816,0.002684077038094,0.0039983863230593,0.0024856247620587135,0.002201315622685107,0.0019132255366289957,0.0018868250398333397,0.0014521035283997508,2.9004047,,,,
4,1.0722489,1.0722489,1.0083891,0.97487897,0.9254711,0.0037918130740161,0.0027067721179805,0.0033885677793787,0.0051075694950702,0.0037863675237909122,0.0035598570189033785,0.0032648985460199675,0.002851496425502087,0.002706772117980566,1.0722489,0.002407673388551579,0.0017557267486361106,,
5,0.3120329,0.3120329,0.29001483,0.27898276,0.26314217,0.0042883093428064,0.0047044590206459,0.0049169118869428,0.0058536071959102,0.004176880640720415,0.003925356974176432,0.0033707756986681714,0.003061197429209961,0.002858454084830264,0.3120329,,,,
6,0.17503677,0.17503677,0.1617172,0.15545651,0.14665477,0.0031582714023103,0.0042008801110639,0.0042599665307389,0.0058171844697963,0.003915042994368734,0.003638897459962931,0.0034037327598313016,0.0030858983999803025,0.0026657375673727612,0.17503677,,,,
7,61.50679,61.50679,59.08904,57.62561,55.389732,0.0005015953229197,0.0013422801433666,0.0020628379397509,0.0033647143790611,0.002857082605254524,0.002367177192688974,0.0017951773011521954,0.0011434991495870121,0.0005015953229197123,,,,,
8,26.69711,26.69711,25.558859,24.873623,23.826769,0.0008031914759815,0.0014276341325393,0.0021716497517477,0.0034655749714242,0.002696175360845994,0.002197656848977103,0.0016523475722550196,0.0010517920472242759,0.0006200379034893011,26.69711,,,,
9,10.228945,10.228945,9.763452,9.491405,9.0776415,0.0005701826424239,0.001354946090882,0.0021009371964882,0.0035460568723154,0.0026143700420466764,0.002169545047074742,0.00156655606552792,0.000923341550557736,0.0005163805707180114,10.228945,,,,
10,4.1469254,4.1469254,3.93498,3.8160927,3.6365943,0.0013941757544765,0.0025093456614401,0.0023663701286826,0.0039481104674048,0.0030658567172796303,0.0025126989156009916,0.002101083744107571,0.0013300260825597696,0.0007406892754925343,4.1469254,,,,
11,1.5297409,1.5297409,1.4418896,1.3935499,1.3219421,0.0017978666025717,0.0026226290045078,0.0031201313579427,0.0042806638105848,0.0030823333355692872,0.002804458401786447,0.002398324369332773,0.0016450978236481895,0.0014200860878507554,1.5297409,,,,
12,0.5114491,0.5114491,0.47648817,0.45861602,0.43275052,0.0023174099173004,0.0035173091660621,0.0042067336915235,0.0052514833624039,0.0034700803757005544,0.0029097199745907742,0.002886099476336168,0.002509117538821548,0.0020018422019315585,0.5114491,,,,
13,0.18049794,0.18049794,0.16512968,0.15803556,0.14807881,0.0027255757498024,0.003275994214113,0.0043921424469475,0.0051647978878343,0.006215802629277567,0.0056478315868917495,0.004926740361064552,0.004064007298336725,0.0025455304392888456,0.18049794,,,,
14,47.427895,47.427895,45.604084,44.45514,42.668694,0.0006579845087699,0.0013576764695506,0.0021381234341876,0.0035719651434633,0.002254788633007671,0.001781531961896142,0.001349632644311316,0.0008774314372735539,0.00046139237151700263,47.427895,,,,
15,17.998804,17.998804,17.230566,16.777327,16.078901,0.0009723069120541,0.0013425074100286,0.0022208070300195,0.0036303113509457,0.002326769856131339,0.0018293990957819473,0.0013681740108200113,0.000872528099303764,0.0003367107818914583,17.998804,,,,
16,6.9920244,6.9920244,6.664956,6.476384,6.1890497,0.0018517310170037,0.002720634084175,0.0025552381091121,0.0040415442285024,0.0025379313594617384,0.0020383927373572863,0.0016991987279348156,0.0014242121155111365,0.0008058300438337079,6.9920244,,,,
17,2.6901891,2.6901891,2.546074,2.4664264,2.34667,0.0031823644392255,0.0034073308382116,0.0035764972513381,0.0051708105514673,0.003209187399264679,0.002874402494168704,0.002419408287585356,0.002245145787009184,0.001760631310331745,2.6901891,,,,
18,0.9907175,0.9907175,0.93169034,0.89899933,0.85026413,0.0036712468573147,0.0048062955031626,0.0059312140875789,0.0056181353896502,0.004388099225023145,0.003976871514479452,0.003779473250906551,0.003402052749074569,0.0029263191511068876,0.9907175,,,,
19,0.30591866,0.30591866,0.28359872,0.27209076,0.25546384,0.0035311415308984,0.0061427093400387,0.005643203111473,0.0068955024352074,0.005363848350691702,0.0050087734845446485,0.004653699075744311,0.004173061057128141,0.0034153668077386706,0.30591866,,,,
20,0.09276763,0.09276763,0.08413043,0.080112636,0.07456163,0.0039168717822961,0.0039985969809285,0.0047186464362927,0.0055426455635226,0.0048124644590947785,0.004331922042493441,0.0036248450399754967,0.0029339526493420975,0.0033618273775559704,0.08692461,,,,
21,53.20995,53.20995,51.030975,49.732426,47.73766,0.0004531945879135,0.0015132320683743,0.0022635948711591,0.0036552509282283,0.0029067360062898853,0.002383789304037154,0.0018443757331842933,0.0012263087848175605,0.0004111178737656873,53.20995,,,,
22,21.432625,21.432625,20.50774,19.959515,19.117357,0.0012500177672215,0.001773535032082,0.0024362780491348,0.0037870513216632,0.0025427188436937254,0.0020361718885121283,0.0014660892457050156,0.001061169903209036,0.0006527392986810376,21.432625,,,,
23,8.029208,8.029208,7.612509,7.382386,7.035182,0.0018712604024158,0.002453394449455,0.0022454126717637,0.003764476615852,0.0029817284644070574,0.0024266840711804835,0.0017975855115087494,0.0012488096680841887,0.0005456586207794045,8.029208,,,,
24,3.161214,3.161214,2.9767673,2.8755066,2.7251775,0.0025087620096352,0.0026953377263881,0.0034004560421223,0.004928213939959,0.00291933691587129,0.00233188425060573,0.002081873485898389,0.0015350560872077201,0.0010578331013425257,3.161214,,,,
25,1.1886761,1.1886761,1.1074032,1.0656178,1.0043348,0.0040788247517928,0.003915541631998,0.0050627997533118,0.0055260122302679,0.004441561275874251,0.004074986640498102,0.004007240862953787,0.0034976206176066116,0.003417265807989067,1.1886761,0.003162918614066812,0.0021908839688186132,,
26,0.389292,0.389292,0.3582931,0.3427749,0.3204993,0.0039639885843193,0.0046611988751665,0.0060671077057337,0.0055946017133409,0.004435505795086003,0.0043459884817867445,0.004017740573113139,0.003535409492413155,0.0035158783903327384,0.389292,,,,
27,0.10431826,0.10431826,0.092799634,0.08814633,0.08171292,0.0048155273023235,0.0037073393027284,0.0048190554312927,0.0059365840336568,0.005708756460217346,0.005235113851361883,0.004819055431292796,0.0043570763992698755,0.003707339302728485,0.096107505,0.0036647899714173926,0.004327343738553258,,
