filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group
0,47.17468,38.20787,57.34406,3.9330387,1.6570514,12.296394,16384000.0,"(2.0, 0.5, 0.044)"
1,19.006046,15.189773,23.890121,4.4910736,1.7631232,14.001322,16384000.0,"(2.0, 0.5, 0.065)"
2,7.4275613,5.9934306,9.2406,5.486764,2.0330708,25.079126,16384000.0,"(2.0, 0.5, 0.096)"
3,2.9004047,2.2809157,3.8593264,6.90676,2.45628,31.497519,16384000.0,"(2.0, 0.5, 0.141)"
4,1.0722489,0.82504034,1.4573237,9.078379,3.2497818,60.51269,16384000.0,"(2.0, 0.5, 0.208)"
5,0.3120329,0.23551369,0.42668587,12.071183,3.256212,78.44662,16384000.0,"(2.0, 0.5, 0.306)"
6,0.17503677,0.13140352,0.26022366,13.582359,3.521244,97.91984,16384000.0,"(2.0, 0.5, 0.45)"
7,61.50679,51.126873,75.65922,4.1552515,1.6519405,15.351008,16384000.0,"(2.0, 1.0, 0.044)"
8,26.69711,21.60098,33.70586,4.9464865,1.9283122,17.890352,16384000.0,"(2.0, 1.0, 0.065)"
9,10.228945,8.308525,12.878731,5.65763,2.1613176,28.274094,16384000.0,"(2.0, 1.0, 0.096)"
10,4.1469254,3.2570379,5.4993076,7.1185493,2.5716193,42.064358,16384000.0,"(2.0, 1.0, 0.141)"
11,1.5297409,1.1691076,1.9863064,8.38496,2.8872685,42.168125,16384000.0,"(2.0, 1.0, 0.208)"
12,0.5114491,0.3814103,0.70142204,11.17331,3.688109,60.483738,16384000.0,"(2.0, 1.0, 0.306)"
13,0.18049794,0.13590665,0.27769545,18.198215,4.0836196,137.43698,16384000.0,"(2.0, 1.0, 0.45)"
14,47.427895,39.06107,57.809998,4.27898,1.9889216,11.626909,16384000.0,"(3.0, 0.5, 0.044)"
15,17.998804,14.61592,22.436235,5.1315584,1.9926287,25.71712,16384000.0,"(3.0, 0.5, 0.065)"
16,6.9920244,5.646675,8.709237,6.146884,2.2754164,32.913696,16384000.0,"(3.0, 0.5, 0.096)"
17,2.6901891,2.1106844,3.5373685,8.123078,3.0365353,57.762535,16384000.0,"(3.0, 0.5, 0.141)"
18,0.9907175,0.7520779,1.3398156,9.361341,3.6889992,46.35171,16384000.0,"(3.0, 0.5, 0.208)"
19,0.30591866,0.23430955,0.4262752,12.947309,4.238446,72.068146,16384000.0,"(3.0, 0.5, 0.306)"
20,0.09276763,0.06688535,0.16135217,21.578331,5.0792837,174.54463,16384000.0,"(3.0, 0.5, 0.45)"
21,53.20995,42.93905,66.96767,4.53205,1.8943949,16.536644,16384000.0,"(3.0, 1.0, 0.044)"
22,21.432625,17.031868,27.109272,5.302412,2.0517483,27.711172,16384000.0,"(3.0, 1.0, 0.065)"
23,8.029208,6.6042094,10.660976,7.3286314,2.5477848,51.147522,16384000.0,"(3.0, 1.0, 0.096)"
24,3.161214,2.4805443,4.236783,8.667655,3.1713212,42.36748,16384000.0,"(3.0, 1.0, 0.141)"
25,1.1886761,0.90336776,1.6876208,12.122638,3.977831,70.949936,16384000.0,"(3.0, 1.0, 0.208)"
26,0.389292,0.2897436,0.56864196,16.396116,4.7102613,114.1872,16384000.0,"(3.0, 1.0, 0.306)"
27,0.10431826,0.072859116,0.21401885,38.34483,5.3923864,295.0217,16384000.0,"(3.0, 1.0, 0.45)"
28,45.11293,37.236176,56.50143,4.121438,1.4592358,13.761944,16384000.0,"(4.0, 0.5, 0.044)"
29,18.236677,14.772431,22.374443,4.7698355,1.8729948,20.32694,16384000.0,"(4.0, 0.5, 0.065)"
30,6.9383764,5.600401,8.653253,5.886297,2.2278152,34.487,16384000.0,"(4.0, 0.5, 0.096)"
31,2.6270237,2.0331495,3.4535792,6.8117113,2.702915,29.217962,16384000.0,"(4.0, 0.5, 0.141)"
32,0.9751303,0.7577122,1.2818091,8.842543,3.278134,49.414383,16384000.0,"(4.0, 0.5, 0.208)"
33,0.2902549,0.21836473,0.40878153,12.643364,4.1073937,77.97021,16384000.0,"(4.0, 0.5, 0.306)"
34,0.075268514,0.05384716,0.13742305,28.530409,5.0038652,233.3888,16384000.0,"(4.0, 0.5, 0.45)"
35,48.46863,39.593395,59.306038,4.600747,1.6933938,16.83851,16384000.0,"(4.0, 1.0, 0.044)"
36,19.914762,16.231815,26.928726,6.056381,1.8584399,38.592445,16384000.0,"(4.0, 1.0, 0.065)"
37,7.3316264,5.8822217,9.595237,6.7270355,2.1272697,50.510883,16384000.0,"(4.0, 1.0, 0.096)"
38,2.8726125,2.2543998,3.8223598,8.591349,2.9817448,62.10165,16384000.0,"(4.0, 1.0, 0.141)"
39,1.0814724,0.8333615,1.6645209,14.466387,3.6097066,119.1311,16384000.0,"(4.0, 1.0, 0.208)"
40,0.34280038,0.2467046,0.519402,16.722788,4.478074,124.15145,16384000.0,"(4.0, 1.0, 0.306)"
41,0.080307275,0.057547078,0.14998148,30.486702,5.493319,214.21436,16384000.0,"(4.0, 1.0, 0.45)"
