filter_idx,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
0,16384000.0,0.2,3.1,0.0010495100819514,0.0,0.22,2.7,4.7886006631829406e-05,0.0006290082553463971,0.0,4608000.0
1,16384000.0,0.4,0.4,0.0009428862545224,0.0,0.43,0.3,0.49244136875894506,0.0005953132874024769,0.0,5184000.0
2,16384000.0,0.5,-0.2,0.0010920295966036,0.0,0.47,-0.1,0.516478747095246,0.0005273145762866305,0.0,6912000.0
3,16384000.0,0.5,-0.4,0.0021184416613708,0.0,0.49,-0.4,0.3771442638295789,0.0014521035283997508,0.0,864000.0
4,16384000.0,0.5,-0.5,0.0027067721179805,50.0,0.4,-0.35,0.04472138338936349,0.0017557267486361106,0.0,576000.0
5,16384000.0,0.3,-0.2,0.0042883093428064,0.0,0.3,-0.16,0.0010263084849600839,0.002858454084830264,0.0,216000.0
6,16384000.0,0.3,-0.1,0.0031582714023103,0.0,0.26,0.1,7.541615221446024e-05,0.0026657375673727612,0.0,256000.0
7,16384000.0,0.1,8.6,0.0005015953229197,0.0,0.1,8.6,3.6141741309973354e-19,0.0005015953229197,0.0,7381125.0
8,16384000.0,0.2,2.5,0.0008031914759815,0.0,0.22,2.2,4.587897515313087e-05,0.0006200379034893011,0.0,4608000.0
9,16384000.0,0.3,0.8,0.0005701826424239,0.0,0.33,0.6,0.024428290659658354,0.0005163805707180114,0.0,6912000.0
10,16384000.0,0.3,0.4,0.0013941757544765,0.0,0.36,0.1,0.040768541275413996,0.0007406892754925343,0.0,3456000.0
11,16384000.0,0.3,0.1,0.0017978666025717,0.0,0.32,0.0,0.006697410645428413,0.0014200860878507554,0.0,922639.0
12,16384000.0,0.3,-0.1,0.0023174099173004,0.0,0.28,0.0,0.0006156719182257319,0.0020018422019315585,0.0,486000.0
13,16384000.0,0.1,2.6,0.0027255757498024,0.0,0.11,2.2,8.659648659343456e-16,0.0025455304392888456,0.0,288000.0
14,16384000.0,0.4,0.5,0.0006579845087699,0.0,0.38,0.6,0.3732234252955395,0.00046139237151700263,0.0,8748000.0
15,16384000.0,0.4,0.3,0.0009723069120541,0.0,0.42,0.2,0.4526108519315432,0.0003367107818914583,0.0,16384000.0
16,16384000.0,0.5,-0.3,0.0018517310170037,0.0,0.45,-0.2,0.44534954269616295,0.0008058300438337079,0.0,2916000.0
17,16384000.0,0.4,-0.3,0.0031823644392255,0.0,0.43,-0.4,0.1848082713628685,0.001760631310331745,0.0,576000.0
18,16384000.0,0.3,-0.2,0.0036712468573147,0.0,0.35,-0.4,0.018913353801144343,0.0029263191511068876,0.0,216000.0
19,16384000.0,0.2,0.3,0.0035311415308984,0.0,0.21,0.2,5.593615961947516e-06,0.0034153668077386706,0.0,162000.0
20,16384000.0,0.1,2.3,0.0039168717822961,0.0,0.11,2.1,5.212747238201478e-16,0.0029339526493420975,25.0,216000.0
21,16384000.0,0.2,2.8,0.0004531945879135,0.0,0.21,2.6,2.4792444856496975e-05,0.0004111178737656873,0.0,11071687.0
22,16384000.0,0.4,0.2,0.0012500177672215,0.0,0.41,0.2,0.4617533162147299,0.0006527392986810376,0.0,4374000.0
