filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
0,"(2.0, 0.5, 0.044)",45.685776,36.681442,56.196175,4.554366,1.9364495,13.45373,16384000.0,"(2.0, 0.5, 0.044)",0.0010229508747646,0.2,2.5,8.957152220347092e-06,0.0,45.68577575683594,0.0003355120903509,0.0009209509009063,0.21,2.3,2.961843668108855e-05,0.0,2304000,5.34307,0.0264753,0.0,4.65703,0.00425856,1.6465199999999997e-258,3.79601,0.00835984,0.0,1.7012388e-12
1,"(2.0, 0.5, 0.065)",18.020935,14.297063,22.832045,5.1927633,2.0208056,22.338587,16384000.0,"(2.0, 0.5, 0.065)",0.0014609301158827,0.7,-0.4,7.684188028875646,50.0,18.02093505859375,0.0003355120903509,0.000771132990174,0.45,0.0,0.8743249186459648,0.0,3072000,3.22448,0.0309053,0.0,2.83444,0.0039518,1.1452399999999999e-222,2.32875,0.00754401,0.0,6.8932033e-09
2,"(2.0, 0.5, 0.096)",6.863085,5.4968762,8.647962,6.1448936,2.256978,31.258554,16384000.0,"(2.0, 0.5, 0.096)",0.00133528411522,0.5,-0.3,0.8410643128787766,0.0,6.86308479309082,0.0003355120903509,0.0002458358770245,0.5,-0.32,0.8655020168849408,0.0,31104000,1.91301,0.0351879,0.0,1.6767,0.00731196,0.0,1.36987,0.0110605,0.0,0.27527319
3,"(2.0, 0.5, 0.141)",2.6093285,2.0218143,3.5627794,8.296274,2.903663,39.319584,16384000.0,"(2.0, 0.5, 0.141)",0.0021785209102646,0.4,-0.3,0.0997015679648203,0.0,2.609328508377075,0.0003355120903509,0.0009267381878388,0.4,-0.32,0.1032180506020671,0.0,2048000,1.09846,0.0405085,0.0,0.96277,0.0126487,0.0,0.780393,0.0150281,0.0,1.1983686e-12
4,"(2.0, 0.5, 0.208)",0.9589084,0.7204443,1.3159907,11.4510145,3.9673896,63.742058,16384000.0,"(2.0, 0.5, 0.208)",0.0023076306591348,0.3,-0.2,0.0034238564015358,0.0,0.9589083790779114,0.0003355120903509,0.0016972827220651,0.3,-0.18,0.0032852782294293,0.0,648000,0.621817,0.0445266,0.0,0.545436,0.0167616,0.0,0.439682,0.0178166,0.0,2.0157226e-41
5,"(2.0, 0.5, 0.306)",0.2790556,0.20313998,0.39735544,16.405006,3.9135363,98.95448,16384000.0,"(2.0, 0.5, 0.306)",0.0028625290569641,0.2,0.4,1.44157157026776e-06,0.0,0.2790555953979492,0.0003355120903509,0.0021214072880028,0.18,0.6,1.2691678538578352e-07,0.0,432000,0.324206,0.0445324,0.0,0.285121,0.0173654,0.0,0.228825,0.0163521,0.0,1.80235e-64
6,"(2.0, 0.5, 0.45)",0.15572727,0.11268372,0.25191146,20.012684,4.3275633,133.7195,16384000.0,"(2.0, 0.5, 0.45)",0.002482972835525,0.1,2.6,4.1776769913050304e-18,0.0,0.1557272672653198,0.0003355120903509,0.0023231944176008,0.09,3.0,7.215676088346285e-21,0.0,345988,0.244408,0.0426951,0.0,0.214801,0.0158368,0.0,0.172866,0.0141019,0.0,3.1085067999999992e-77
7,"(2.0, 1.0, 0.044)",59.56448,48.876278,73.659966,4.7235255,2.0101392,13.899191,16384000.0,"(2.0, 1.0, 0.044)",0.0006336024787663,0.1,7.2,1.455184474238316e-18,0.0,59.56448,0.0003355120903509,0.0006336024787663,0.1,7.2,1.455184474238316e-18,0.0,4608000,6.15636,0.0248716,0.0,5.38721,0.00648004,0.0,4.36425,0.00881503,0.0,3.8707678e-06
8,"(2.0, 1.0, 0.065)",23.811407,19.12497,30.636597,5.54132,2.1732166,28.138935,16384000.0,"(2.0, 1.0, 0.065)",0.0006625770163728,0.2,2.1,7.535064646854953e-06,0.0,23.8114070892334,0.0003355120903509,0.0005598847336453,0.22,1.8,6.549097141602853e-05,0.0,6144000,3.7594,0.0285462,0.0,3.26972,0.00348029,8.485159999999996e-173,2.67865,0.00729282,0.0,6.9163242e-05
9,"(2.0, 1.0, 0.096)",9.405065,7.5644174,12.1222105,7.0016775,2.4734004,50.688107,16384000.0,"(2.0, 1.0, 0.096)",0.0007905946780014,0.3,0.5,0.0100829436902551,0.0,9.405064582824709,0.0003355120903509,0.0004634980800467,0.35,0.2,0.0640338697249939,0.0,8192000,2.25553,0.0333175,0.0,1.97723,0.00624037,0.0,1.61817,0.00827435,0.0,0.0017524742
10,"(2.0, 1.0, 0.141)",3.6657112,2.8427541,4.82459,8.387946,3.0444374,38.119015,16384000.0,"(2.0, 1.0, 0.141)",0.0018619744051759,0.3,0.1,0.0073979635429219,0.0,3.6657111644744873,0.0003355120903509,0.0005993569822185,0.35,-0.1,0.0398550118974161,0.0,5184000,1.31688,0.0384614,0.0,1.15594,0.0108116,0.0,0.93624,0.0130184,0.0,1.5441352e-05
11,"(2.0, 1.0, 0.208)",1.3499298,1.0060525,1.8657823,11.34349,3.4958618,73.32452,16384000.0,"(2.0, 1.0, 0.208)",0.0022872839600931,0.3,-0.1,0.0039403499692655,0.0,1.3499298095703125,0.0003355120903509,0.0012967707901687,0.3,-0.12,0.0040983441681096,0.0,1152000,0.750257,0.0426953,0.0,0.658933,0.0151168,0.0,0.530317,0.0159121,0.0,2.3424129000000003e-24
12,"(2.0, 1.0, 0.306)",0.45173845,0.32693344,0.6685422,16.077417,4.316433,104.821335,16384000.0,"(2.0, 1.0, 0.306)",0.0027421105778078,0.1,2.6,1.211873391895688e-17,0.0,0.4517384469509125,0.0003355120903509,0.0025564565082751,0.11,2.2,2.167280215013575e-15,0.0,288000,0.418041,0.0432002,0.0,0.367529,0.0160221,0.0,0.29584,0.0152669,0.0,1.9691057999999987e-93
13,"(2.0, 1.0, 0.45)",0.16542232,0.12102197,0.26770687,23.936888,4.7350984,163.62444,16384000.0,"(2.0, 1.0, 0.45)",0.003386208288165,0.1,2.8,2.593318981982617e-18,50.0,0.1540546715259552,0.0003355120903509,0.0025878641688868,0.1,2.6,4.1328064631129865e-18,25.0,288000,0.244669,0.0424134,0.0,0.215609,0.0161502,0.0,0.172527,0.0134329,0.0,9.884350999999993e-96
14,"(3.0, 0.5, 0.044)",42.88917,34.897266,53.572945,5.0656557,2.2974403,17.958284,16384000.0,"(3.0, 0.5, 0.044)",0.0008129979670984,0.3,0.9,0.0270577615440011,0.0,42.88917,0.0003355120903509,0.0008129979670984,0.3,0.9,0.0270577615440011,0.0,2916000,5.05177,0.0287503,0.0,4.41481,0.0032676,2.2548699999999987e-152,3.61667,0.00751797,0.0,7.8454381e-10
15,"(3.0, 0.5, 0.065)",16.928555,13.458186,21.470652,6.2625227,2.4856718,25.218695,16384000.0,"(3.0, 0.5, 0.065)",0.0019369789694331,0.5,-0.3,2.074577761631385,0.0,16.92855453491211,0.0003355120903509,0.0003984484556492,0.39,0.0,0.3425245937369987,0.0,12288000,3.00033,0.034129,0.0,2.6349,0.00687833,0.0,2.15613,0.00920558,0.0,0.011005011
16,"(3.0, 0.5, 0.096)",6.561116,5.219706,8.245168,6.9634247,2.711607,26.669783,16384000.0,"(3.0, 0.5, 0.096)",0.0022924894890851,0.4,-0.3,0.2506980521963469,0.0,6.561116218566895,0.0003355120903509,0.001218783292146,0.4,-0.26,0.2342473593976782,0.0,1296000,1.77686,0.0392202,0.0,1.55781,0.0113901,0.0,1.265,0.0137512,0.0,1.4505785000000001e-21
17,"(3.0, 0.5, 0.141)",2.4277604,1.8588868,3.2443151,9.910684,3.8264534,56.912453,16384000.0,"(3.0, 0.5, 0.141)",0.0030377017791334,0.4,-0.5,0.1344716626190834,0.0,2.427760362625122,0.0003355120903509,0.0021429018391254,0.33,-0.3,0.0241790400768255,0.0,384000,0.995645,0.0448527,0.0,0.873348,0.0171193,0.0,0.702949,0.0184676,0.0,8.941931699999999e-66
18,"(3.0, 0.5, 0.208)",0.89144206,0.65899706,1.2463057,12.981702,4.4596834,83.0702,16384000.0,"(3.0, 0.5, 0.208)",0.004931005137438,0.3,-0.3,0.0036660924274003,50.0,0.891442060470581,0.0003355120903509,0.0036441352374189,0.22,0.1,4.195540069331078e-05,0.0,144000,0.561412,0.0491895,0.0,0.493097,0.0216191,0.0,0.395413,0.0214922,0.0,2.0737985999999993e-189
19,"(3.0, 0.5, 0.306)",0.27487868,0.20556767,0.4018709,17.020103,5.031698,98.65531,16384000.0,"(3.0, 0.5, 0.306)",0.003782654026859,0.1,2.1,2.3744435272895138e-17,0.0,0.2748786807060241,0.0003355120903509,0.0029977541335685,0.09,2.5,4.171386369359439e-20,0.0,216000,0.304669,0.0462241,0.0,0.268635,0.0197501,0.0,0.214585,0.0169246,0.0,2.589411399999999e-128
20,"(3.0, 0.5, 0.45)",0.08999341,0.0629991,0.16051345,26.494781,5.833431,189.20804,16384000.0,"(3.0, 0.5, 0.45)",0.004092457504126,0.1,2.7,1.6405818644596511e-18,100.0,0.078037790954113,0.0003355120903509,0.003680099838075,0.09,3.1,2.893880345177939e-21,75.0,144000,0.174618,0.0412128,0.0,0.15429,0.016282,0.0,0.123045,0.0112741,0.0,3.699416099999999e-193
21,"(3.0, 1.0, 0.044)",50.252575,40.125416,64.62872,5.2850695,2.163509,23.915028,16384000.0,"(3.0, 1.0, 0.044)",0.0009195410914656,0.3,1.0,0.0281117061499248,0.0,50.2525749206543,0.0003355120903509,0.0006752665597825,0.26,1.4,0.0030069832214396,0.0,4096000,5.52415,0.0277528,0.0,4.80449,0.0036382,8.547999999999996e-189,3.92258,0.00787828,0.0,6.4823206e-07
22,"(3.0, 1.0, 0.065)",19.24732,15.123154,24.667614,6.3830767,2.282496,30.593962,16384000.0,"(3.0, 1.0, 0.065)",0.0009654825992266,0.4,0.1,0.4011456297019105,0.0,18.64629364013672,0.0003355120903509,0.0007367799909405,0.48,-0.1,1.4408431403884323,25.0,3456000,3.28204,0.0317549,0.0,2.8767,0.00473279,,2.36312,0.00716627,0.0,3.7636898e-08
23,"(3.0, 1.0, 0.096)",7.60454,6.165029,10.111332,8.20318,2.967762,46.67734,16384000.0,"(3.0, 1.0, 0.096)",0.0008243563322365,0.3,0.2,0.0129483176117585,0.0,7.60453987121582,0.0003355120903509,0.0003519751315598,0.34,0.0,0.0556474250553209,0.0,15552000,1.9277,0.0371652,0.0,1.69282,0.00960523,0.0,1.3718,0.0115036,0.0,0.034506579
