filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
0,"(2.0, 0.5, 0.044)",45.685776,36.681442,56.196175,4.554366,1.9364495,13.45373,16384000.0,"(2.0, 0.5, 0.044)",0.001022950874764672,0.2,2.5,8.957152220347092e-06,0.0,45.685776,0.0003355120903509215
1,"(2.0, 0.5, 0.065)",18.020935,14.297063,22.832045,5.1927633,2.0208056,22.338587,16384000.0,"(2.0, 0.5, 0.065)",0.0014609301158827748,0.7,-0.4,7.684188028875646,50.0,17.255861,0.0003355120903509215
2,"(2.0, 0.5, 0.096)",6.863085,5.4968762,8.647962,6.1448936,2.256978,31.258554,16384000.0,"(2.0, 0.5, 0.096)",0.0013352841152200479,0.5,-0.3,0.8410643128787766,0.0,6.863085,0.0003355120903509215
3,"(2.0, 0.5, 0.141)",2.6093285,2.0218143,3.5627794,8.296274,2.903663,39.319584,16384000.0,"(2.0, 0.5, 0.141)",0.002178520910264603,0.4,-0.3,0.0997015679648203,0.0,2.6093285,0.0003355120903509215
4,"(2.0, 0.5, 0.208)",0.9589084,0.7204443,1.3159907,11.4510145,3.9673896,63.742058,16384000.0,"(2.0, 0.5, 0.208)",0.0023076306591348628,0.3,-0.2,0.00342385640153586,0.0,0.9589084,0.0003355120903509215
5,"(2.0, 0.5, 0.306)",0.2790556,0.20313998,0.39735544,16.405006,3.9135363,98.95448,16384000.0,"(2.0, 0.5, 0.306)",0.002862529056964158,0.2,0.4,1.4415715702677601e-06,0.0,0.2790556,0.0003355120903509215
6,"(2.0, 0.5, 0.45)",0.15572727,0.11268372,0.25191146,20.012684,4.3275633,133.7195,16384000.0,"(2.0, 0.5, 0.45)",0.0024829728355250102,0.1,2.6,4.1776769913050304e-18,0.0,0.15572727,0.0003355120903509215
7,"(2.0, 1.0, 0.044)",59.56448,48.876278,73.659966,4.7235255,2.0101392,13.899191,16384000.0,"(2.0, 1.0, 0.044)",0.0006336024787663708,0.1,7.2,1.455184474238316e-18,0.0,59.56448,0.0003355120903509215
8,"(2.0, 1.0, 0.065)",23.811407,19.12497,30.636597,5.54132,2.1732166,28.138935,16384000.0,"(2.0, 1.0, 0.065)",0.000662577016372845,0.2,2.1,7.535064646854953e-06,0.0,23.811407,0.0003355120903509215
9,"(2.0, 1.0, 0.096)",9.405065,7.5644174,12.1222105,7.0016775,2.4734004,50.688107,16384000.0,"(2.0, 1.0, 0.096)",0.0007905946780014661,0.3,0.5,0.010082943690255105,0.0,9.405065,0.0003355120903509215
10,"(2.0, 1.0, 0.141)",3.6657112,2.8427541,4.82459,8.387946,3.0444374,38.119015,16384000.0,"(2.0, 1.0, 0.141)",0.0018619744051759923,0.3,0.1,0.00739796354292191,0.0,3.6657112,0.0003355120903509215
11,"(2.0, 1.0, 0.208)",1.3499298,1.0060525,1.8657823,11.34349,3.4958618,73.32452,16384000.0,"(2.0, 1.0, 0.208)",0.002287283960093145,0.3,-0.1,0.0039403499692655065,0.0,1.3499298,0.0003355120903509215
12,"(2.0, 1.0, 0.306)",0.45173845,0.32693344,0.6685422,16.077417,4.316433,104.821335,16384000.0,"(2.0, 1.0, 0.306)",0.0027421105778078214,0.1,2.6,1.211873391895688e-17,0.0,0.45173845,0.0003355120903509215
