filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,31.70499471173972,22.52700444377125,42.142499956919856,12.014942246962518,6.009548991014785,19.644677118490755,491520.0,dual_color,0.007221183543587195,0.1,2.1,2.453148341714112e-15,100.0,28.39899841780179,0.001936799274036008
3,7.481200376254051,5.566471878744717,10.543581073700825,12.409298442000749,4.55699955156629,50.58505068365567,491520.0,single_edge,0.004365507716242334,0.2,0.2,6.138066702308959e-05,0.0,7.481200376254051,0.001936799274036008
4,36.8306249972909,28.769431258339264,47.0116875473712,7.514249184428442,3.901823584737176,11.93801300096635,491520.0,dual_color,0.0055958509198785755,0.3,-0.3,0.16303145538697555,0.0,36.8306249972909,0.001936799274036008
5,26.65455508020478,21.11200436514754,32.38945769513299,5.603046991423431,3.0774972801509524,8.929390724425142,491520.0,dual_color,0.007735853827942618,0.5,-0.6,5.088841186597832,50.0,25.647759580453066,0.001936799274036008
6,14.452232343989271,11.2448889754256,17.838990627753,6.285979493875871,3.205153527278872,19.23548279806801,491520.0,single_edge,0.008608235107821827,0.3,-0.1,0.042185047599313685,0.0,14.452232343989273,0.001936799274036008
9,4.051778997493767,2.900102388306178,5.885604870528016,19.09718443060316,3.991984471828953,70.7313179254255,491520.0,multi_edge,0.005929298723758247,0.3,-0.4,0.022578545790524398,0.0,4.051778997493767,0.001936799274036008
10,9.32110381071161,7.204218205189612,12.306690701112869,8.19445008944712,3.3176761559297865,28.08011722499271,491520.0,single_edge,0.005918475610240392,0.5,-0.6,1.7456746336776419,50.0,8.798200153735314,0.001936799274036008
11,13.38130881658039,10.280961337809412,17.824929174946348,10.238946082670251,4.185528328904315,48.76912458964179,491520.0,single_edge,0.007034271994058643,0.3,-0.3,0.055581999178735034,50.0,12.556593839468745,0.001936799274036008
12,9.25049039058488,7.043249318165296,11.724245580837978,8.413574535578611,4.079546897736362,16.975550029673325,491520.0,single_edge,0.010463075012268175,0.3,-0.2,0.02847711135413783,200.0,7.975492394239505,0.001936799274036008
13,11.093932426874234,8.31256734328079,14.787578499260494,11.891808174741165,4.843060161277877,44.152543592759486,491520.0,single_edge,0.006746529822488134,0.3,-0.4,0.05767244664683025,50.0,10.349471140686754,0.001936799274036008
16,7.301698428613108,5.661515189639592,9.368644170663108,7.430608471182294,3.460228979838393,17.915383750058197,491520.0,multi_edge,0.006194681576973116,0.2,0.6,2.4712971526471627e-05,0.0,7.301698428613108,0.001936799274036008
17,21.73798695511777,16.34769118182006,27.89922677904539,7.825621983637655,5.04718987189514,12.257502135522524,491520.0,dual_color,0.013240082788223917,0.2,-0.2,0.0005055397934845037,50.0,20.895934429532847,0.001936799274036008
18,7.461864874648031,5.547410310990649,9.78466579841092,9.425084581007292,4.565212805109525,22.744342775685144,491520.0,multi_edge,0.00514290523617511,0.2,0.2,6.122202590587389e-05,0.0,7.461864874648031,0.001936799274036008
20,34.50162840846012,26.660562806939318,44.07667957344917,9.260088920179848,5.748908119123094,13.635322811013976,491520.0,dual_color,0.005826139047983958,0.1,2.1,2.843664430481656e-15,50.0,32.91982807920189,0.001936799274036008
22,6.999515908392691,5.280538100736197,9.33218099017332,11.840488734068156,4.427564849703007,29.540821109693617,491520.0,multi_edge,0.005117916179193771,0.3,-0.3,0.028715314872226443,50.0,6.487110056324709,0.001936799274036008
24,9.685040608029846,6.993579334781532,13.278145809548024,12.951597280078778,4.912910542870475,39.65707824398483,491520.0,single_edge,0.008299328572122733,0.3,-0.5,0.06916237047970047,0.0,9.685040608029846,0.001936799274036008
25,4.203372376357754,2.8975185608924434,6.067895139411966,22.8649889304482,5.868892403510559,69.7744525334239,491520.0,multi_edge,0.007277935193940432,0.1,1.5,1.8220135784133115e-15,0.0,4.203372376357754,0.001936799274036008
27,4.911069254992632,3.602245264156035,6.925604338501477,13.969815821573924,4.843329437636399,47.04472102640496,491520.0,multi_edge,0.0047513037928260254,0.4,-0.6,0.2949933716895278,100.0,4.318453326773673,0.001936799274036008
30,8.770793649123624,6.302614815468263,12.22130517511488,13.874847329917884,5.170675138636258,60.59474411567879,491520.0,single_edge,0.00812511173031727,0.3,-0.4,0.04521733642818696,50.0,8.114369090113248,0.001936799274036008
33,7.141403594720392,5.099984891752835,10.554201166481144,22.39897902459103,5.346590820947896,83.01998613134963,491520.0,multi_edge,0.0041132790626374205,0.1,1.8,1.3374486281707263e-15,0.0,7.1414035947203915,0.001936799274036008
38,24.48698352211153,18.3584720276687,32.32501408072353,10.676298017387076,5.780743234831775,17.598957289099964,491520.0,dual_color,0.007479045751668301,0.1,1.9,3.3198399586846205e-15,50.0,23.098199701656743,0.001936799274036008
41,9.734125789548566,7.198825246335599,15.166677161367032,17.592247246016044,4.821381934856755,88.95838503632932,491520.0,multi_edge,0.005572828207936906,0.1,2.0,1.0810908976750151e-15,0.0,9.734125789548566,0.001936799274036008
42,29.18981897122805,20.108110078760827,40.01199948962282,15.538260692435596,8.597525012995003,24.986915457638155,491520.0,dual_color,0.01053324831616187,0.1,1.5,1.0256276708277838e-14,200.0,23.661157474687638,0.001936799274036008
44,21.247908359658307,16.250065691751715,29.69127884113145,13.113070673078354,5.102112674060731,29.371591114840083,491520.0,dual_color,0.00629640452467245,0.1,2.8,3.26824571369556e-16,100.0,18.762248217007965,0.001936799274036008
47,20.561622665936177,16.39028618576744,25.74247197102669,6.630244871940871,3.809452142426252,10.665425320110428,491520.0,dual_color,0.009976775769326152,0.3,-0.3,0.0873480755551459,50.0,19.732904962238475,0.001936799274036008
48,5.9353717969034685,4.334552164927557,8.328611696530858,14.799285700696595,5.56929014278652,44.82552733912671,491520.0,single_edge,0.009737274997606904,0.1,2.6,1.290072658156938e-16,200.0,4.808880390863577,0.001936799274036008
49,23.696575665840264,18.352262537257936,30.434731451333185,8.574878159214034,4.28574907728579,19.6406462912818,491520.0,single_edge,0.006106169467073215,0.3,-0.3,0.09946870373802975,50.0,22.471090119671928,0.001936799274036008
54,3.3982395939900765,2.1929540531492964,5.53379909289346,33.483923658311326,6.665153087981437,106.39389389451205,491520.0,multi_edge,0.007517789205277681,0.1,2.5,8.295623137263271e-17,200.0,2.4738240397574036,0.001936799274036008
55,10.82686188332942,8.084514111640651,14.809244648387818,12.004093184952763,4.75302682718019,25.932336741685635,491520.0,single_edge,0.006040975930260595,0.1,2.0,1.2024522885269636e-15,0.0,10.826861883329421,0.001936799274036008
56,28.50887924894096,21.42913915880229,36.582102229732754,8.747352269971804,4.614059578510213,14.439587113500531,491520.0,dual_color,0.011198325600198122,0.3,-0.6,0.2525294477332319,50.0,27.023314809315984,0.001936799274036008
57,9.982889202092103,7.67954973163568,12.61730892387469,8.336154544876575,4.045353351524866,22.38447040587525,491520.0,single_edge,0.008018043970764221,0.4,-0.4,0.39341404141778635,200.0,8.61296444966444,0.001936799274036008
59,27.24978998926625,21.48275109534016,33.355587590827724,4.974131140556322,2.718392915659309,9.084370624745338,491520.0,dual_color,0.005031895986042034,0.4,-0.3,1.0412053445626541,0.0,27.24978998926625,0.001936799274036008
60,1.1218626767427036,0.8878222230192081,1.409359452882834,6.705308360723164,2.5766665148425223,25.570385697101617,491520.0,misc,0.0569785125965756,0.1,6.7,4.810334294679452e-20,0.0,1.1218626767427036,0.001936799274036008
62,20.14958970748593,15.455916713867024,25.634268727064995,8.727901988948998,5.228885955989972,12.828867730691902,491520.0,misc,0.024931566831527308,0.1,1.1,3.0246786289760426e-14,0.0,20.14958970748593,0.001936799274036008
63,4.46094652737463,3.3866295133127253,6.012088764207094,10.53566324244846,4.231059583276617,55.54939957060183,491520.0,multi_edge,0.005850923613096637,0.1,2.6,1.196732851871302e-16,0.0,4.46094652737463,0.001936799274036008
