filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,26.50564929911866,18.53820976332904,38.61309667596771,15.863250983370012,6.044420370567786,58.108758866607886,49152000.0,dual_color,0.0046449862222416,0.1,2.0,2.706507783164065e-15,50.0,24.36935438858066,0.00019371047862898336,0.004593962814836039,0.09,2.4,4.7643567273617125e-18,50.0,91125
3,9.10066314084133,6.710354080736279,13.366351655869646,16.162697750942087,4.709703386205345,118.89165912283218,49152000.0,single_edge,0.0040682505600216,0.2,0.1,9.575613574117562e-05,0.0,9.10066314084133,0.00019371047862898336,0.0040682505600216,0.2,0.1,9.575613574117562e-05,0.0,108000
4,37.021685349042585,28.375840856655525,48.287887388283806,9.06715408126678,3.936847864075992,23.895793868356176,49152000.0,dual_color,0.0044736348322733,0.4,-0.6,2.386003345310603,50.0,37.021685349042585,0.00019371047862898336,0.0029939538081803496,0.35,-0.5,0.877542665647576,0.0,216000
5,28.37293979382437,22.406852858110025,35.645398002787566,6.097586691040284,2.7698851006665137,16.487142472780253,49152000.0,dual_color,0.0082120106868794,0.4,-0.3,1.0841205222469978,0.0,27.61068531499836,0.00019371047862898336,0.008207269981289622,0.4,-0.28,1.0195514236252325,25.0,27000
6,15.514196751271232,11.95561751667164,21.52186259366582,8.50305942628771,3.202818948949202,78.16903000891523,49152000.0,single_edge,0.0053025841254359,0.4,-0.2,0.4595815744894284,100.0,14.667821770601536,0.00019371047862898336,0.005222629383992317,0.33,0.0,0.08378724454701617,50.0,68343
9,4.265353392911016,3.0022357299926785,7.00419193836642,22.388439609971545,4.67146350588661,164.07065437510514,49152000.0,multi_edge,0.0034455273688047,0.1,2.0,4.737184240411582e-16,0.0,4.265353392911016,0.00019371047862898336,0.0034455273688047,0.1,2.0,4.737184240411582e-16,0.0,162000
11,13.21055752248378,9.797221312154464,19.27145606707272,13.172561361906345,4.631943666637777,112.3736546000478,49152000.0,single_edge,0.0055200550586575,0.3,-0.4,0.0685862514625725,50.0,13.21055752248378,0.00019371047862898336,0.003900250535494032,0.29,-0.4,0.054115438629656336,0.0,121500
12,9.279563322104677,6.91876257076575,14.49792127840007,15.058819404827108,4.62040689867337,126.27914056529612,49152000.0,single_edge,0.0045778679386891,0.2,0.3,6.008523259586036e-05,0.0,9.279563322104675,0.00019371047862898336,0.0038736707004161652,0.17,0.6,1.2623411663644827e-06,0.0,121500
13,11.064398542990336,8.133431946464125,16.893464128149088,14.44769788678105,4.304878677612834,101.29746834247165,49152000.0,single_edge,0.0055748818750599,0.3,-0.3,0.0452965798171854,50.0,10.520726230000935,0.00019371047862898336,0.004248888614291291,0.3,-0.31,0.047620200442122465,25.0,108000
16,8.109517481129542,6.092423762021922,12.334907063570736,15.082427721020988,4.218062246809013,124.70005129676856,49152000.0,multi_edge,0.0033932486366636,0.2,0.4,4.189290608100696e-05,0.0,8.109517481129542,0.00019371047862898336,0.0025277595308420553,0.18,0.6,3.6882754071533004e-06,0.0,288000
17,19.82343149701984,15.059574828588438,26.20392414806573,9.72523336612739,4.785760030237472,23.490047908658365,49152000.0,dual_color,0.0139343163429963,0.4,-0.9,2.7643047861873304,50.0,19.823431497019836,0.00019371047862898336,0.01349602933092095,0.32,-0.8,0.5586516877387405,0.0,10125
18,7.185139187117724,5.114323364244232,11.776849869601186,18.690484939907225,4.836961276764764,166.93035527233343,49152000.0,multi_edge,0.0044241665715315,0.1,2.0,7.979954997151596e-16,0.0,7.1851391871177235,0.00019371047862898336,0.004112171735667358,0.11,1.6,1.439857476866018e-13,0.0,108000
20,27.21154908759936,20.66934557186416,35.16894742066,8.234242629544804,3.6509771295463183,25.89428904493342,49152000.0,dual_color,0.0037441452442371,0.3,0.0,0.0621045950706967,50.0,27.211549087599362,0.00019371047862898336,0.0025129599463760144,0.24,0.3,0.0028656596170722644,0.0,288000
22,7.97857649986699,6.072524255719575,12.272282748781004,17.169154855875455,4.210395504350396,153.80066783665066,49152000.0,multi_edge,0.0053636581721039,0.2,0.3,5.166133449797326e-05,0.0,7.97857649986699,0.00019371047862898336,0.003592521306462315,0.25,-0.1,0.00330279339496791,0.0,144000
25,4.668199491480356,3.3120935998239154,7.700132420314928,22.446430033734973,6.144032227970886,149.38465518881978,49152000.0,multi_edge,0.0046858928384939,0.1,1.6,1.517624795995842e-15,0.0,4.668199491480356,0.00019371047862898336,0.0046858928384939,0.1,1.6,1.517624795995842e-15,0.0,81000
27,5.162797134435208,3.677315663691157,7.980695085483027,18.652317089491213,4.911698577964303,122.53264516812496,49152000.0,multi_edge,0.0036316921673094,0.2,0.1,5.4322360421245874e-05,0.0,5.162797134435208,0.00019371047862898336,0.0030181505803487108,0.19,0.2,1.7241353871036057e-05,0.0,205030
33,6.750617783731357,4.951364216619791,10.687140194037616,19.53620969859838,4.735269675722903,152.12213102508835,49152000.0,multi_edge,0.0034978211572414,0.1,2.0,7.497367095369651e-16,0.0,6.750617783731357,0.00019371047862898336,0.0029461200907012486,0.11,1.7,1.0487936878736859e-13,0.0,216000
38,28.02525362412285,21.459178877746005,36.42433130325488,8.868558854427798,3.763133495191089,30.978937433434247,49152000.0,dual_color,0.0053764891392907,0.3,0.1,0.0512786255120159,100.0,26.377484734819113,0.00019371047862898336,0.005193897858480845,0.27,0.2,0.014574413844440161,50.0,72000
41,10.09525310087619,7.2969237527916,15.90851930575509,17.077072178434513,5.022646646808027,138.98467142782366,49152000.0,multi_edge,0.0033545690192084,0.2,0.2,8.282806741355641e-05,0.0,10.09525310087619,0.00019371047862898336,0.002569123038694422,0.17,0.5,1.7491724310935564e-06,0.0,288000
42,27.024455729755587,19.850055482565224,37.50408556388308,16.275145091008554,6.3032079323253605,55.05369508760536,49152000.0,dual_color,0.0040308051791331,0.1,1.9,3.5661212587009214e-15,50.0,25.66100370625363,0.00019371047862898336,0.003721077666595629,0.09,2.2,8.478833184731665e-18,25.0,136687
44,28.772787247839887,20.553542540032087,40.73227541005753,15.366240552008817,7.271839962775,50.58937649972175,49152000.0,dual_color,0.0060046281821775,0.1,1.7,6.2181926408572446e-15,100.0,25.297134426730715,0.00019371047862898336,0.0060046281821775,0.1,1.7,6.2181926408572446e-15,100.0,54000
47,23.760086594591183,18.607823102760328,30.43063804709456,7.083166968030625,3.617948938303851,19.48274129771318,49152000.0,dual_color,0.0028369087130971,0.5,-0.6,4.490237429938017,50.0,23.760086594591186,0.00019371047862898336,0.001598198749598212,0.4,-0.43,1.1480647684283676,0.0,729000
48,6.4557736203399765,4.605821073691082,9.992852960268303,18.23772754645322,5.2198158859154224,129.52052035764947,49152000.0,single_edge,0.0054687247977792,0.1,1.8,1.2090432164746633e-15,0.0,6.4557736203399765,0.00019371047862898336,0.005242286152516318,0.09,2.2,2.133097685181904e-18,0.0,68343
49,24.646128562281746,19.558352643481047,33.81001528458231,10.269193812641152,4.041486736518176,59.58121563350584,49152000.0,single_edge,0.0029517043503387,0.3,-0.3,0.1090965523788655,0.0,24.646128562281746,0.00019371047862898336,0.002575632973849662,0.3,-0.29,0.10670734447564797,0.0,288000
54,3.8041481840807134,2.6124073973103754,6.980268274142252,29.207094179240592,6.222137990976924,203.6457922860684,49152000.0,multi_edge,0.0049051658653636,0.1,2.0,3.7575943364271637e-16,50.0,3.3833321523231064,0.00019371047862898336,0.004427534911853853,0.09,2.4,6.614619757170602e-19,50.0,96000
55,10.320056029223553,7.615512587981982,16.978113360939968,18.7802077506722,4.90671197470211,129.41444344391903,49152000.0,single_edge,0.0044262662146175,0.1,2.1,8.91462014329944e-16,0.0,10.320056029223553,0.00019371047862898336,0.0044262662146175,0.1,2.1,8.91462014329944e-16,0.0,96000
56,27.32874723312664,20.007702629950817,37.15876938106842,13.681331416420925,6.129571754573802,39.58154504143906,49152000.0,dual_color,0.0067273276007123,0.2,-0.3,0.0009037284137938,0.0,27.328747233126638,0.00019371047862898336,0.00601663340872316,0.2,-0.28,0.0008475859618769429,0.0,51256
57,12.48660294812637,9.470022442922996,17.688127616373947,11.981537850326786,4.235727226916018,76.90874078534058,49152000.0,single_edge,0.0043630821619401,0.3,-0.2,0.041574443475335,50.0,12.48660294812637,0.00019371047862898336,0.003973794975928369,0.23,0.1,0.0011116594315303634,0.0,121500
59,23.69588718578668,18.51033732822929,32.00449741087362,9.105873131511869,3.72783284540092,30.987749287202654,49152000.0,dual_color,0.0031261175523948,0.4,-0.5,1.2366679811972052,50.0,23.695887185786674,0.00019371047862898336,0.0021101161381356093,0.3,-0.23,0.09010796215793276,0.0,432000
60,1.2498219297624908,0.936189621972336,2.270027326181522,19.189618468631547,3.021384997836424,185.60412436296315,49152000.0,misc,0.0266741828320631,1.0,-0.3,0.9255186596611772,100.0,1.1543841166847224,0.00019371047862898336,0.026672783611235373,0.93,-0.3,0.854176134233959,50.0,2530
62,24.039665427783422,18.65766949200438,30.2310613665026,7.724663952747678,3.963581784686022,19.81527881074351,49152000.0,misc,0.0113173130762314,0.3,-0.3,0.1064120318891078,0.0,22.85896242572993,0.00019371047862898336,0.011269665933855588,0.35,-0.4,0.4363904510566755,50.0,15187
63,4.792959025233047,3.4182503647443383,9.69762936220433,27.29649945017778,4.899769555911463,252.25825815395075,49152000.0,multi_edge,0.0028767648187483,0.1,2.3,2.550780208855433e-16,0.0,4.792959025233047,0.00019371047862898336,0.0024108291495393286,0.11,2.0,3.613052259511018e-14,0.0,324000
