layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05
0.3162,0.1933567882288014,0.1608005545497663,0.2368882804985557,3.385509792680187,1.3560451128201332,6.73114170367162,10000.0,3.0,-1.05,0.033979019090732865,0.013564202793681023
0.4549,0.4143682118313114,0.3414136961643099,0.4895544665229404,2.8568228060098244,1.4848674856852906,5.035098846457057,10000.0,5.3,-0.8,0.007779270678219652,0.013564202793681023
0.6543,0.8490675958680022,0.6976006838429648,1.023003944809296,3.271503229838574,1.014398309337207,8.10679282061371,10000.0,1.1,-0.54,0.008449888682669437,0.013564202793681023
0.70710678,0.98800285223995,0.8213376952813537,1.1719034861120998,2.609212415246964,1.239021592009798,4.613781649928004,10000.0,0.9,-0.58,0.006936688377680689,0.013564202793681023
0.9412,1.757790971209418,1.4652386360042051,2.0750506395348505,2.8015253109176834,1.3088945193790271,4.589595289593263,10000.0,0.75,-0.4,0.0054721629124916404,0.013564202793681023
1.354,3.79553011873839,3.143165454987768,4.456044298903581,2.973003079612951,1.4409377444557143,4.98248257111922,10000.0,0.6,-0.28,0.005800065504002472,0.013564202793681023
1.947,7.681312743175021,6.443957105156105,9.004857533898306,2.8274283211045086,1.2942146552740763,5.011916015364899,10000.0,0.55,0.0,0.008031884742237427,0.013564202793681023
2.801,15.98555931936389,13.209582936200684,19.09771157433614,3.1307433943337246,1.3347406626540113,6.156873716952018,10000.0,0.46,0.0,0.006225097969902671,0.013564202793681023
4.03,33.039036515185806,27.032692184365004,39.11325753340178,3.0580137540142847,1.3303385525682847,7.1223940570973,10000.0,0.4,-0.02,0.008412811234758122,0.013564202793681023
5.796,68.02281037007684,56.97657727674022,80.94114358999255,3.1817800813076857,1.396869812200615,5.856083326923894,10000.0,0.37,0.1,0.012161516980731424,0.013564202793681023
8.338,141.44911429427862,118.63739191901388,166.39438759085567,2.742162484688179,1.2521223911388817,5.040203098255807,10000.0,0.35,0.3,0.007111526813548208,0.013564202793681023
11.99,284.6624861826315,231.3633702763322,337.76600589902347,2.41781267724335,1.041802238265832,4.639994551826391,10000.0,0.34,0.6,0.008542195486828358,0.013564202793681023
17.25,586.0330354581228,491.1433136143687,690.3402751175388,2.419499743986984,1.102320312331112,4.268368440075589,10000.0,0.3,0.4,0.011260595441252796,0.013564202793681023
24.82,1268.3163216185717,1054.8698978780285,1534.8839923725095,3.038263264210153,1.498905753294847,5.904290311545393,10000.0,0.28,0.4,0.010449094255545854,0.013564202793681023
35.7,2554.3112276741444,2107.4012024586086,3035.315682486248,2.891341270091128,1.4926416289956566,4.814695539967755,10000.0,0.28,0.8,0.006654831283327889,0.013564202793681023
51.35,5112.590636702037,4227.179754313179,6003.225450356941,3.131211106475183,1.4014377045594306,5.751707551721217,10000.0,0.27,1.0,0.00889602028256209,0.013564202793681023
73.86,10548.598359963356,8775.016714648857,12471.811676990088,2.8671901739064958,1.420789411472049,5.092948756012276,10000.0,0.26,1.1,0.008811140433849313,0.013564202793681023
106.2,22466.54833297606,18971.50482061063,27037.134579715723,2.942836051857696,1.4398793600108093,6.45549338306891,10000.0,0.25,1.3,0.006367544081534504,0.013564202793681023
152.8,45482.5832472664,37522.018341195166,54116.45732010766,2.7383692664359804,1.2364924143156928,4.674392155693621,10000.0,0.23,1.0,0.013996813827636068,0.013564202793681023
219.8,101116.02403341234,85015.91347311831,119212.19344278197,3.0656060526993514,1.6288567419192694,5.084914502629639,10000.0,0.23,1.5,0.011526044539784674,0.013564202793681023
316.2,202312.49937881643,171341.22232941343,237752.6905486753,2.666633388555701,1.2728306850931048,6.022357956001663,10000.0,0.22,1.5,0.012180487393828598,0.013564202793681023
