layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
0.5,10000.0,0.93,0.7,0.0037290655820219,0.93,0.7,0.0037290655820219,128142
1.0,10000.0,0.97,0.9,0.0045448160144663,0.97,0.9,0.0045448160144663,85428
1.5,10000.0,1.1,1.4,0.0056608149528823,1.1,1.4,0.0056608149528823,56952
2.0,10000.0,1.04,1.2,0.0054415932995777,1.04,1.2,0.0054415932995777,64071
2.5,10000.0,1.12,1.4,0.0109475090999714,1.12,1.4,0.0109475090999714,15000
3.0,10000.0,1.09,1.4,0.0055781482393805,1.09,1.4,0.0055781482393805,56952
3.5,10000.0,0.97,0.9,0.0074960198948549,0.97,0.9,0.0074960198948549,33750
4.0,10000.0,1.06,1.3,0.0081084013934367,1.06,1.3,0.0081084013934367,28476
4.5,10000.0,0.95,0.8,0.0044500981424154,0.95,0.8,0.0044500981424154,96106
5.0,10000.0,0.95,0.8,0.0109516332192546,0.95,0.8,0.0109516332192546,15000
5.5,10000.0,1.06,1.2,0.0064110661261914,1.06,1.2,0.0064110661261914,42714
6.0,10000.0,1.0,1.0,0.0055386543481906,1.0,1.0,0.0055386543481906,60814
6.5,10000.0,1.24,2.1,0.0093475682767318,1.24,2.1,0.0093475682767318,21357
7.0,10000.0,0.91,0.7,0.005747786229747,0.91,0.7,0.005747786229747,56952
7.5,10000.0,1.0,1.0,0.0058232134101589,1.0,1.0,0.0058232134101589,56952
8.0,10000.0,1.0,1.0,0.0048649959756515,1.0,1.0,0.0048649959756515,75937
8.5,10000.0,1.03,1.2,0.0063374751094448,1.03,1.2,0.0063374751094448,48052
9.0,10000.0,1.01,1.0,0.0056307487711193,1.01,1.0,0.0056307487711193,56952
9.5,10000.0,0.95,0.8,0.0066913429338695,0.95,0.8,0.0066913429338695,42714
