filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,best_augmented_var,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
0,39245.285,39245.285,37882.89,36961.81,35464.875,0.003413184060826,0.0037773024800596,0.0049939226426533,0.0049941720618459,0.0038564222565044617,0.0033341865896104883,39245.285,0.0031708280077019646,0.0027688954100205665,0.002455386666098458,,,,
1,16579.19,16579.19,15970.557,15552.446,14875.535,0.0033948634392279,0.0052432787755298,0.0050632739026689,0.0057727461789179,0.0044647939353966715,0.004204457857419075,16579.19,0.003886757024462284,0.003513917743652284,0.002936757894015818,,,,
2,6968.4014,6968.4014,6680.0117,6491.0747,6191.3394,0.004612475991286,0.0041495971810189,0.0056801444531272,0.0055255835565968,0.004447401674766101,0.004382997971425162,6968.4014,0.003923033656448083,0.003816200025008376,0.003216767922150421,0.003293967859121172,0.002620435261161111,,
3,2952.4192,2952.4192,2821.3157,2736.3235,2602.8447,0.0043322229069839,0.0059207667097048,0.0058746342114957,0.0061507531652897,0.004681426810418277,0.004485156441852878,2952.4192,0.004332103921096064,0.004272365595466399,0.0037580838933660293,,,,
4,1229.9335,1229.9335,1168.4541,1129.4724,1069.3494,0.0067761903433017,0.0069553366363149,0.0060235693271764,0.007348626763956,0.0061861481613999375,0.005744670009351388,1229.9335,0.005987765526968114,0.005568826401650795,0.005048118426782551,0.004805769235958435,0.004801584435834727,0.00429248669082416,0.004155138869914365
5,452.4206,452.4206,427.95068,412.39847,388.3214,0.0048152045869631,0.0064998426171933,0.0062178775170673,0.0060345849115931,0.004953620887483634,0.004903157289029014,452.4206,0.004515579057447927,0.004255310129640644,0.0035850782642915524,,,,
6,276.71317,276.71317,261.3781,251.72148,236.77885,0.0036715283838788,0.0038026832303113,0.0052326832734244,0.0060587687053729,0.00420910367267735,0.0037533832464471395,276.71317,0.0037343548890661493,0.0031408332534559116,0.002769232533164301,,,,
7,53970.625,53970.625,51703.066,50211.18,47881.496,0.0035689875158438,0.0027880577739013,0.003173913834468,0.0047792468900776,0.003744533274952739,0.003453363519545838,53970.625,0.0031296634511339683,0.002690348548010535,0.002377856620906539,0.002120413562655833,0.0014243749941370565,,
8,22259.05,22259.05,21231.422,20587.664,19590.299,0.0020644680256363,0.0033478169776276,0.0035368441180848,0.0049171833890377,0.0033005570061479528,0.002945408426156537,22259.05,0.0026314157094947666,0.0023478513028537956,0.0014624471687344695,,,,
9,9502.156,9502.156,9045.774,8761.231,8321.287,0.0044314846082975,0.0031146152361255,0.0039695344216533,0.0051332756986412,0.003942069533511949,0.0037415073780077135,9502.156,0.003244353231601438,0.002924393405539405,0.0025056456775808117,0.002339292407633975,0.0016793296034985916,,
