filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
0,"(2.0, 0.5, 0.044)",41254.555,32676.832,50386.504,4.5373807,2.5733058,11.444088,262144000.0,"(2.0, 0.5, 0.044)",0.0037335939913068217,0.8,-0.9,50554.020366825585,0.0,41254.555,8.387993035035688e-05
1,"(2.0, 0.5, 0.065)",17331.59,13826.944,21622.344,5.107563,2.670625,17.181097,262144000.0,"(2.0, 0.5, 0.065)",0.004517439962242076,1.1,-1.0,37948.16028483148,0.0,17331.59,8.387993035035688e-05
2,"(2.0, 0.5, 0.096)",7013.963,5592.817,8752.662,5.7925873,2.9616368,14.452106,262144000.0,"(2.0, 0.5, 0.096)",0.004423914623816971,0.7,-0.9,6437.3422444806765,50.0,6734.5396,8.387993035035688e-05
3,"(2.0, 0.5, 0.141)",2995.2925,2335.4744,3778.2969,6.664979,3.4034789,17.639471,262144000.0,"(2.0, 0.5, 0.141)",0.0036732280604748757,0.6,-0.9,1990.7890988903007,0.0,2995.2925,8.387993035035688e-05
4,"(2.0, 0.5, 0.208)",1252.7316,958.9974,1565.6038,7.7441225,4.031706,26.522013,262144000.0,"(2.0, 0.5, 0.208)",0.005237740380508074,0.4,-0.7,107.699520197918,0.0,1252.7316,8.387993035035688e-05
5,"(2.0, 0.5, 0.306)",453.95105,344.5804,587.31354,9.18064,4.1684337,29.596153,262144000.0,"(2.0, 0.5, 0.306)",0.004771865564658251,0.4,-0.7,36.92217044665544,50.0,429.46866,8.387993035035688e-05
6,"(2.0, 0.5, 0.45)",289.5494,217.71602,385.8711,9.71154,4.6689277,33.1945,262144000.0,"(2.0, 0.5, 0.45)",0.004205564981634713,0.4,-0.7,23.476454875507237,50.0,273.07175,8.387993035035688e-05
7,"(2.0, 1.0, 0.044)",56197.508,45426.035,70810.79,5.778083,2.9532936,23.434847,262144000.0,"(2.0, 1.0, 0.044)",0.0031979033031049875,0.7,-0.8,42566.42246503016,50.0,53881.58,8.387993035035688e-05
8,"(2.0, 1.0, 0.065)",22584.719,17688.928,28958.445,6.698924,3.111553,24.212717,262144000.0,"(2.0, 1.0, 0.065)",0.0013972353890184808,0.6,-0.8,12149.519282970805,0.0,22584.719,8.387993035035688e-05
9,"(2.0, 1.0, 0.096)",9642.722,7628.6826,12136.76,7.004792,3.4806356,24.405869,262144000.0,"(2.0, 1.0, 0.096)",0.0028012612044294727,0.7,-0.9,8787.944833471132,50.0,9193.664,8.387993035035688e-05
10,"(2.0, 1.0, 0.141)",4076.9702,3132.0154,5327.8013,8.683035,3.8443084,35.072666,262144000.0,"(2.0, 1.0, 0.141)",0.0025018542001267186,0.5,-0.8,1213.383992513021,0.0,4076.9702,8.387993035035688e-05
11,"(2.0, 1.0, 0.208)",1686.2347,1264.6827,2211.2283,8.880548,3.9897695,32.756847,262144000.0,"(2.0, 1.0, 0.208)",0.0032711966539534787,0.4,-0.7,144.9685449763897,0.0,1686.2347,8.387993035035688e-05
12,"(2.0, 1.0, 0.306)",663.1824,487.21152,887.5695,11.210059,4.859152,49.435036,262144000.0,"(2.0, 1.0, 0.306)",0.00296855220917646,0.3,-0.5,4.735887730015964,0.0,663.1824,8.387993035035688e-05
13,"(2.0, 1.0, 0.45)",312.59976,234.21782,430.74304,15.104227,5.621323,79.123924,262144000.0,"(2.0, 1.0, 0.45)",0.0027870606605191472,0.2,-0.1,0.005638523844929475,0.0,312.59976,8.387993035035688e-05
14,"(3.0, 0.5, 0.044)",38284.832,30685.62,47912.434,5.9009438,3.1877677,17.438665,262144000.0,"(3.0, 0.5, 0.044)",0.002264019959875574,0.7,-0.9,36595.310592395654,0.0,38284.832,8.387993035035688e-05
15,"(3.0, 0.5, 0.065)",16556.695,12999.793,21040.947,6.574334,3.4502444,22.830462,262144000.0,"(3.0, 0.5, 0.065)",0.0034373259915225912,0.6,-0.9,11004.230390420807,0.0,16556.695,8.387993035035688e-05
16,"(3.0, 0.5, 0.096)",6601.16,5188.1943,8432.009,8.111109,3.814433,33.084988,262144000.0,"(3.0, 0.5, 0.096)",0.004849500970503226,0.5,-0.9,2500.439453125,0.0,6601.16,8.387993035035688e-05
17,"(3.0, 0.5, 0.141)",2894.6086,2205.2334,3763.7427,9.237162,4.6234694,32.881638,262144000.0,"(3.0, 0.5, 0.141)",0.005001550887966499,0.4,-0.8,321.0982491722688,0.0,2894.6086,8.387993035035688e-05
18,"(3.0, 0.5, 0.208)",1161.6654,858.24115,1596.7877,10.864187,5.042459,47.580414,262144000.0,"(3.0, 0.5, 0.208)",0.006449902462100754,0.4,-0.8,120.9694882492717,50.0,1090.5052,8.387993035035688e-05
19,"(3.0, 0.5, 0.306)",459.3848,342.7673,623.791,14.385508,6.2522235,52.6813,262144000.0,"(3.0, 0.5, 0.306)",0.005429668546039705,0.3,-0.6,3.79455776093919,100.0,406.0577,8.387993035035688e-05
20,"(3.0, 0.5, 0.45)",227.42635,161.37585,346.74292,18.028421,7.251963,98.4163,262144000.0,"(3.0, 0.5, 0.45)",0.003988142046201071,0.2,-0.3,0.007520712494219411,0.0,227.42635,8.387993035035688e-05
21,"(3.0, 1.0, 0.044)",48845.43,37473.133,66113.516,9.724975,4.448614,35.272465,262144000.0,"(3.0, 1.0, 0.044)",0.004056649791427502,0.6,-0.9,29390.030527904462,100.0,44219.52,8.387993035035688e-05
22,"(3.0, 1.0, 0.065)",19566.33,14387.251,26816.463,11.234265,4.5856223,57.85082,262144000.0,"(3.0, 1.0, 0.065)",0.004220116408592045,0.4,-0.7,1577.945744807915,50.0,18354.236,8.387993035035688e-05
23,"(3.0, 1.0, 0.096)",8147.0566,6317.2344,11298.74,12.459232,4.989012,64.88104,262144000.0,"(3.0, 1.0, 0.096)",0.002974039579040022,0.4,-0.8,903.7510579951875,0.0,8147.0566,8.387993035035688e-05
24,"(3.0, 1.0, 0.141)",3407.1711,2506.6887,4985.6084,15.56781,5.460553,90.31984,262144000.0,"(3.0, 1.0, 0.141)",0.005483391010891403,0.4,-0.8,348.553744538694,50.0,3142.112,8.387993035035688e-05
25,"(3.0, 1.0, 0.208)",1412.8157,1007.8582,2100.5757,17.6599,6.5886936,72.50234,262144000.0,"(3.0, 1.0, 0.208)",0.005698258280944363,0.2,-0.3,0.04672009503399877,0.0,1412.8157,8.387993035035688e-05
26,"(3.0, 1.0, 0.306)",529.15875,375.89587,772.9016,19.47199,6.396831,99.24181,262144000.0,"(3.0, 1.0, 0.306)",0.0056770517274428445,0.3,-0.6,4.265801961773225,100.0,456.4858,8.387993035035688e-05
