filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group
0,46131.414,36512.734,56227.79,4.5621376,2.6356227,11.824438,262144000.0,"(2.0, 0.5, 0.044)"
1,18139.113,14436.237,22689.44,5.065255,2.790003,13.327439,262144000.0,"(2.0, 0.5, 0.065)"
2,7360.4673,5845.766,9214.092,6.105509,3.109247,14.772322,262144000.0,"(2.0, 0.5, 0.096)"
3,3073.3093,2383.366,3905.4653,7.107025,3.5614264,19.050058,262144000.0,"(2.0, 0.5, 0.141)"
4,1221.242,933.3739,1524.2604,7.6033115,4.0520387,22.48754,262144000.0,"(2.0, 0.5, 0.208)"
5,442.21344,333.8289,573.28973,9.576045,4.250825,30.974958,262144000.0,"(2.0, 0.5, 0.306)"
6,297.58856,222.74294,396.29892,10.019488,4.918736,32.205883,262144000.0,"(2.0, 0.5, 0.45)"
7,60847.473,49040.836,76222.66,5.9068203,3.122836,20.067951,262144000.0,"(2.0, 1.0, 0.044)"
8,24836.66,19530.994,31696.148,6.2968283,3.1118703,21.024685,262144000.0,"(2.0, 1.0, 0.065)"
9,9981.794,7857.281,12643.158,7.455576,3.587168,25.568762,262144000.0,"(2.0, 1.0, 0.096)"
10,4076.9739,3140.151,5272.774,8.19639,3.8031597,26.137745,262144000.0,"(2.0, 1.0, 0.141)"
11,1696.9718,1267.7126,2238.5452,9.420173,4.035827,37.854977,262144000.0,"(2.0, 1.0, 0.208)"
12,641.02893,468.34473,874.64056,11.93371,5.0267715,57.81418,262144000.0,"(2.0, 1.0, 0.306)"
13,304.68442,226.17914,420.811,16.179098,5.688863,80.49152,262144000.0,"(2.0, 1.0, 0.45)"
14,43349.26,34695.14,54823.035,6.125185,3.2321157,22.903265,262144000.0,"(3.0, 0.5, 0.044)"
15,18252.504,14183.197,23449.22,7.1744566,3.6809998,25.346838,262144000.0,"(3.0, 0.5, 0.065)"
16,7098.4897,5580.5522,8976.904,7.8158236,3.8836455,25.55582,262144000.0,"(3.0, 0.5, 0.096)"
17,2903.9312,2213.1765,3782.1821,9.228007,4.6408005,37.94132,262144000.0,"(3.0, 0.5, 0.141)"
18,1180.1448,868.3871,1621.2814,10.935093,5.2340856,41.101994,262144000.0,"(3.0, 0.5, 0.208)"
19,453.4479,341.7498,627.1213,13.799778,5.9352984,59.84762,262144000.0,"(3.0, 0.5, 0.306)"
20,215.15285,153.30367,325.00275,17.58692,7.106693,94.291466,262144000.0,"(3.0, 0.5, 0.45)"
21,51527.055,39635.63,69383.79,9.209468,4.5334415,33.760506,262144000.0,"(3.0, 1.0, 0.044)"
22,20642.94,15143.592,27653.174,11.206055,4.6993814,41.25697,262144000.0,"(3.0, 1.0, 0.065)"
23,8292.095,6407.0947,11508.94,12.520945,5.09828,55.018574,262144000.0,"(3.0, 1.0, 0.096)"
24,3388.953,2514.9263,4790.3447,13.328911,5.3758917,59.77911,262144000.0,"(3.0, 1.0, 0.141)"
25,1349.3237,977.40814,1999.9576,16.526001,6.174765,79.28605,262144000.0,"(3.0, 1.0, 0.208)"
26,562.35565,391.41626,847.1393,23.206125,6.6903157,123.21654,262144000.0,"(3.0, 1.0, 0.306)"
27,244.44214,162.30644,402.22482,29.639938,7.8503394,172.95702,262144000.0,"(3.0, 1.0, 0.45)"
28,44638.605,35784.367,57993.953,6.138506,2.905654,19.634884,262144000.0,"(4.0, 0.5, 0.044)"
29,17351.375,13419.871,21912.58,7.2748184,3.4824433,26.257557,262144000.0,"(4.0, 0.5, 0.065)"
30,7025.121,5372.5938,9116.946,9.797207,4.1048646,47.76229,262144000.0,"(4.0, 0.5, 0.096)"
31,2805.7568,2079.3906,3892.431,10.275383,4.3504257,48.575962,262144000.0,"(4.0, 0.5, 0.141)"
32,1198.1335,889.5232,1654.1307,13.626284,4.923228,79.197754,262144000.0,"(4.0, 0.5, 0.208)"
33,459.8304,334.12622,676.6705,16.166235,6.1094656,99.344345,262144000.0,"(4.0, 0.5, 0.306)"
34,201.911,140.01329,302.2596,21.743446,7.103992,139.2166,262144000.0,"(4.0, 0.5, 0.45)"
35,48182.836,36137.723,63191.727,11.373062,5.0581617,35.517185,262144000.0,"(4.0, 1.0, 0.044)"
36,20094.008,15180.853,29234.371,13.270704,5.266299,51.260746,262144000.0,"(4.0, 1.0, 0.065)"
37,7860.0806,5624.5923,11117.66,15.566467,5.524056,76.127396,262144000.0,"(4.0, 1.0, 0.096)"
38,3302.5457,2338.1326,5168.9204,21.759214,6.317743,146.30675,262144000.0,"(4.0, 1.0, 0.141)"
39,1286.0037,881.364,2091.4333,26.977592,6.838741,156.90962,262144000.0,"(4.0, 1.0, 0.208)"
40,536.45526,346.9683,885.0049,30.36596,7.7027287,167.96185,262144000.0,"(4.0, 1.0, 0.306)"
41,218.61086,144.14418,434.55484,43.39353,9.119156,264.23767,262144000.0,"(4.0, 1.0, 0.45)"
