filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
0,"(2.0, 0.5, 0.044)",46131.414,36512.734,56227.79,4.5621376,2.6356227,11.824438,262144000.0,"(2.0, 0.5, 0.044)",0.00352684993971,0.8,-0.9,56530.20530052447,0.0,46131.4140625,8.387993035035688e-05,0.0028242162384799485,0.9,-0.94,72587.38908683283,0.0,243000
1,"(2.0, 0.5, 0.065)",18139.113,14436.237,22689.44,5.065255,2.790003,13.327439,262144000.0,"(2.0, 0.5, 0.065)",0.00408673926881,0.7,-0.9,17338.62862075928,0.0,18139.11328125,8.387993035035688e-05,0.003044471549706218,0.8,-0.93,23554.201336127455,0.0,192000
2,"(2.0, 0.5, 0.096)",7360.4673,5845.766,9214.092,6.105509,3.109247,14.772322,262144000.0,"(2.0, 0.5, 0.096)",0.0043625328885418,0.6,-0.9,4892.055827461163,0.0,7360.46728515625,8.387993035035688e-05,0.0032744936630467736,0.63,-0.9,5543.078523873086,0.0,182250
3,"(2.0, 0.5, 0.141)",3073.3093,2383.366,3905.4653,7.107025,3.5614264,19.050058,262144000.0,"(2.0, 0.5, 0.141)",0.0043785937185033,0.6,-0.9,2042.6421606424813,0.0,3073.309326171875,8.387993035035688e-05,0.0035363405098370326,0.59,-0.9,1952.0900733556573,0.0,144000
4,"(2.0, 0.5, 0.208)",1221.242,933.3739,1524.2604,7.6033115,4.0520387,22.48754,262144000.0,"(2.0, 0.5, 0.208)",0.0048632398845533,0.5,-0.8,345.9708804175968,50.0,1221.241943359375,8.387993035035688e-05,0.00363620394744546,0.47,-0.8,285.4897844201253,0.0,144000
5,"(2.0, 0.5, 0.306)",442.21344,333.8289,573.28973,9.576045,4.250825,30.974958,262144000.0,"(2.0, 0.5, 0.306)",0.0043590583501295,0.4,-0.7,35.901216607398304,50.0,442.21343994140625,8.387993035035688e-05,0.003631765506149298,0.34,-0.6,10.851697124595308,0.0,144000
6,"(2.0, 0.5, 0.45)",297.58856,222.74294,396.29892,10.019488,4.918736,32.205883,262144000.0,"(2.0, 0.5, 0.45)",0.0031848954159967,0.3,-0.5,2.125125872916979,0.0,297.58856201171875,8.387993035035688e-05,0.0027846556675173995,0.33,-0.6,5.889277529955177,0.0,243000
7,"(2.0, 1.0, 0.044)",60847.473,49040.836,76222.66,5.9068203,3.122836,20.067951,262144000.0,"(2.0, 1.0, 0.044)",0.0024061133308366,0.6,-0.8,32733.086054354702,0.0,60847.47265625,8.387993035035688e-05,0.002117799270298107,0.62,-0.8,35807.84457515328,0.0,432000
8,"(2.0, 1.0, 0.065)",24836.66,19530.994,31696.148,6.2968283,3.1118703,21.024685,262144000.0,"(2.0, 1.0, 0.065)",0.0022963896456252,0.6,-0.8,13360.95812541177,0.0,24836.66015625,8.387993035035688e-05,0.001963708942083753,0.6,-0.81,13629.592189216928,0.0,486000
9,"(2.0, 1.0, 0.096)",9981.794,7857.281,12643.158,7.455576,3.587168,25.568762,262144000.0,"(2.0, 1.0, 0.096)",0.0034590541377999,0.7,-0.9,9079.845407522154,50.0,9981.7939453125,8.387993035035688e-05,0.0015730976466845625,0.54,-0.8,3892.7416257173177,0.0,768000
10,"(2.0, 1.0, 0.141)",4076.9739,3140.151,5272.774,8.19639,3.8031597,26.137745,262144000.0,"(2.0, 1.0, 0.141)",0.002881771274996,0.5,-0.8,1213.3850824265255,0.0,4076.973876953125,8.387993035035688e-05,0.0020762545706093927,0.5,-0.81,1241.3146623289265,0.0,432000
11,"(2.0, 1.0, 0.208)",1696.9718,1267.7126,2238.5452,9.420173,4.035827,37.854977,262144000.0,"(2.0, 1.0, 0.208)",0.0029419485958486,0.4,-0.7,145.89162881920393,0.0,1696.9718017578125,8.387993035035688e-05,0.0022435909196992163,0.41,-0.7,166.32453181065776,0.0,384000
12,"(2.0, 1.0, 0.306)",641.02893,468.34473,874.64056,11.93371,5.0267715,57.81418,262144000.0,"(2.0, 1.0, 0.306)",0.0036758902312821,0.3,-0.5,4.577686577177178,0.0,641.0289306640625,8.387993035035688e-05,0.002637588748635393,0.3,-0.52,4.822035719214671,0.0,256000
13,"(2.0, 1.0, 0.45)",304.68442,226.17914,420.811,16.179098,5.688863,80.49152,262144000.0,"(2.0, 1.0, 0.45)",0.0024255265171446,0.3,-0.5,2.001709080984988,50.0,304.6844177246094,8.387993035035688e-05,0.0014456999812352267,0.22,-0.2,0.030695885969729372,0.0,864000
14,"(3.0, 0.5, 0.044)",43349.26,34695.14,54823.035,6.125185,3.2321157,22.903265,262144000.0,"(3.0, 0.5, 0.044)",0.0043328692253956,0.7,-0.9,39712.56221342835,50.0,43349.26171875,8.387993035035688e-05,0.002834157715751573,0.67,-0.9,37711.504917602695,0.0,243000
15,"(3.0, 0.5, 0.065)",18252.504,14183.197,23449.22,7.1744566,3.6809998,25.346838,262144000.0,"(3.0, 0.5, 0.065)",0.0038701778752654,0.6,-0.9,12131.331427883988,0.0,18252.50390625,8.387993035035688e-05,0.0033177965493183526,0.59,-0.9,11593.539051162645,0.0,162000
16,"(3.0, 0.5, 0.096)",7098.4897,5580.5522,8976.904,7.8158236,3.8836455,25.55582,262144000.0,"(3.0, 0.5, 0.096)",0.0057714948342569,0.5,-0.9,2688.8218735203595,0.0,7098.48974609375,8.387993035035688e-05,0.0036292916823148502,0.5,-0.87,2492.7973542961618,0.0,144000
17,"(3.0, 0.5, 0.141)",2903.9312,2213.1765,3782.1821,9.228007,4.6408005,37.94132,262144000.0,"(3.0, 0.5, 0.141)",0.0048611729837498,0.4,-0.8,322.13239296621794,0.0,2903.93115234375,8.387993035035688e-05,0.004608796474703268,0.4,-0.79,313.62155241125197,0.0,91125
18,"(3.0, 0.5, 0.208)",1180.1448,868.3871,1621.2814,10.935093,5.2340856,41.101994,262144000.0,"(3.0, 0.5, 0.208)",0.0053392886879167,0.4,-0.8,122.86463766053728,50.0,1180.144775390625,8.387993035035688e-05,0.004306895343632711,0.33,-0.7,30.61350883289014,0.0,96000
19,"(3.0, 0.5, 0.306)",453.4479,341.7498,627.1213,13.799778,5.9352984,59.84762,262144000.0,"(3.0, 0.5, 0.306)",0.0044234728188924,0.3,-0.6,3.938708873696526,50.0,453.4479064941406,8.387993035035688e-05,0.003779608207442664,0.22,-0.3,0.06080045106688325,0.0,128000
20,"(3.0, 0.5, 0.45)",215.15285,153.30367,325.00275,17.58692,7.106693,94.291466,262144000.0,"(3.0, 0.5, 0.45)",0.0033739904944268,0.2,-0.2,0.0052052386723076,0.0,204.12124633789062,8.387993035035688e-05,0.0029705015647151153,0.2,-0.15,0.004254628090274502,25.0,216000
21,"(3.0, 1.0, 0.044)",51527.055,39635.63,69383.79,9.209468,4.5334415,33.760506,262144000.0,"(3.0, 1.0, 0.044)",0.0034307431423844,0.4,-0.7,4429.870861041232,0.0,51527.0546875,8.387993035035688e-05,0.0023109137323449325,0.46,-0.8,11015.868577237647,0.0,364500
22,"(3.0, 1.0, 0.065)",20642.94,15143.592,27653.174,11.206055,4.6993814,41.25697,262144000.0,"(3.0, 1.0, 0.065)",0.0048207214215278,0.4,-0.8,2289.9163702710084,0.0,20642.939453125,8.387993035035688e-05,0.0024807393128710165,0.4,-0.77,2115.0834077293966,0.0,288000
23,"(3.0, 1.0, 0.096)",8292.095,6407.0947,11508.94,12.520945,5.09828,55.018574,262144000.0,"(3.0, 1.0, 0.096)",0.0045671381050205,0.4,-0.8,919.840098417712,0.0,8292.0947265625,8.387993035035688e-05,0.003173748626555506,0.35,-0.7,321.591563176357,0.0,192000
24,"(3.0, 1.0, 0.141)",3388.953,2514.9263,4790.3447,13.328911,5.3758917,59.77911,262144000.0,"(3.0, 1.0, 0.141)",0.0041884685672431,0.4,-0.8,349.0637343719755,50.0,3388.952880859375,8.387993035035688e-05,0.0034511886971721056,0.33,-0.7,87.91102677897864,0.0,162000
