filter_idx,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
0,786432000.0,0.3,-0.4,0.0051567840024671,50.0,0.26,-0.3,0.006380049628827371,0.0039891049795171,0.0,121500
1,786432000.0,2.6,0.4,0.0493233793166532,0.0,2.6,0.4,8.544747068095953,0.0493233793166532,0.0,750
2,786432000.0,0.3,-0.7,0.0052390858691337,0.0,0.3,-0.69,0.09314658380347281,0.004902440456993062,0.0,81000
3,786432000.0,0.3,-0.7,0.0051066394423021,0.0,0.34,-0.8,0.22104620402454106,0.003989312400948908,0.0,121500
4,786432000.0,0.3,-0.7,0.0089615553633158,0.0,0.3,-0.71,0.12149299636854756,0.007628341108026349,0.0,30375
5,786432000.0,0.4,-0.8,0.0058101934532245,0.0,0.4,-0.78,0.614819369320986,0.004881208679757165,0.0,81000
6,786432000.0,0.5,-0.8,0.0030683305946548,0.0,0.5,-0.78,0.9329901156587026,0.0022870187910133954,0.0,364500
7,786432000.0,7.9,-0.2,0.0204713158122544,0.0,7.9,-0.2,7.51282830258017,0.0204713158122544,0.0,4500
8,786432000.0,0.1,5.8,0.0151147759245725,200.0,0.1,6.2,2.1777686184463222e-20,0.014929085591369351,275.0,8541
9,786432000.0,0.2,-0.2,0.0041255429129281,50.0,0.18,-0.2,1.110163193338587e-05,0.0021198845872159033,0.0,432000
10,786432000.0,0.5,-0.9,0.0052048412391108,0.0,0.5,-0.88,1.436013369425601,0.0039185905773314045,0.0,121500
11,786432000.0,0.3,-0.6,0.0041428626643503,0.0,0.3,-0.6,0.0278087908091252,0.0041428626643503,0.0,108000
12,786432000.0,0.4,-0.7,0.0058782467805901,100.0,0.3,-0.56,0.023785884944942777,0.004412728264143684,0.0,96000
13,786432000.0,0.5,-0.9,0.0060875426911435,100.0,0.4,-0.83,0.5565728648120466,0.004198883943735798,0.0,108000
14,786432000.0,0.4,-0.9,0.0069268131560705,0.0,0.4,-0.87,0.6803685505352387,0.004507103554997227,0.0,96000
15,786432000.0,1.3,3.0,0.0482038698550766,0.0,1.64,3.0,3.2136739715045595,0.048203841173266704,50.0,750
