filter_idx,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
0,160000000.0,1.2,-1.1,0.0099144847388684,100.0,1.6,-1.14,381.628203003665,0.006463298886101421,0.0,43944
1,160000000.0,8.1,-1.2,0.0088904183235159,50.0,8.0,-1.19,176.2705152620628,0.007669577129350069,100.0,32958
2,160000000.0,20.0,-1.2,0.0097004366605743,200.0,20.0,-1.2,70.53809931068321,0.0097004366605743,200.0,19531
3,160000000.0,0.6,-1.1,0.0082780945802317,50.0,0.63,-1.1,8.211364992881409,0.007360508171860514,75.0,32958
4,160000000.0,0.5,-1.0,0.0079290345964042,50.0,0.38,-0.9,0.3310579682612878,0.005765107292290739,25.0,58593
5,160000000.0,0.1,1.3,0.0044722772779103,0.0,0.11,1.0,1.0065578250874632e-13,0.003617549167065179,0.0,148314
6,160000000.0,0.1,1.6,0.0028241230470426,0.0,0.1,1.6,1.890452199267217e-16,0.0028241230470426,0.0,234375
7,160000000.0,1.1,-1.1,0.0105943657424845,100.0,1.4,-1.14,470.1751549291303,0.007052385890028434,0.0,39062
8,160000000.0,20.0,-1.2,0.0097297513047613,50.0,20.0,-1.2,238.95798852932356,0.0097297513047613,50.0,19531
9,160000000.0,4.5,-1.2,0.0102199303845066,100.0,4.5,-1.2,115.3949055302715,0.0102199303845066,100.0,18535
10,160000000.0,0.6,-1.1,0.0079240562912358,50.0,0.56,-1.1,10.7473583924408,0.006841240269324311,0.0,39062
11,160000000.0,0.5,-1.0,0.0087845083169783,200.0,0.47,-1.0,1.407390111328885,0.006865416893241799,100.0,39062
12,160000000.0,0.1,1.0,0.0068242279610109,0.0,0.1,1.0,3.268749703588099e-15,0.0068242279610109,0.0,39062
13,160000000.0,0.1,1.7,0.0029649157456948,0.0,0.11,1.3,2.6540764125953175e-14,0.002801128341911374,0.0,234375
14,160000000.0,20.0,-1.2,0.0099834166558334,50.0,20.0,-1.2,437.60308383588904,0.009790986610819952,25.0,19531
15,160000000.0,3.5,-1.2,0.0084374940018633,200.0,3.5,-1.2,181.5225610104514,0.0084374940018633,200.0,24718
16,160000000.0,4.1,-1.2,0.0103669892777517,200.0,4.0,-1.19,69.21143500409198,0.009095974010585817,300.0,21972
17,160000000.0,0.5,-1.1,0.0085580631888707,0.0,0.5,-1.09,5.172199680223059,0.00791979815875199,25.0,29296
18,160000000.0,0.3,-0.8,0.0102732028863767,100.0,0.27,-0.8,0.022908090278583853,0.006812161519949511,0.0,39062
19,160000000.0,0.1,1.1,0.0030979540305816,0.0,0.09,1.4,3.490916367755946e-18,0.002983925108832275,0.0,197752
20,160000000.0,0.1,2.4,0.0020014096328061,50.0,0.09,2.7,2.8527097383994887e-20,0.0017081693897450512,25.0,625000
21,160000000.0,5.5,-1.2,0.009953800964268,50.0,5.5,-1.2,475.5542697373169,0.009953800964268,50.0,19531
22,160000000.0,9.9,-1.2,0.0089311407349669,100.0,9.9,-1.2,200.26246615488688,0.0089311407349669,100.0,21972
23,160000000.0,1.7,-1.2,0.0098203369530096,100.0,1.4,-1.19,76.00199662529197,0.009132298031448771,200.0,21972
24,160000000.0,0.5,-1.1,0.0080339529154808,0.0,0.5,-1.09,5.775866128905662,0.007530034995363644,25.0,32958
25,160000000.0,0.3,-0.9,0.0080985352003681,0.0,0.3,-0.89,0.09177132960828584,0.007092091115701249,0.0,37077
26,160000000.0,0.2,-0.2,0.005454800797377,100.0,0.17,0.0,7.082507577727185e-07,0.004370402879628171,75.0,98874
27,160000000.0,0.1,2.1,0.0028985502059681,50.0,0.1,2.0,3.710339878609208e-17,0.001967693480801891,25.0,468750
28,160000000.0,0.8,-1.1,0.0095536603783051,0.0,1.2,-1.15,313.2496823049983,0.005805233532464371,0.0,55615
29,160000000.0,4.6,-1.2,0.0086338740061243,100.0,4.6,-1.2,174.9134911419304,0.0086338740061243,100.0,24718
30,160000000.0,3.9,-1.2,0.0100751447929506,200.0,3.9,-1.2,73.0975339438646,0.0100751447929506,200.0,18535
31,160000000.0,0.6,-1.1,0.0077928680738262,100.0,0.6,-1.1,7.58590352758728,0.0077928680738262,100.0,29296
32,160000000.0,0.5,-1.0,0.0081485915002333,200.0,0.4,-0.93,0.4148936875990833,0.007027222476387429,100.0,39062
33,160000000.0,0.1,1.1,0.0036917295884084,0.0,0.09,1.4,3.59248870914232e-18,0.003663712162795929,0.0,131835
34,160000000.0,0.1,2.6,0.0026672552501773,50.0,0.1,2.4,1.1110559044730218e-17,0.0017194439522894012,25.0,625000
35,160000000.0,20.0,-1.2,0.0103632630286683,50.0,20.0,-1.2,419.1798578188439,0.0103632630286683,50.0,16477
36,160000000.0,4.3,-1.2,0.0088732791303597,50.0,4.0,-1.19,188.28371061945882,0.0077329645410977865,100.0,29296
37,160000000.0,2.4,-1.2,0.0100328900757829,200.0,2.8,-1.2,72.12143009089392,0.010013461083480169,250.0,18535
38,160000000.0,0.5,-1.1,0.0082403158056157,0.0,0.57,-1.1,8.037331861397204,0.007244532545316207,75.0,37077
39,160000000.0,0.3,-0.9,0.0086613782289288,0.0,0.3,-0.88,0.08099382545234997,0.006892917991310199,0.0,39062
40,160000000.0,0.1,1.0,0.0031983311223492,0.0,0.09,1.3,5.681631830569621e-18,0.0028450867487886944,0.0,234375
41,160000000.0,0.1,2.3,0.002417024604564,50.0,0.1,2.2,1.8458625475205135e-17,0.00131784208414909,25.0,1054687
