filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
0,"(2.0, 0.5, 0.044)",137.92424,103.93306,192.94147,10.131069,3.5204768,63.65342,160000000.0,"(2.0, 0.5, 0.044)",0.01190073571732475,20.0,-1.2,613.2156273656872,0.0,137.92424,0.00010736608296131946
1,"(2.0, 0.5, 0.065)",53.98736,40.135403,79.578384,16.350359,4.161812,131.8257,160000000.0,"(2.0, 0.5, 0.065)",0.00825804295112581,1.7,-1.2,215.88559936443633,50.0,49.697327,0.00010736608296131946
2,"(2.0, 0.5, 0.096)",25.048847,18.085354,38.104233,21.830307,5.088109,153.02065,160000000.0,"(2.0, 0.5, 0.096)",0.008891948613127698,2.1,-1.2,90.99459788474947,200.0,20.10901,0.00010736608296131946
3,"(2.0, 0.5, 0.141)",9.881065,6.770121,17.73275,29.03223,6.329034,168.21391,160000000.0,"(2.0, 0.5, 0.141)",0.008407561547504827,0.5,-1.1,6.861850950453018,0.0,9.881065,0.00010736608296131946
4,"(2.0, 0.5, 0.208)",3.7354176,2.428868,7.6427674,42.46922,7.384008,291.3239,160000000.0,"(2.0, 0.5, 0.208)",0.008497408199068968,0.3,-0.8,0.056518419957924663,50.0,3.2588975,0.00010736608296131946
5,"(2.0, 0.5, 0.306)",1.1133472,0.71270263,2.4809177,55.986454,6.2688556,333.46658,160000000.0,"(2.0, 0.5, 0.306)",0.005150289150922971,0.1,1.1,1.6712585461518246e-15,0.0,1.1133472,0.00010736608296131946
6,"(2.0, 0.5, 0.45)",0.71689576,0.46947125,1.7962804,62.75992,6.5022244,366.02863,160000000.0,"(2.0, 0.5, 0.45)",0.0026880884918598635,0.1,1.3,5.671552140408759e-16,0.0,0.71689576,0.00010736608296131946
7,"(2.0, 1.0, 0.044)",182.94016,139.64233,257.17523,11.653064,3.985817,86.64955,160000000.0,"(2.0, 1.0, 0.044)",0.007813265248948875,6.3,-1.2,787.6375195875241,50.0,170.91742,0.00010736608296131946
8,"(2.0, 1.0, 0.065)",73.88104,54.9921,108.21867,12.884755,4.084681,82.37631,160000000.0,"(2.0, 1.0, 0.065)",0.007245673842400713,1.9,-1.2,305.72411709312007,50.0,68.67646,0.00010736608296131946
9,"(2.0, 1.0, 0.096)",32.86332,23.833479,61.019093,27.549038,4.8539906,237.72313,160000000.0,"(2.0, 1.0, 0.096)",0.007906583796826183,4.1,-1.2,123.75881667351105,200.0,26.551332,0.00010736608296131946
10,"(2.0, 1.0, 0.141)",14.108161,10.13237,23.545927,22.987734,5.83376,159.90045,160000000.0,"(2.0, 1.0, 0.141)",0.007152089840006787,0.6,-1.1,13.758319191313415,100.0,12.097319,0.00010736608296131946
11,"(2.0, 1.0, 0.208)",5.1228614,3.366376,10.054944,37.73615,6.670326,255.24147,160000000.0,"(2.0, 1.0, 0.208)",0.008219561267290842,0.4,-1.0,1.0498273606839033,0.0,5.1228614,0.00010736608296131946
12,"(2.0, 1.0, 0.306)",1.7179714,1.1109409,4.099321,65.70682,7.2821126,366.79593,160000000.0,"(2.0, 1.0, 0.306)",0.004966637025094034,0.2,-0.4,7.934802111925379e-05,0.0,1.7179714,0.00010736608296131946
13,"(2.0, 1.0, 0.45)",0.75482696,0.50263894,2.467903,133.74791,6.0726047,514.4033,160000000.0,"(2.0, 1.0, 0.45)",0.0033710006536157855,0.1,1.3,5.971635935865536e-16,0.0,0.75482696,0.00010736608296131946
14,"(3.0, 0.5, 0.044)",139.32408,106.72535,189.35432,10.795258,4.2112794,56.947453,160000000.0,"(3.0, 0.5, 0.044)",0.00667761022556429,1.9,-1.2,620.2231684213853,0.0,139.32408,0.00010736608296131946
15,"(3.0, 0.5, 0.065)",54.512917,39.335144,82.589676,16.74437,4.8004966,120.06473,160000000.0,"(3.0, 0.5, 0.065)",0.009291015420204135,1.0,-1.2,167.2989781697591,50.0,50.189693,0.00010736608296131946
16,"(3.0, 0.5, 0.096)",24.844587,17.906513,40.746475,22.866888,5.375881,173.36685,160000000.0,"(3.0, 0.5, 0.096)",0.00936196616236784,1.5,-1.2,83.70507661227063,200.0,20.002647,0.00010736608296131946
17,"(3.0, 0.5, 0.141)",10.273449,7.0069065,16.954535,27.373219,7.2860465,168.44084,160000000.0,"(3.0, 0.5, 0.141)",0.007855086440284764,0.5,-1.1,6.371013985739815,50.0,9.17426,0.00010736608296131946
18,"(3.0, 0.5, 0.208)",3.741431,2.391358,7.567248,43.702446,7.9421787,273.9207,160000000.0,"(3.0, 0.5, 0.208)",0.008821002569129321,0.2,-0.6,0.00036481189551975973,0.0,3.741431,0.00010736608296131946
19,"(3.0, 0.5, 0.306)",1.1976594,0.78916377,3.0075552,71.737404,7.3802586,403.16586,160000000.0,"(3.0, 0.5, 0.306)",0.004504739132859592,0.1,1.0,2.5169488159573638e-15,0.0,1.1976594,0.00010736608296131946
20,"(3.0, 0.5, 0.45)",0.43484458,0.27656698,1.6192653,168.82391,6.3661427,593.284,160000000.0,"(3.0, 0.5, 0.45)",0.0030763427574831553,0.1,2.0,3.9843965992829926e-17,50.0,0.35875446,0.00010736608296131946
21,"(3.0, 1.0, 0.044)",159.65025,120.91017,250.02219,14.098389,4.4928055,118.48404,160000000.0,"(3.0, 1.0, 0.044)",0.006679227743681904,1.5,-1.2,668.0883993069255,0.0,159.65025,0.00010736608296131946
22,"(3.0, 1.0, 0.065)",61.57288,44.90172,95.26083,15.922783,4.72153,124.64975,160000000.0,"(3.0, 1.0, 0.065)",0.00866997883340459,1.0,-1.2,205.24293263753253,0.0,61.57288,0.00010736608296131946
23,"(3.0, 1.0, 0.096)",25.62438,18.90422,43.937878,23.516132,6.1646113,173.09242,160000000.0,"(3.0, 1.0, 0.096)",0.010224662050396738,1.1,-1.2,73.06543404737137,200.0,20.395191,0.00010736608296131946
24,"(3.0, 1.0, 0.141)",12.506859,8.387513,27.405567,45.194855,7.0266256,313.73743,160000000.0,"(3.0, 1.0, 0.141)",0.009473843123787073,0.5,-1.1,7.2177973058488645,100.0,10.393628,0.00010736608296131946
25,"(3.0, 1.0, 0.208)",4.274352,2.8256507,8.60449,44.270775,8.169891,237.70566,160000000.0,"(3.0, 1.0, 0.208)",0.008414288866986697,0.3,-0.9,0.10651540727678363,0.0,4.274352,0.00010736608296131946
26,"(3.0, 1.0, 0.306)",1.4885468,0.93557394,4.4726996,121.69231,8.121638,489.27094,160000000.0,"(3.0, 1.0, 0.306)",0.005349915913388403,0.1,0.8,6.358539197891957e-15,0.0,1.4885468,0.00010736608296131946
27,"(3.0, 1.0, 0.45)",0.4579739,0.28277746,1.593814,164.32143,6.762876,567.8042,160000000.0,"(3.0, 1.0, 0.45)",0.0029781161749560456,0.1,1.8,6.994485011014776e-17,50.0,0.37347558,0.00010736608296131946
28,"(4.0, 0.5, 0.044)",136.12923,104.41605,195.1473,12.532316,4.037377,79.03131,160000000.0,"(4.0, 0.5, 0.044)",0.0062404333372506615,3.3,-1.2,567.8741431838166,100.0,121.79038,0.00010736608296131946
29,"(4.0, 0.5, 0.065)",52.638275,38.425686,75.71562,13.311335,5.0151477,63.8976,160000000.0,"(4.0, 0.5, 0.065)",0.007212527793894807,1.3,-1.2,192.88086697729028,50.0,48.882057,0.00010736608296131946
30,"(4.0, 0.5, 0.096)",23.663502,16.446152,39.452145,23.896835,6.059253,173.95901,160000000.0,"(4.0, 0.5, 0.096)",0.009626251604264169,1.4,-1.2,82.84739424672989,100.0,20.318043,0.00010736608296131946
31,"(4.0, 0.5, 0.141)",10.277639,6.924085,20.741539,35.16071,6.739778,245.2393,160000000.0,"(4.0, 0.5, 0.141)",0.0087911383476863,0.5,-1.1,6.338836087120905,50.0,9.127924,0.00010736608296131946
32,"(4.0, 0.5, 0.208)",3.3609097,2.1670945,7.3048906,53.75061,7.654746,345.77277,160000000.0,"(4.0, 0.5, 0.208)",0.008948592752630602,0.3,-0.8,0.04685592438778628,100.0,2.7017503,0.00010736608296131946
33,"(4.0, 0.5, 0.306)",1.0732713,0.66771895,3.630314,149.11606,7.626551,548.9343,160000000.0,"(4.0, 0.5, 0.306)",0.005265828296690034,0.1,0.9,3.195348618292001e-15,0.0,1.0732713,0.00010736608296131946
34,"(4.0, 0.5, 0.45)",0.3225316,0.20428054,1.3085693,228.756,5.876293,626.158,160000000.0,"(4.0, 0.5, 0.45)",0.002544187528756958,0.1,2.3,1.3911175766659058e-17,50.0,0.26139334,0.00010736608296131946
35,"(4.0, 1.0, 0.044)",143.78783,107.4969,216.27058,13.876215,4.5358267,83.398674,160000000.0,"(4.0, 1.0, 0.044)",0.005857326503732274,3.9,-1.2,558.0584743936399,200.0,119.65864,0.00010736608296131946
36,"(4.0, 1.0, 0.065)",60.048054,45.19979,92.12148,15.751469,4.843852,106.63244,160000000.0,"(4.0, 1.0, 0.065)",0.007063006258577864,1.3,-1.2,208.921867697804,100.0,52.94735,0.00010736608296131946
37,"(4.0, 1.0, 0.096)",24.948524,17.173632,43.256687,28.485497,6.040582,208.54926,160000000.0,"(4.0, 1.0, 0.096)",0.009430210301524133,1.1,-1.2,80.28824258754346,50.0,22.411337,0.00010736608296131946
38,"(4.0, 1.0, 0.141)",10.362214,7.014803,19.75623,39.059826,7.130081,273.2867,160000000.0,"(4.0, 1.0, 0.141)",0.00790112835196144,0.5,-1.1,7.1959820058610715,0.0,10.362214,0.00010736608296131946
39,"(4.0, 1.0, 0.208)",4.0852532,2.5975077,10.521443,79.141815,7.587501,418.19052,160000000.0,"(4.0, 1.0, 0.208)",0.009694340824343062,0.4,-1.0,0.6615375731382127,100.0,3.2281168,0.00010736608296131946
40,"(4.0, 1.0, 0.306)",1.3246607,0.8047038,3.554098,90.08871,8.315499,443.54498,160000000.0,"(4.0, 1.0, 0.306)",0.005395352617337146,0.1,0.8,5.658476071983976e-15,0.0,1.3246607,0.00010736608296131946
41,"(4.0, 1.0, 0.45)",0.39251098,0.250197,1.5784774,200.70044,6.6502676,612.0154,160000000.0,"(4.0, 1.0, 0.45)",0.002491199991633032,0.1,2.0,3.5172162624725706e-17,50.0,0.3166896,0.00010736608296131946
