filter_idx,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
0,160000000.0,20.0,-1.2,0.0119007357173247,0.0,20.0,-1.2,613.2156273656872,0.0119007357173247,0.0,12357
1,160000000.0,1.7,-1.2,0.0082580429511258,50.0,1.42,-1.2,221.38867075716814,0.008040327287561544,0.0,29296
2,160000000.0,2.1,-1.2,0.0088919486131276,200.0,2.4,-1.2,89.64052395305772,0.008849215230622987,250.0,24718
3,160000000.0,0.5,-1.1,0.0084075615475048,0.0,0.51,-1.1,6.754604475195002,0.0076227109423757655,25.0,32958
4,160000000.0,0.3,-0.8,0.0084974081990689,50.0,0.3,-0.85,0.07724062720946885,0.0060700393381099005,0.0,49437
5,160000000.0,0.1,1.1,0.0051502891509229,0.0,0.11,0.8,2.328358218420833e-13,0.004791644479363588,0.0,78125
6,160000000.0,0.1,1.3,0.0026880884918598,0.0,0.1,1.3,5.671552140408759e-16,0.0026880884918598,0.0,263671
7,160000000.0,6.3,-1.2,0.0078132652489488,50.0,6.3,-1.2,787.6375195875241,0.0078132652489488,50.0,29296
8,160000000.0,1.9,-1.2,0.0072456738424007,50.0,1.56,-1.2,313.2050734462203,0.007097807557757796,0.0,37077
9,160000000.0,4.1,-1.2,0.0079065837968261,200.0,4.1,-1.2,123.75881667351103,0.0079065837968261,200.0,29296
10,160000000.0,0.6,-1.1,0.0071520898400067,100.0,0.54,-1.1,12.284482905470828,0.005862905899893023,0.0,55615
11,160000000.0,0.4,-1.0,0.0082195612672908,0.0,0.4,-0.98,0.8630328022397402,0.006713886938451263,50.0,39062
12,160000000.0,0.2,-0.4,0.004966637025094,0.0,0.16,-0.1,4.670050614045053e-07,0.004068755839700455,0.0,117187
13,160000000.0,0.1,1.3,0.0033710006536157,0.0,0.09,1.7,1.0447856554534191e-18,0.002975810207924645,0.0,211171
14,160000000.0,1.9,-1.2,0.0066776102255642,0.0,1.88,-1.2,618.9697038432822,0.006619062596213698,0.0,43944
15,160000000.0,1.0,-1.2,0.0092910154202041,50.0,1.3,-1.21,195.75145252145686,0.008740387691454798,100.0,24718
16,160000000.0,1.5,-1.2,0.0093619661623678,200.0,1.2,-1.19,71.13442110833485,0.008810542974829194,250.0,24718
17,160000000.0,0.5,-1.1,0.0078550864402847,50.0,0.51,-1.1,6.565289817246438,0.007817040156539778,75.0,29296
18,160000000.0,0.2,-0.6,0.0088210025691293,0.0,0.25,-0.8,0.012630684327496106,0.006804303419529256,0.0,39062
19,160000000.0,0.1,1.0,0.0045047391328595,0.0,0.09,1.3,6.063873260579332e-18,0.004267997356001196,0.0,98874
20,160000000.0,0.1,2.0,0.0030763427574831,50.0,0.09,2.3,9.50896471913739e-20,0.00290079347951977,25.0,222471
21,160000000.0,1.5,-1.2,0.0066792277436819,0.0,1.5,-1.2,668.0883993069255,0.0066792277436819,0.0,41710
22,160000000.0,1.0,-1.2,0.0086699788334045,0.0,0.96,-1.2,198.1208326252872,0.007933452461073964,0.0,29296
23,160000000.0,1.1,-1.2,0.0102246620503967,200.0,0.7,-1.17,42.136627542536516,0.008324208449107084,125.0,27807
24,160000000.0,0.5,-1.1,0.009473843123787,100.0,0.4,-1.07,3.3294911867733736,0.00770656742238407,0.0,31282
25,160000000.0,0.3,-0.9,0.0084142888669866,0.0,0.25,-0.8,0.014429770795757692,0.006432253347286476,0.0,43944
26,160000000.0,0.1,0.8,0.0053499159133884,0.0,0.12,0.5,1.720675606252907e-11,0.004356728211330485,25.0,98874
27,160000000.0,0.1,1.8,0.002978116174956,50.0,0.11,1.5,9.725014588850782e-15,0.0028234563712694616,50.0,234375
28,160000000.0,3.3,-1.2,0.0062404333372506,100.0,3.3,-1.2,567.8741431838166,0.0062404333372506,100.0,49437
29,160000000.0,1.3,-1.2,0.0072125277938948,50.0,1.5,-1.2,192.43534314696797,0.007093791903907465,125.0,37077
30,160000000.0,1.4,-1.2,0.0096262516042641,100.0,0.9,-1.18,57.46636797803356,0.008367252264403602,100.0,27807
31,160000000.0,0.5,-1.1,0.0087911383476863,50.0,0.5,-1.09,5.933482472489521,0.008025742854247259,75.0,29296
32,160000000.0,0.3,-0.8,0.0089485927526306,100.0,0.3,-0.85,0.06265231507664144,0.006803870921189836,25.0,39062
33,160000000.0,0.1,0.9,0.00526582829669,0.0,0.1,1.1,1.3924412494891027e-15,0.004858325116915571,25.0,78125
34,160000000.0,0.1,2.3,0.0025441875287569,50.0,0.09,2.6,3.2394111899167615e-20,0.00231096527649588,25.0,351562
35,160000000.0,3.9,-1.2,0.0058573265037322,200.0,3.9,-1.2,558.0584743936399,0.0058573265037322,200.0,55615
36,160000000.0,1.3,-1.2,0.0070630062585778,100.0,1.33,-1.2,207.27638667446547,0.006985585163455821,125.0,39062
37,160000000.0,1.1,-1.2,0.0094302103015241,50.0,0.7,-1.17,43.77657705588979,0.007879004318480876,50.0,29296
38,160000000.0,0.5,-1.1,0.0079011283519614,0.0,0.4,-1.04,2.456544089810499,0.007069273884817817,0.0,39062
39,160000000.0,0.4,-1.0,0.009694340824343,100.0,0.3,-0.89,0.08700931237348683,0.007399903622259396,25.0,32958
40,160000000.0,0.1,0.8,0.0053953526173371,0.0,0.13,0.4,2.76226407348874e-10,0.004142297778032766,25.0,111232
41,160000000.0,0.1,2.0,0.002491199991633,50.0,0.1,2.0,3.5172162624725706e-17,0.002491199991633,50.0,312500
