filter_idx,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
0,160000000.0,3.3,-1.2,0.0108901075261113,0.0,3.3,-1.2,450.0730794016112,0.0108901075261113,0.0,15637
1,160000000.0,2.0,-1.2,0.009132229465169,50.0,2.0,-1.21,183.2616781728631,0.00848204218885383,0.0,24718
2,160000000.0,9.9,-1.2,0.0088695088853132,200.0,9.9,-1.2,63.33919426112577,0.0088695088853132,200.0,24718
3,160000000.0,0.6,-1.1,0.0071692134651525,0.0,0.66,-1.1,8.519916870631912,0.006634279761972006,75.0,43944
4,160000000.0,0.5,-1.0,0.0086690296352175,200.0,0.4,-0.92,0.3540356365957264,0.006940682740820603,100.0,39062
5,160000000.0,0.1,1.1,0.0045640290111883,0.0,0.1,1.1,1.2745871953011965e-15,0.0045640290111883,0.0,87889
6,160000000.0,0.1,1.5,0.0027694662858646,0.0,0.11,1.2,3.0588059016272725e-14,0.00245591956917135,0.0,312500
7,160000000.0,20.0,-1.2,0.0132322025620393,0.0,20.0,-1.2,542.6253328324441,0.0132322025620393,0.0,10984
8,160000000.0,9.9,-1.2,0.0083958793911962,50.0,9.9,-1.2,208.0705288797593,0.0083958793911962,50.0,26392
9,160000000.0,9.9,-1.2,0.0078667774243951,200.0,9.9,-1.2,82.04265940508178,0.0078667774243951,200.0,29296
10,160000000.0,0.6,-1.1,0.0078764657138383,50.0,0.55,-1.1,8.519990470967123,0.006072124735765738,0.0,49437
11,160000000.0,0.5,-1.0,0.0057623722958634,100.0,0.35,-0.9,0.2737864046237978,0.004792525811357251,0.0,78125
12,160000000.0,0.4,-0.8,0.0062838355343674,200.0,0.3,-0.64,0.011070022427491225,0.005052340830739577,100.0,74155
13,160000000.0,0.1,1.5,0.003423053780118,0.0,0.09,1.8,4.905108597223816e-19,0.0019553202601598763,0.0,468750
14,160000000.0,5.9,-1.2,0.0074151916805764,100.0,6.0,-1.19,338.5955040609607,0.006343306729793552,200.0,43944
15,160000000.0,1.1,-1.2,0.0103884182550558,50.0,1.4,-1.21,129.8243325125566,0.008969951332940429,125.0,21972
16,160000000.0,1.1,-1.2,0.0097775894767426,100.0,0.8,-1.18,36.04974239889213,0.008667184500070813,100.0,24718
17,160000000.0,0.5,-1.1,0.0083831394553567,0.0,0.5,-1.08,3.8267499294833875,0.007717047918702313,50.0,31282
18,160000000.0,0.3,-0.8,0.0088489424596691,50.0,0.27,-0.8,0.018492644549839597,0.006260912780873262,0.0,49437
19,160000000.0,0.1,1.0,0.0040189465580028,0.0,0.09,1.3,3.837850274484973e-18,0.003665383144612455,0.0,131835
20,160000000.0,0.1,2.1,0.0022400739904543,50.0,0.09,2.4,5.0531492544885413e-20,0.002110585036788626,25.0,395506
21,160000000.0,3.7,-1.2,0.0066294390000396,100.0,4.0,-1.19,406.7080773986951,0.0061784243945822714,200.0,49437
22,160000000.0,9.9,-1.2,0.0069477068580209,200.0,9.9,-1.2,162.83508331971504,0.0069477068580209,200.0,39062
23,160000000.0,2.1,-1.2,0.0089288521208945,200.0,1.97,-1.2,74.31732203019023,0.008858946593813144,175.0,24718
24,160000000.0,0.5,-1.1,0.0081059738234144,50.0,0.51,-1.1,5.391600667716122,0.007687732519046642,50.0,32958
25,160000000.0,0.3,-0.9,0.0080328051054466,0.0,0.3,-0.86,0.05725495374775014,0.006690652644919748,25.0,41710
26,160000000.0,0.1,0.8,0.0048310839000648,0.0,0.09,1.1,1.1233839221888308e-17,0.003705984600925305,0.0,131835
27,160000000.0,0.1,2.1,0.0024958412258425,50.0,0.09,2.4,5.266805960648785e-20,0.0016932537673139958,25.0,625000
28,160000000.0,5.6,-1.2,0.0103518809328365,0.0,6.0,-1.18,353.67430036527026,0.006661304151309819,75.0,43944
29,160000000.0,4.7,-1.2,0.0075506016742433,100.0,5.0,-1.19,138.71697307959695,0.0066365478489198715,175.0,43944
30,160000000.0,1.2,-1.2,0.0099385654551568,50.0,0.8,-1.18,36.25788737145021,0.008949734840514756,25.0,21972
31,160000000.0,0.6,-1.1,0.0078129759525797,100.0,0.58,-1.1,5.782199510265241,0.0076189957029015876,75.0,32958
32,160000000.0,0.3,-0.8,0.0090535657916388,50.0,0.3,-0.85,0.05481652233645557,0.0069253482131871325,0.0,39062
33,160000000.0,0.1,1.0,0.003838543428284,0.0,0.09,1.3,4.189867083429408e-18,0.0034849543266158856,0.0,156250
34,160000000.0,0.1,2.7,0.0022467221085218,50.0,0.1,2.5,6.3449792483538825e-18,0.0012993773510880102,25.0,1054687
35,160000000.0,1.7,-1.2,0.0074836629256226,50.0,1.43,-1.2,380.2773666033743,0.007377060916227474,0.0,32958
36,160000000.0,1.7,-1.2,0.0073377914577184,200.0,1.98,-1.2,128.5886172354054,0.0073173117356004624,300.0,32958
37,160000000.0,2.4,-1.2,0.0090331048875117,200.0,2.0,-1.19,57.081564682233676,0.008727810090489563,300.0,24718
38,160000000.0,0.5,-1.1,0.0085925699609281,50.0,0.53,-1.1,5.166269319819992,0.008009534659192574,100.0,29296
39,160000000.0,0.3,-0.9,0.0082590443320166,0.0,0.26,-0.8,0.014228955910693144,0.006563876433035187,0.0,43944
40,160000000.0,0.1,0.9,0.0046633952254672,0.0,0.13,0.5,1.356022337654756e-10,0.003429142530949947,25.0,156250
41,160000000.0,0.1,2.0,0.0025734452075596,50.0,0.11,1.7,3.256721248182016e-15,0.00201636395579341,50.0,468750
