filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,best_augmented_var,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
0,53.276510482134775,53.276510482134775,46.25661439658976,43.461289405666456,39.64846081916629,0.0258028145035547,0.0258145246509065,0.0262946715568307,0.0260678152472854,0.02580719572066459,0.025800070188341462,46.25661439658976,0.025800057479344107,0.025820743671803148,0.025802814503554705,,,,
2,72.9149543891323,72.9149543891323,63.11802861521024,59.149630366031694,53.656881208263016,0.0159519097733219,0.0173706396217828,0.0178159591127201,0.0171019657223163,0.014263197721856885,0.013890969649646423,72.9149543891323,0.013646270229504154,0.014252317572108542,0.012901174541165655,,,,
3,21.122358538745,21.122358538745,18.339971717243493,17.214602652449333,15.686373492277626,0.0065759314850405,0.0093776968169388,0.0109668426131208,0.0100370481443131,0.008246706156274652,0.00782529409173005,,0.00847476106769729,0.007783406901744616,0.006575931485040543,,,,
4,87.95740886669597,87.95740886669597,79.92977719255323,75.71709479850512,69.60817303087032,0.0178110971537336,0.0154182856239092,0.0145712155473072,0.0173342761762747,0.01598138651490466,0.015760596094147802,82.73384480468019,0.014931319003829949,0.014896585553637473,0.014571215547307226,0.014183746382727264,0.013821485195900762,0.013602514298323931,0.014169058844066051
5,55.20790368051543,55.20790368051543,50.89694766910578,48.72254755846359,45.56501936214529,0.0250546166063814,0.0253245475334549,0.0254860702514833,0.0268998558270031,0.025046842946048198,0.025000741534639825,50.89694766910578,0.02493214777785413,0.02502150628347699,0.02505461660638142,,,,
6,40.185553059698734,40.185553059698734,35.09346541877432,33.0014501618506,30.13148473250982,0.0173436829196209,0.0167227692012988,0.0183045276928101,0.0159314163836116,0.015283724643945062,0.015830008793796257,33.0014501618506,0.01567102168510226,0.015307034659527374,0.014828784533768569,0.01456025552706841,0.014544031954172532,0.01433632222435094,0.01414405299937549
7,22.804529036081163,22.804529036081163,20.94788558945672,20.13901215652379,18.997707621416566,0.0298546066844695,0.0297265354383872,0.0297538623279544,0.029699480348118,0.029708194510861263,0.029631908286261388,18.33794031341658,0.029669253646575244,0.02964848637770212,0.02969948034811809,0.029639456321846724,0.029662146243326304,0.02982930917319848,0.02976583628259233
8,1.7810400944413478,1.7810400944413478,1.5553219639482867,1.4869197676143786,1.3931847236325126,0.0141036169612465,0.0140867967841794,0.014084907129657,0.0140812887239688,0.01407951998887813,0.014085551351327275,1.3242007468972512,0.014096827728715566,0.01408718619120164,0.014081288723968854,0.01408446993394119,0.01409531341342296,0.01409937569532671,0.014093510598858938
9,8.497679772193038,8.497679772193038,6.413194270426675,6.020044697333665,5.505595676916939,0.0036319775009628,0.0045692082615941,0.0045069255355765,0.0055873812654249,0.0055699696701574375,0.005208792946704802,,0.0049198725460512654,0.004103890981105959,0.0036319775009628907,,,,
10,33.37461460247059,33.37461460247059,29.45187265718814,27.734977902853277,25.38468198213574,0.0137342957632353,0.0150266850655914,0.01330072043783,0.0164451297582161,0.013200368060947487,0.013579858139767698,33.37461460247059,0.012841276597281404,0.013565293015685431,0.013300720437830038,0.013689434529974065,0.013352382133085539,0.013511585521653269,0.0119786039052735
11,35.6231326704054,35.6231326704054,29.967909875615256,27.84655808937,24.99952892735705,0.0161541404558575,0.0126175638325698,0.016255183810943,0.0179673937700999,0.013219550188293211,0.01387359554790668,31.482279420415644,0.01320722950748883,0.012715808199145417,0.012617563832569845,0.012219968586299479,0.012719549449455747,,
12,43.91723101310328,43.91723101310328,37.24088575938206,34.830856819316146,31.64508004942818,0.0088755289010648,0.0109034677534095,0.0120522794027271,0.0133821289406213,0.009464114607920487,0.008309117327192084,39.00422437802829,0.008585379726141706,0.007774466346014419,0.00826379532840904,,,,
13,26.80083113292681,26.80083113292681,23.150267672165267,21.715201628357494,19.79773644820884,0.011390057515519,0.013026273162087,0.0106477918654939,0.0141641571774233,0.009370042309284995,0.009441425387177738,24.186989950830064,0.009792617396127246,0.008880978393051714,0.00902308425163345,0.008527006565081319,0.008368560638349398,0.008024978886515544,0.008238031160656967
14,34.87331626467633,34.87331626467633,30.55263883678577,28.7115176875239,26.19248568911704,0.0193522376865005,0.0221704886471077,0.019521484087677,0.0197017970651852,0.016201236543516906,0.016069453737486084,31.845369457560867,0.015713610497446018,0.015282710976877945,0.01599335948478886,,,,
