filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
0,57.21493021594356,36.411798484946296,123.2313201400926,41.28544387990029,8.164085879751065,290.10765755176897,480000000.0,dual_color,0.0268801742328927,0.1,0.3,1.639573082356087e-12,50.0,52.40189528826295,6.198809110762993e-05,0.0268360319963261,0.1,0.3,1.7117199767439628e-12,25.0,2605,2.77919,0.0767578,0.0,2.43423,0.0497914,0.0,1.8864,0.0513855,0.0,0.0
2,82.08465452392318,53.71777393511079,153.96512658694513,37.56918333765668,8.917034041545806,238.81197248846613,480000000.0,dual_color,0.0115171858384138,0.2,-0.8,0.0194376656289306,0.0,82.08465452392318,6.198809110762993e-05,0.0115171858384138,0.2,-0.8,0.0194376656289306,0.0,14648,2.78632,0.0859877,0.0,2.39551,0.0615463,0.0,1.83943,0.0617151,0.0,0.0
3,22.61132184256137,14.9941835912328,56.10451320724665,71.90586587356042,6.891110625629279,399.2025472461033,480000000.0,single_edge,0.0079902332502352,0.2,-0.5,0.0014954577938201,0.0,22.61132184256137,6.198809110762993e-05,0.0071943247394817,0.22,-0.6,0.0081600538531597,0.0,37077,1.98978,0.0690803,0.0,1.73528,0.0420872,0.0,1.37302,0.0429506,0.0,0.0
4,94.07708921865792,65.02573465317602,156.86592101830394,21.475630479801147,7.446571172819309,115.10764274178742,480000000.0,dual_color,0.0149872365433788,0.3,-1.0,3.05758670301808,100.0,88.60184102372854,6.198809110762993e-05,0.0139888847834944,0.29,-1.0,2.5925205006268874,25.0,9268,3.14509,0.0883756,0.0,2.67734,0.0647689,0.0,2.04442,0.0654449,0.0,0.0
5,57.48323999942135,41.66077374086303,87.700814269371,15.550781260459624,5.322732305015207,125.78848624979804,480000000.0,dual_color,0.0261215678648512,0.4,-1.0,10.90008141713952,50.0,50.04483663477348,6.198809110762993e-05,0.025951462696834,0.4,-0.99,9.903197867983936,125.0,2746,3.37541,0.0782168,0.0,2.74702,0.0583235,0.0,2.18113,0.0615838,0.0,0.0
6,43.7282332401113,28.12414425697422,96.20918455366515,43.878386159777655,6.806652932676192,310.4380159214466,480000000.0,single_edge,0.0178377361408328,0.5,-1.1,26.7352277249832,50.0,43.7282332401113,6.198809110762993e-05,0.014399285009894,0.3,-0.95,1.329370654455096,0.0,9268,2.48033,0.0805571,0.0,2.07825,0.0573934,0.0,1.63383,0.0601598,0.0,0.0
7,24.626245413153047,18.353888377027133,40.16735723861424,15.670189613258271,3.287686860289266,146.79771232293942,480000000.0,inside_out,0.04197350527443,1.1,-0.5,24.843518890162496,100.0,22.317551619502144,6.198809110762993e-05,0.0419351048570578,0.9,-0.42,17.44598189089509,75.0,1029,3.20853,0.0486266,0.0,3.39311,0.0419386,0.0,2.55519,0.0420363,0.0,0.0
8,1.9246735623647264,1.3575937343691398,6.607376336521304,122.92855917980704,3.710739443873394,541.4490816682455,480000000.0,misc,0.0185555842161111,0.2,1.4,1.3994144912371604e-06,50.0,1.9246735623647264,6.198809110762993e-05,0.0185551730332098,0.21,1.0,7.386034710819022e-06,0.0,5493,0.881042,0.0394689,0.0,0.816759,0.0190216,0.0,0.609287,0.0185739,0.0,0.0
9,9.369960484917575,5.267412237701272,83.55798849580214,993.476241762212,6.442852823400554,796.3465241639103,480000000.0,multi_edge,0.0035583116989656,0.2,0.0,9.661794935003802e-05,50.0,7.065595153195351,6.198809110762993e-05,0.0033760358919253,0.16,0.4,4.086458178467451e-07,50.0,166852,1.441,0.0524857,0.0,1.26828,0.0252092,0.0,1.01057,0.0245569,0.0,0.0
10,35.86590116801386,24.751491225298107,79.52171894359167,45.49207904722915,6.515996593376139,338.47981136700054,480000000.0,single_edge,0.0135238545966253,0.4,-1.0,6.134119647176506,100.0,29.22313964100619,6.198809110762993e-05,0.0134304058119524,0.41,-1.0,6.714306846655869,125.0,10426,2.36512,0.079361,0.0,2.01126,0.0545443,0.0,1.59021,0.0573223,0.0,0.0
11,39.66937730091172,25.35376738050696,90.45748371505016,57.79834753253665,8.807663644807148,383.055125869971,480000000.0,single_edge,0.0142680128082583,0.2,-0.7,0.0050807244712674,50.0,39.66937730091172,6.198809110762993e-05,0.0118820181265933,0.19,-0.7,0.0027709000806273,0.0,13194,2.0704,0.0819633,0.0,1.77908,0.0568798,0.0,1.38313,0.0578537,0.0,0.0
12,48.07721821441986,30.02443126909409,141.20629686063688,92.3769560326775,7.405737475865698,484.5379451301896,480000000.0,single_edge,0.0086590503073418,0.3,-0.9,1.1980680090415436,0.0,48.07721821441986,6.198809110762993e-05,0.0079953099566415,0.25,-0.8,0.1623037193415241,0.0,29296,2.66788,0.074457,0.0,2.31397,0.0479913,0.0,1.82194,0.0491272,0.0,0.0
13,29.44813653103616,18.96326338397885,77.78106393204112,67.18655169761418,7.603214950484362,417.9403952471964,480000000.0,single_edge,0.0107644105193165,0.3,-0.9,0.7338375973911945,0.0,29.44813653103616,6.198809110762993e-05,0.0076323840500116,0.23,-0.7,0.0268646679859805,0.0,32958,2.14202,0.0735212,0.0,1.86034,0.0470025,0.0,1.46285,0.0480789,0.0,0.0
14,38.76253774457407,26.457992693004368,93.39247177960236,49.56193353349588,7.235932520810334,339.87154408029164,480000000.0,single_edge,0.0193145998791559,0.5,-1.1,22.163397510010743,100.0,38.76253774457407,6.198809110762993e-05,0.015784743503731,0.3,-0.96,1.228203519199951,0.0,7324,2.24327,0.0851592,0.0,1.90307,0.0606933,0.0,1.49512,0.0630584,0.0,0.0
15,42.579443702992165,33.41379647637664,60.92121734063858,10.230103432703553,2.9247380752671504,80.66819891391623,480000000.0,inside_out,0.0284046627237808,0.1,4.2,5.027707011874515e-17,100.0,38.49243745374631,6.198809110762993e-05,0.0284046627237808,0.1,4.2,5.027707011874515e-17,100.0,2316,4.54843,0.0381722,0.0,4.07147,0.0284046,0.0,2.99348,0.0285435,0.0,0.0
16,61.30564812928164,38.148690113929575,166.79389937689135,75.44512994975818,7.121151462808284,396.6264448848494,480000000.0,multi_edge,0.0057784586402543,0.2,-0.4,0.0028315266118729,0.0,61.30564812928164,6.198809110762993e-05,0.004736773644312,0.15,0.0,2.697877882264445e-06,0.0,83424,3.43355,0.06267,0.0,3.01265,0.0355529,0.0,2.38056,0.0353858,0.0,0.0
17,57.50033373791151,40.25216802966866,92.5081644369457,23.53168591388022,6.710863382406617,166.50257404273077,480000000.0,dual_color,0.023188589604445,0.3,-1.1,3.4902594772623443,0.0,57.50033373791151,6.198809110762993e-05,0.0187387786533816,0.32,-1.1,5.319757360121355,0.0,5493,2.26617,0.10048,0.0,1.92997,0.0765404,0.0,1.47994,0.0771224,0.0,0.0
18,48.14403630452585,29.8335913308048,144.01955276411567,110.1892016978348,8.569844431924315,488.5349822078848,480000000.0,multi_edge,0.0079157628184521,0.3,-0.8,0.6956114630722594,50.0,48.14403630452585,6.198809110762993e-05,0.0059491148849383,0.2,-0.53,0.0035656720294841,0.0,52788,2.78591,0.0677349,0.0,2.43687,0.0407418,0.0,1.92306,0.0409781,0.0,0.0
20,37.67740202972317,23.8974058857828,74.99933286282251,42.57416369560676,8.759963086968112,282.4265680786212,480000000.0,dual_color,0.0094327835842468,0.2,-0.6,0.0036737720034466,0.0,32.84474319152455,6.198809110762993e-05,0.0090643319452025,0.27,-0.8,0.23289307989823,50.0,21972,2.33584,0.0722724,0.0,2.00547,0.0469571,0.0,1.57148,0.0486921,0.0,0.0
22,18.166951988151823,12.659423129093629,42.189424536889554,54.04998023573999,6.364017867526411,380.21978304183983,480000000.0,multi_edge,0.0103126860131312,0.3,-0.8,0.3150658798838073,0.0,16.54612262319564,6.198809110762993e-05,0.0086087252438586,0.3,-0.78,0.2681874364066296,25.0,24718,1.83816,0.0705478,0.0,1.59331,0.0439747,0.0,1.25969,0.045569,0.0,0.0
23,31.440153510876385,21.73230206423625,62.0153412980368,31.6849669297646,6.400519499879907,254.5584973055664,480000000.0,single_edge,0.01115727284107,0.5,-1.1,19.56902718529443,50.0,29.19923866845357,6.198809110762993e-05,0.0107575762147216,0.48,-1.1,17.772483215754626,25.0,16479,2.23034,0.0819734,0.0,1.88135,0.0580442,0.0,1.48204,0.0608034,0.0,0.0
24,21.173402754686595,13.551118751567618,88.09374765291277,212.3095978643873,7.920719085859245,600.4919996532997,480000000.0,single_edge,0.0083461265591529,0.1,0.6,1.9420267181391682e-13,0.0,21.173402754686595,6.198809110762993e-05,0.0078542908725323,0.12,0.2,8.547386903345861e-10,0.0,29296,1.84142,0.0682071,0.0,1.61266,0.0411606,0.0,1.2735,0.0411918,0.0,0.0
25,9.03464644015979,5.765562683447828,37.2075824466312,212.50923297048507,6.0121680990104,614.7023264948475,480000000.0,multi_edge,0.0038496136515406,0.2,0.1,7.951561112658635e-05,50.0,7.557163681470767,6.198809110762993e-05,0.0037437894404395,0.17,0.4,1.6854464672397695e-06,50.0,131835,1.54753,0.0511295,0.0,1.36107,0.0237359,0.0,1.08945,0.0231282,0.0,0.0
26,43.14164174756185,31.47304931299793,81.47908780958619,29.624903666689512,5.992824891000535,238.4531140185108,480000000.0,dual_color,0.0236475624525358,0.3,-0.7,0.4237842151460798,200.0,34.41532285101408,6.198809110762993e-05,0.0234610416691823,0.26,-0.6,0.0849784528161286,175.0,3474,2.87132,0.0724886,0.0,2.46225,0.0466292,0.0,1.97253,0.0499582,0.0,0.0
27,10.058828841830875,5.421984429320597,94.50466843332153,1427.5507878429655,7.093178461553281,846.0553211708931,480000000.0,multi_edge,0.0038681140952685,0.2,0.0,9.332603570682491e-05,100.0,7.651564142593187,6.198809110762993e-05,0.0034657764105616,0.15,0.4,9.339274993356861e-08,25.0,148314,1.43173,0.0531042,0.0,1.26101,0.0259214,0.0,1.00364,0.0250514,0.0,0.0
28,29.010986266093816,19.03809149386276,108.65782153707065,122.90436993871906,7.573222152442264,436.0618504436649,480000000.0,single_edge,0.0093815551672218,0.3,-0.8,0.4035275179429511,100.0,29.010986266093816,6.198809110762993e-05,0.0081928122400398,0.23,-0.7,0.0264658686692467,0.0,27807,2.14642,0.0725843,0.0,1.85979,0.0463568,0.0,1.45988,0.0474995,0.0,0.0
29,20.822995669521006,13.808396620353896,48.73208894409049,47.80006746090991,8.00596179900825,268.5106684180456,480000000.0,single_edge,0.0388805329753934,0.2,-0.3,0.0005179527966984,200.0,14.53606646554471,6.198809110762993e-05,0.0388791580581659,0.2,-0.27,0.0004367380166002,300.0,1156,1.71249,0.0763964,0.0,1.46864,0.051423,0.0,1.13647,0.053281,0.0,0.0
30,19.45063610611612,11.978844499888863,79.73836454875443,160.1219992536287,8.820242871081362,552.6302496769829,480000000.0,single_edge,0.0070952880060962,0.2,-0.5,0.0010712444048781,50.0,17.000346134111545,6.198809110762993e-05,0.0064909716892611,0.18,-0.4,0.0001389277549201,25.0,43944,1.67885,0.0694062,0.0,1.46591,0.0429375,0.0,1.14756,0.0431666,0.0,0.0
31,45.65640394191919,32.45554369899387,80.62941184094326,25.02848603447092,4.759065109211691,193.79744331978628,480000000.0,eye,0.0622656979328577,0.1,1.5,1.7937695579142652e-14,50.0,39.31494907157802,6.198809110762993e-05,0.0622651170357154,0.09,1.9,3.000094252966322e-17,100.0,457,3.15244,0.0714553,0.0,2.38649,0.062265,0.0,1.98208,0.0633136,0.0,0.0
