filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
0,57.21493021594356,36.411798484946296,123.2313201400926,41.28544387990029,8.164085879751065,290.10765755176897,480000000.0,dual_color,0.026880174232892795,0.1,0.3,1.639573082356087e-12,50.0,50.19321977097515,6.198809110762993e-05
2,82.08465452392318,53.71777393511079,153.96512658694513,37.56918333765668,8.917034041545806,238.81197248846613,480000000.0,dual_color,0.011517185838413851,0.2,-0.8,0.01943766562893063,0.0,82.08465452392318,6.198809110762993e-05
3,22.61132184256137,14.9941835912328,56.10451320724665,71.90586587356042,6.891110625629279,399.2025472461033,480000000.0,single_edge,0.00799023325023529,0.2,-0.5,0.0014954577938201964,0.0,22.61132184256137,6.198809110762993e-05
4,94.07708921865792,65.02573465317602,156.86592101830394,21.475630479801147,7.446571172819309,115.10764274178742,480000000.0,dual_color,0.014987236543378815,0.3,-1.0,3.05758670301808,100.0,81.28769149552619,6.198809110762993e-05
5,57.48323999942135,41.66077374086303,87.700814269371,15.550781260459624,5.322732305015207,125.78848624979804,480000000.0,dual_color,0.02612156786485126,0.4,-1.0,10.90008141713952,50.0,53.189322625969,6.198809110762993e-05
6,43.7282332401113,28.12414425697422,96.20918455366515,43.878386159777655,6.806652932676192,310.4380159214466,480000000.0,single_edge,0.01783773614083284,0.5,-1.1,26.7352277249832,50.0,38.4987279239758,6.198809110762993e-05
7,24.626245413153047,18.353888377027133,40.16735723861424,15.670189613258271,3.287686860289266,146.79771232293942,480000000.0,inside_out,0.04197350527443,1.1,-0.5,24.843518890162496,100.0,21.916147153552544,6.198809110762993e-05
8,1.9246735623647264,1.3575937343691398,6.607376336521304,122.92855917980704,3.710739443873394,541.4490816682455,480000000.0,misc,0.018555584216111143,0.2,1.4,1.3994144912371604e-06,50.0,1.6801180148886026,6.198809110762993e-05
9,9.369960484917575,5.267412237701272,83.55798849580214,993.476241762212,6.442852823400554,796.3465241639103,480000000.0,multi_edge,0.0035583116989656993,0.2,0.0,9.661794935003802e-05,50.0,7.065595153195351,6.198809110762993e-05
10,35.86590116801386,24.751491225298107,79.52171894359167,45.49207904722915,6.515996593376139,338.47981136700054,480000000.0,single_edge,0.013523854596625307,0.4,-1.0,6.134119647176506,100.0,29.932773568730685,6.198809110762993e-05
11,39.66937730091172,25.35376738050696,90.45748371505016,57.79834753253665,8.807663644807148,383.055125869971,480000000.0,single_edge,0.014268012808258373,0.2,-0.7,0.005080724471267473,50.0,34.14246844691742,6.198809110762993e-05
12,48.07721821441986,30.02443126909409,141.20629686063688,92.3769560326775,7.405737475865698,484.5379451301896,480000000.0,single_edge,0.00865905030734182,0.3,-0.9,1.1980680090415436,0.0,48.07721821441986,6.198809110762993e-05
13,29.44813653103616,18.963263383978852,77.78106393204112,67.18655169761418,7.603214950484362,417.9403952471964,480000000.0,single_edge,0.010764410519316536,0.3,-0.9,0.7338375973911945,0.0,29.448136531036162,6.198809110762993e-05
14,38.76253774457407,26.457992693004368,93.39247177960236,49.56193353349588,7.235932520810334,339.87154408029164,480000000.0,single_edge,0.019314599879155958,0.5,-1.1,22.163397510010743,100.0,31.915292414415465,6.198809110762993e-05
15,42.579443702992165,33.41379647637664,60.92121734063858,10.230103432703553,2.9247380752671504,80.66819891391623,480000000.0,inside_out,0.028404662723780894,0.1,4.2,5.027707011874515e-17,100.0,38.492437453746305,6.198809110762993e-05
16,61.30564812928164,38.148690113929575,166.79389937689135,75.44512994975818,7.121151462808284,396.6264448848494,480000000.0,multi_edge,0.005778458640254391,0.2,-0.4,0.002831526611872975,0.0,61.30564812928164,6.198809110762993e-05
17,57.50033373791151,40.25216802966866,92.5081644369457,23.53168591388022,6.710863382406617,166.50257404273077,480000000.0,dual_color,0.02318858960444503,0.3,-1.1,3.4902594772623443,0.0,57.50033373791151,6.198809110762993e-05
18,48.14403630452585,29.833591330804797,144.01955276411567,110.1892016978348,8.569844431924315,488.5349822078848,480000000.0,multi_edge,0.007915762818452188,0.3,-0.8,0.6956114630722594,50.0,40.10951632306938,6.198809110762993e-05
20,37.67740202972317,23.8974058857828,74.99933286282251,42.57416369560676,8.759963086968112,282.4265680786212,480000000.0,dual_color,0.009432783584246818,0.2,-0.6,0.003673772003446658,0.0,37.67740202972317,6.198809110762993e-05
22,18.166951988151823,12.659423129093629,42.189424536889554,54.04998023573999,6.364017867526411,380.21978304183983,480000000.0,multi_edge,0.01031268601313129,0.3,-0.8,0.3150658798838073,0.0,18.166951988151826,6.198809110762993e-05
