filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
0,"(2.0, 0.5, 0.044)",38922.664,30951.148,47092.977,4.4098725,2.7373297,7.6680574,2359296.0,"(2.0, 0.5, 0.044)",0.0086439620504787,0.8,-1.0,56833.29226593389,50.0,37773.96484375,0.0008841081267786,0.005212420902658,1.1,-1.08,97777.47074111649,50.0,69984,117.881,0.0608771,0.0,99.9361,0.0363442,0.0,79.9055,0.0401558,0.0,4.193125399999999e-56
1,"(2.0, 0.5, 0.065)",13811.338,10857.232,17411.84,5.7086735,3.5058951,10.191732,2359296.0,"(2.0, 0.5, 0.065)",0.0090544921543662,0.6,-1.0,11727.665250561316,0.0,13811.337890625,0.0008841081267786,0.0071601474604404,0.7,-1.05,18710.634305803003,0.0,36864,63.0084,0.066535,0.0,53.7441,0.0412957,0.0,43.0716,0.0450242,0.0,1.730472399999999e-105
2,"(2.0, 0.5, 0.096)",5212.1113,4147.616,6494.641,5.850252,3.2464461,9.314557,2359296.0,"(2.0, 0.5, 0.096)",0.0067351525265331,0.7,-1.0,6220.92710894739,0.0,5099.9453125,0.0008841081267786,0.0059947876841479,0.7,-0.99,5943.03924157301,25.0,52488,41.3535,0.0609145,0.0,35.6705,0.0344871,0.0,28.493,0.0374004,0.0,4.509312999999999e-74
3,"(2.0, 0.5, 0.141)",1797.79,1354.2784,2296.7393,9.139929,5.1532745,16.219257,2359296.0,"(2.0, 0.5, 0.141)",0.017807827655764,1.4,-1.2,6314.137182526151,200.0,1507.5303955078125,0.0008841081267786,0.0177887418938689,1.39,-1.2,6128.946140965415,250.0,5832,19.2555,0.0721347,0.0,16.8881,0.0457133,0.0,13.1402,0.0451218,0.0,0.0
4,"(2.0, 0.5, 0.208)",583.1873,428.79242,749.1571,10.078462,5.6428323,22.572874,2359296.0,"(2.0, 0.5, 0.208)",0.0099290395996675,0.2,-0.3,0.0192852948708508,0.0,551.4540405273438,0.0008841081267786,0.0082741694611699,0.3,-0.66,6.126895843746643,50.0,27648,11.9253,0.0628941,0.0,10.5226,0.036012,0.0,8.30479,0.0341843,0.0,1.0058806999999993e-140
5,"(2.0, 0.5, 0.306)",181.50945,127.899025,248.52654,15.31448,5.525773,54.680214,2359296.0,"(2.0, 0.5, 0.306)",0.0100897390053221,0.5,-1.0,79.08279418945312,100.0,162.24546813964844,0.0008841081267786,0.0100863433522835,0.48,-1.0,70.45173158598938,75.0,18432,6.19805,0.0666323,0.0,5.43725,0.0396932,0.0,4.28128,0.0392537,0.0,6.579431899999998e-209
6,"(2.0, 0.5, 0.45)",111.37292,80.55572,156.80057,14.459356,5.156713,57.6223,2359296.0,"(2.0, 0.5, 0.45)",0.0049546271481055,0.3,-0.5,0.7330189169530615,50.0,111.37291717529295,0.0008841081267786,0.0035826991337455,0.24,-0.3,0.0463256239211837,0.0,147456,5.70063,0.0545428,0.0,5.01445,0.0274168,0.0,3.96747,0.0272414,0.0,9.914206800000001e-27
7,"(2.0, 1.0, 0.044)",52155.28,40917.543,66751.11,7.146744,4.1613603,11.858514,2359296.0,"(2.0, 1.0, 0.044)",0.0041588972434954,0.7,-1.0,59650.12726085266,50.0,47614.56640625,0.0008841081267786,0.0039198413110589,0.9,-1.06,96565.42384183436,125.0,124416,128.321,0.0576001,0.0,108.805,0.0330785,0.0,86.912,0.0368457,0.0,6.497095200000001e-32
8,"(2.0, 1.0, 0.065)",19633.502,15193.773,24351.654,6.894701,3.830083,11.340195,2359296.0,"(2.0, 1.0, 0.065)",0.0060895765618801,1.3,-1.1,52370.68213121422,200.0,17718.279296875,0.0008841081267786,0.0060895469182489,1.24,-1.1,52241.07247445066,150.0,52488,77.2226,0.061088,0.0,66.6627,0.0346117,0.0,53.2874,0.0378904,0.0,2.0298893999999998e-76
9,"(2.0, 1.0, 0.096)",7266.4287,5655.2495,9213.691,7.855345,3.9501693,14.997997,2359296.0,"(2.0, 1.0, 0.096)",0.0143559730037221,1.1,-1.1,17060.296034047497,200.0,6661.39697265625,0.0008841081267786,0.0143551964498769,0.92,-1.1,15300.312180337449,100.0,9216,48.6035,0.0566619,0.0,41.8616,0.0303726,0.0,33.5545,0.0342044,0.0,0.0
10,"(2.0, 1.0, 0.141)",2767.6428,2107.4397,3624.613,9.346295,4.4366183,18.438637,2359296.0,"(2.0, 1.0, 0.141)",0.0065098515127116,0.5,-0.9,987.879435221354,50.0,2767.642822265625,0.0008841081267786,0.0051230884348164,0.47,-0.9,832.9444758972701,0.0,73728,27.9732,0.0620889,0.0,24.21,0.0352607,0.0,19.342,0.0379049,0.0,3.2706719999999996e-54
11,"(2.0, 1.0, 0.208)",996.8963,720.6258,1346.778,11.7962475,5.020336,41.552288,2359296.0,"(2.0, 1.0, 0.208)",0.018130493312181,1.3,-1.2,3672.5725534709663,50.0,892.3428344726562,0.0008841081267786,0.0181301952016632,1.37,-1.2,3605.824204946245,100.0,5832,14.9062,0.0699267,0.0,12.941,0.0432065,0.0,10.184,0.0444327,0.0,0.0
