filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
0,"(2.0, 0.5, 0.044)",20397.29307574245,16194.46078289561,25216.805886893628,5.099620618840751,2.251900209358107,14.377172156615313,175584000.0,"(2.0, 0.5, 0.044)",0.0051391270169429,3.4,-0.8,45638.152282207455,200.0,17972.74187788385,0.0001024907856945806,0.00457742695389618,3.0,-0.77,43391.228053566665,225.0,85734
1,"(2.0, 0.5, 0.065)",10009.518727581824,7561.88558316028,13399.174065369823,9.384008539225649,4.8545356018063845,19.2314607865169,175584000.0,"(2.0, 0.5, 0.065)",0.0083748118478678,0.8,-0.8,8824.573729520667,200.0,8129.191624688,0.0001024907856945806,0.006577748869216027,0.9,-0.83,10579.760387305338,300.0,42867
2,"(2.0, 0.5, 0.096)",4311.303903065232,3105.1995542700843,5915.609774727455,13.84117014439876,7.894160497326395,20.828525587233777,175584000.0,"(2.0, 0.5, 0.096)",0.0069311434690504,0.3,-0.5,25.425635709911536,200.0,3433.370782056681,0.0001024907856945806,0.006399749223986229,0.3,-0.46,22.151087658269642,250.0,42867
3,"(2.0, 0.5, 0.141)",1111.4661897106212,781.8647606354463,1530.494685560254,15.98293852439917,8.77334513975149,38.61608957041371,175584000.0,"(2.0, 0.5, 0.141)",0.0066632587630248,0.2,-0.2,0.0238078252476738,100.0,961.6334472182499,0.0001024907856945806,0.004988117685492899,0.2,-0.21,0.023982185899522234,125.0,72337
4,"(2.0, 0.5, 0.208)",214.96287357514157,143.80008483245012,358.379769692045,26.067423363128444,8.71606541970856,167.25400512237454,175584000.0,"(2.0, 0.5, 0.208)",0.0036063959201454,0.1,1.0,4.5175661977783684e-13,0.0,214.96287357514157,0.0001024907856945806,0.0036063959201454,0.1,1.0,4.5175661977783684e-13,0.0,144675
5,"(2.0, 0.5, 0.306)",37.560993030379954,23.901391889707345,74.30451483036504,50.140194177047086,7.410489703443362,280.5945499039238,175584000.0,"(2.0, 0.5, 0.306)",0.0043348423461531,0.1,1.3,2.584324118484458e-14,50.0,33.91154753568637,0.0001024907856945806,0.0036976359234480206,0.1,1.2,3.6764738961179074e-14,25.0,128601
6,"(2.0, 0.5, 0.45)",18.268164782351413,12.117597847139916,45.24002925533128,65.01906436467539,7.325680294523392,359.8511197220137,175584000.0,"(2.0, 0.5, 0.45)",0.0058302939934229,0.1,1.4,9.23288916353266e-15,50.0,16.378533355175414,0.0001024907856945806,0.004719637798715093,0.1,1.4,9.547625198342386e-15,25.0,85734
7,"(2.0, 1.0, 0.044)",23523.07046830095,19219.613050886397,29913.91288466533,5.302529550380589,1.4964854990202257,22.8078848061782,175584000.0,"(2.0, 1.0, 0.044)",0.0017942790242079,1.2,-0.3,23084.25153386787,100.0,21714.336438805676,0.0001024907856945806,0.001712171432180129,1.1,-0.25,19960.324926934303,100.0,651042
8,"(2.0, 1.0, 0.065)",11778.21347390997,8638.387784000148,15732.721146650309,10.972392660576508,4.461307760911784,31.813787034954405,175584000.0,"(2.0, 1.0, 0.065)",0.0056344366988894,0.7,-0.5,4955.7781109105445,200.0,9540.400668075086,0.0001024907856945806,0.004722182592789448,0.8,-0.57,7076.957116748868,250.0,85734
9,"(2.0, 1.0, 0.096)",5777.386080434321,4076.88108861361,7940.351955316487,16.551845906382304,7.925149058659885,33.37110735116396,175584000.0,"(2.0, 1.0, 0.096)",0.0077595842646712,0.2,0.4,0.0238451762698279,200.0,4615.885883563816,0.0001024907856945806,0.0067571718484740195,0.25,0.0,1.5264172895382988,200.0,40686
