filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
0,"(2.0, 0.5, 0.044)",24111.88829402033,19052.401644843205,30447.957447433404,5.579920560729827,2.075282994746964,14.19246063404869,136161000.0,"(2.0, 0.5, 0.044)",0.0035499701906055,1.1,-0.4,22051.155694366375,200.0,22016.318735981517,0.0001163859029158,0.002944882503688,0.99,-0.4,19715.841656286088,125.0,224383,121.564,0.0241861,0.0,106.73,0.00468179,0.0,88.263,0.0109409,0.0,0.0
1,"(2.0, 0.5, 0.065)",11877.167756236777,8706.483887672897,16085.37980268836,10.964418280221514,5.169126760581655,17.98016261739327,136161000.0,"(2.0, 0.5, 0.065)",0.0059377536406508,0.5,-0.5,1653.8191885901144,200.0,9764.085897328549,0.0001163859029158,0.0044141044444713,0.5,-0.46,1524.1143071504348,225.0,99726,68.9854,0.0357144,0.0,60.4221,0.0107354,0.0,48.5184,0.0148248,0.0,0.0
2,"(2.0, 0.5, 0.096)",4272.713551058823,3134.622664779462,5762.139706824626,12.807588253034794,6.8521903870587995,22.106602037388267,136161000.0,"(2.0, 0.5, 0.096)",0.0042127381456766,0.3,-0.3,15.656528541751255,200.0,3603.6772169040287,0.0001163859029158,0.0039659313070593,0.3,-0.31,16.311405472021736,175.0,112191,36.259,0.0441556,0.0,31.7728,0.0183859,0.0,24.8554,0.0199905,0.0,0.0
3,"(2.0, 0.5, 0.141)",1078.9326645583983,776.5054411751843,1487.4053945245928,14.176788584506902,6.5766980767489045,46.78859218342331,136161000.0,"(2.0, 0.5, 0.141)",0.0040138171543024,0.2,0.0,0.0137563573824108,50.0,1034.6410041726742,0.0001163859029158,0.0027697373534698,0.2,-0.01,0.014535270512723,25.0,252430,17.4294,0.0493983,0.0,15.2963,0.0232403,0.0,11.9268,0.0238711,0.0,0.0
4,"(2.0, 0.5, 0.208)",218.2092374296753,150.5232195121832,373.6276881153317,26.42727055873376,6.84699297614982,183.2100277163214,136161000.0,"(2.0, 0.5, 0.208)",0.0030095085572773,0.1,1.4,1.2720186652954017e-13,0.0,218.2092374296753,0.0001163859029158,0.0025516763529761,0.11,1.1,1.7606781156935663e-11,0.0,299181,7.58671,0.0520507,0.0,6.67912,0.0254999,0.0,5.22765,0.0253091,0.0,0.0
5,"(2.0, 0.5, 0.306)",39.82094326182208,25.61052264986215,77.37143210454586,48.92218439540713,6.457623067753796,273.27715881148686,136161000.0,"(2.0, 0.5, 0.306)",0.0035062367263845,0.1,1.3,3.1503402429304824e-14,0.0,39.82094326182208,0.0001163859029158,0.0028760858056787,0.09,1.6,7.516522931478036e-17,0.0,224383,3.10196,0.0525263,0.0,2.74207,0.0258384,0.0,2.16561,0.0241057,0.0,0.0
6,"(2.0, 0.5, 0.45)",19.318296415708957,12.843037532045122,45.81048919523592,58.40416712166337,6.968505811703492,329.24190928807195,136161000.0,"(2.0, 0.5, 0.45)",0.0039770711013839,0.1,1.7,4.1032202141451016e-15,50.0,17.29808580838844,0.0001163859029158,0.0038900006114643,0.09,2.0,9.915615651272048e-18,25.0,126214,2.22014,0.0506102,0.0,1.96319,0.0241417,0.0,1.55944,0.0213072,0.0,0.0
7,"(2.0, 1.0, 0.044)",29661.968208881182,24103.13076908134,37590.66496390246,5.471542282321549,1.6460458317556534,19.096018151398123,136161000.0,"(2.0, 1.0, 0.044)",0.0014707491806146,0.5,0.7,1186.922847214515,50.0,28201.286849816883,0.0001163859029158,0.001436022403336,0.48,0.8,871.2421939047933,50.0,897543,141.34,0.020721,0.0,123.781,0.00795355,0.0,100.329,0.0131196,0.0,2.5891343999999997e-244
8,"(2.0, 1.0, 0.065)",14517.11343786308,10519.183069678444,19456.750482597763,12.431845519428473,4.327866991380332,26.223461945452705,136161000.0,"(2.0, 1.0, 0.065)",0.0041056434746392,0.5,-0.1,1117.9333596170777,200.0,12100.94343125609,0.0001163859029158,0.0032264910197165,0.38,0.2,154.6369036764094,175.0,179704,82.3577,0.030001,0.0,73.5011,0.00564879,0.0,59.0974,0.00882381,0.0,0.0
9,"(2.0, 1.0, 0.096)",6166.702256197297,4405.732677545718,8462.505196281652,15.420415339698916,6.941411434227848,28.879235475682595,136161000.0,"(2.0, 1.0, 0.096)",0.0045732155666798,0.1,2.4,2.4121584528785253e-13,50.0,5561.438728223642,0.0001163859029158,0.0041948156935061,0.1,2.5,1.8649507422059161e-13,75.0,99726,45.4613,0.0388825,0.0,40.2929,0.0131179,0.0,31.5078,0.0143068,0.0,0.0
10,"(2.0, 1.0, 0.141)",1821.148368404074,1333.737459521347,2560.804172447574,14.766413270845376,6.862524397461469,50.186729607610864,136161000.0,"(2.0, 1.0, 0.141)",0.0030830990993235,0.2,0.2,0.0132142810219368,100.0,1610.58341246199,0.0001163859029158,0.0030830990993235,0.2,0.2,0.0132142810219368,100.0,199453,23.4132,0.0452224,0.0,20.6906,0.0190959,0.0,16.0708,0.0191699,0.0,0.0
11,"(2.0, 1.0, 0.208)",408.8180671324572,282.7502704632588,676.8210459609626,21.98410607190852,6.298958690496851,165.4114011832204,136161000.0,"(2.0, 1.0, 0.208)",0.0038960846333245,0.2,0.1,0.0037506724452764,100.0,385.2946085195961,0.0001163859029158,0.0023397524614814,0.2,0.0,0.0052686821369823,25.0,336577,10.7477,0.0495786,0.0,9.47419,0.0231551,0.0,7.38882,0.0230166,0.0,0.0
12,"(2.0, 1.0, 0.306)",79.91926652878242,53.39881808786243,151.77831671909706,40.51867336723479,6.67268306462807,246.4552714692534,136161000.0,"(2.0, 1.0, 0.306)",0.0020298122464896,0.1,1.3,6.32262475239995e-14,0.0,79.91926652878242,0.0001163859029158,0.0018802535001574,0.11,1.1,6.448494356012649e-12,0.0,531878,4.51171,0.0518018,0.0,3.98655,0.0252137,0.0,3.13076,0.0241652,0.0,0.0
