filter_idx,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
0,136161000.0,1.1,-0.4,0.0035499701906055,200.0,0.99,-0.4,19715.841656286088,0.0029448825036880732,125.0,224383
1,136161000.0,0.5,-0.5,0.0059377536406508,200.0,0.5,-0.46,1524.1143071504348,0.004414104444471323,225.0,99726
2,136161000.0,0.3,-0.3,0.0042127381456766,200.0,0.3,-0.31,16.311405472021736,0.003965931307059398,175.0,112191
3,136161000.0,0.2,0.0,0.0040138171543024,50.0,0.2,-0.01,0.014535270512723065,0.002769737353469859,25.0,252430
4,136161000.0,0.1,1.4,0.0030095085572773,0.0,0.11,1.1,1.7606781156935663e-11,0.002551676352976179,0.0,299181
5,136161000.0,0.1,1.3,0.0035062367263845,0.0,0.09,1.6,7.516522931478036e-17,0.002876085805678774,0.0,224383
6,136161000.0,0.1,1.7,0.0039770711013839,50.0,0.09,2.0,9.915615651272047e-18,0.003890000611464328,25.0,126214
7,136161000.0,0.5,0.7,0.0014707491806146,50.0,0.48,0.8,871.2421939047933,0.001436022403336068,50.0,897543
8,136161000.0,0.5,-0.1,0.0041056434746392,200.0,0.38,0.2,154.6369036764094,0.003226491019716504,175.0,179704
9,136161000.0,0.1,2.4,0.0045732155666798,50.0,0.1,2.5,1.864950742205916e-13,0.004194815693506104,75.0,99726
10,136161000.0,0.2,0.2,0.0030830990993235,100.0,0.2,0.2,0.0132142810219368,0.0030830990993235,100.0,199453
11,136161000.0,0.2,0.1,0.0038960846333245,100.0,0.2,0.0,0.005268682136982301,0.002339752461481437,25.0,336577
12,136161000.0,0.1,1.3,0.0020298122464896,0.0,0.11,1.1,6.4484943560126485e-12,0.0018802535001574139,0.0,531878
13,136161000.0,0.1,1.5,0.0045624686868898,50.0,0.09,1.9,1.4445715985598403e-17,0.003913720214582916,50.0,126214
14,136161000.0,1.3,-0.6,0.0019269723187865,100.0,1.2,-0.58,24877.583245085214,0.0018553568579228463,100.0,531878
15,136161000.0,0.6,-0.6,0.002916745836563,200.0,0.55,-0.6,2086.645988143893,0.002248108604784839,125.0,378648
16,136161000.0,0.2,0.0,0.0022918910996867,100.0,0.17,0.2,0.0011279088534177778,0.0018865140393544977,50.0,531878
17,136161000.0,0.1,1.0,0.001143863736009,0.0,0.09,1.3,3.4702759822054658e-15,0.0011245329556370445,0.0,1514602
18,136161000.0,0.1,1.2,0.0037722993082812,50.0,0.09,1.5,2.1628480648863307e-16,0.0025147619051660297,25.0,299181
19,136161000.0,0.1,1.5,0.0050552257762979,100.0,0.11,1.2,1.0408370584422808e-12,0.004923708700580148,100.0,74794
20,136161000.0,0.1,2.1,0.0051745098299607,100.0,0.09,2.4,1.5833945684631828e-18,0.004232107075777647,75.0,99726
21,136161000.0,0.8,-0.2,0.0016651937980281,100.0,0.62,0.0,4648.62146326256,0.0013015135764586905,50.0,1063757
22,136161000.0,0.6,-0.5,0.0016771815012389,100.0,0.47,-0.3,732.1143140251604,0.0012850369369380894,75.0,1063757
23,136161000.0,0.2,0.2,0.0018543128010126,100.0,0.17,0.5,0.0004991629624314576,0.0017625457083765284,100.0,598362
24,136161000.0,0.1,1.2,0.001530792367335,50.0,0.1,1.2,8.534196494505609e-13,0.001530792367335,50.0,797817
25,136161000.0,0.1,1.2,0.0029074512346831,50.0,0.09,1.6,2.1361015864344452e-16,0.002667150426002185,75.0,265939
26,136161000.0,0.1,1.4,0.0055761209980557,100.0,0.09,1.8,2.1551981952165333e-17,0.005107783511936637,125.0,74794
27,136161000.0,0.1,2.0,0.0053603612635909,200.0,0.09,2.4,1.3923769498080357e-18,0.005358755976611895,200.0,66484
28,136161000.0,0.8,-0.1,0.0018924421625508,100.0,0.65,0.1,4008.5428196288526,0.0017895103746798924,75.0,598362
29,136161000.0,0.6,-0.5,0.0019775636195172,100.0,0.42,-0.2,272.22664019670094,0.001453857504190692,50.0,897543
30,136161000.0,0.1,1.7,0.0021578318477368,0.0,0.12,1.3,2.4915382565713773e-09,0.0015539389033812911,25.0,797817
31,136161000.0,0.1,1.3,0.0024308446475395,50.0,0.09,1.4,1.588643378246661e-15,0.0024083843898589086,0.0,336577
32,136161000.0,0.1,1.8,0.0053878108452883,200.0,0.09,2.0,1.7429842468234634e-17,0.004476039588621389,125.0,94659
33,136161000.0,0.1,1.9,0.0062463121353171,200.0,0.1,1.8,2.2818749173793907e-15,0.005588399594794135,175.0,56095
34,136161000.0,0.1,2.4,0.0051211363995492,200.0,0.09,2.7,5.58340983319169e-19,0.004503493921185542,150.0,94659
35,136161000.0,0.1,9.2,0.0011800033384401,50.0,0.1,9.2,7.542751282019783e-17,0.0011800033384401,50.0,1346314
36,136161000.0,0.3,0.6,0.0012524291570152,50.0,0.33,0.4,20.84926439511764,0.001007325056339492,50.0,1795089
37,136161000.0,0.2,0.4,0.001627989109213,50.0,0.17,0.7,0.00021412032410003513,0.001160522548899423,25.0,1346314
38,136161000.0,0.1,1.6,0.0028151349362979,100.0,0.09,1.8,4.314419374965426e-16,0.0020036718203644277,50.0,448771
39,136161000.0,0.1,1.8,0.0046452767240315,200.0,0.09,2.1,1.5230451060548606e-17,0.00418899245467419,175.0,106491
40,136161000.0,0.1,1.4,0.0104474742520828,200.0,0.1,1.6,3.3367695605123502e-15,0.00910624438626817,300.0,22456
41,136161000.0,0.1,1.6,0.014575116942923,200.0,0.1,1.8,8.577004172435311e-16,0.011840256221574808,300.0,13308
