filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
0,"(2.0, 0.5, 0.044)",17819.649814859404,14133.666150875528,22397.163289301727,5.22074829791597,2.2923637344311754,18.383723902537746,97416000.0,"(2.0, 0.5, 0.044)",0.0034768289176119,0.4,0.0,426.3534261642352,0.0,17819.649814859404,0.00013759757095388865,0.0026633745850483947,0.4,-0.02,438.7064841414794,0.0,270901
1,"(2.0, 0.5, 0.065)",9613.998901525669,7362.58151978682,12698.829089903962,8.201643176584255,3.945241272346192,18.094728067045292,97416000.0,"(2.0, 0.5, 0.065)",0.0024520446744697,0.1,3.8,2.3395385791566696e-14,50.0,9320.731672170841,0.00013759757095388865,0.0021380208150744706,0.1,3.7,2.848330430500369e-14,25.0,406356
2,"(2.0, 0.5, 0.096)",5046.436757298134,3639.541953593785,6941.209191421879,14.55716479645174,6.848337296216376,22.125475661153015,97416000.0,"(2.0, 0.5, 0.096)",0.0042644905952876,0.1,3.0,4.6885534796263095e-14,200.0,4244.786754183705,0.00013759757095388865,0.0037590341462721,0.09,3.4,8.278913371723729e-17,150.0,135450
3,"(2.0, 0.5, 0.141)",1729.8332841714628,1220.8148821036507,2365.25748345256,15.32941789761576,7.572455737484524,24.007472856608647,97416000.0,"(2.0, 0.5, 0.141)",0.0044073158851551,0.1,2.6,3.7299478525452684e-14,200.0,1419.7141753043231,0.00013759757095388865,0.0041389911072385755,0.09,3.0,6.578294095135022e-17,175.0,107023
4,"(2.0, 0.5, 0.208)",404.0155458055259,281.8607468411368,555.3733259174845,15.687551110417758,7.403453538594,60.71471157209029,97416000.0,"(2.0, 0.5, 0.208)",0.0045524167161233,0.1,2.6,8.742077139338536e-15,200.0,339.3354871465396,0.00013759757095388865,0.0038952603792439255,0.09,3.0,1.5723225633690343e-17,150.0,120400
5,"(2.0, 0.5, 0.306)",69.99768141064843,47.01194603621134,117.31954045552972,29.97617935314132,5.976962706978292,184.7012801721895,97416000.0,"(2.0, 0.5, 0.306)",0.0042615896650741,0.1,2.5,1.984647091771378e-15,100.0,59.183832303143326,0.00013759757095388865,0.004074657746826527,0.09,2.9,3.442215812788047e-18,100.0,107023
6,"(2.0, 0.5, 0.45)",33.08913231058852,22.658989700809105,72.77329941476114,48.87599757178899,5.926790842971644,289.257781426906,97416000.0,"(2.0, 0.5, 0.45)",0.0039322483769825,0.1,2.6,7.400040764745577e-16,100.0,28.246008987971837,0.00013759757095388865,0.0038518445450884675,0.1,2.5,9.47190430403223e-16,75.0,120400
7,"(2.0, 1.0, 0.044)",22268.46685407241,18051.94098854425,28577.94468864173,6.060725005405196,2.4361490167957904,35.173910409576166,97416000.0,"(2.0, 1.0, 0.044)",0.0037692405925174,0.3,0.4,27.656097452060088,0.0,22268.46685407241,0.00013759757095388865,0.00289906056680711,0.38,0.0,377.0381402563025,0.0,214047
8,"(2.0, 1.0, 0.065)",10992.351838833943,8276.17778569553,14739.030290027566,9.817106045210556,3.6885638492002504,32.816410908870836,97416000.0,"(2.0, 1.0, 0.065)",0.0022873058988322,0.1,4.1,1.590382756738161e-14,50.0,10331.210280484813,0.00013759757095388865,0.0022873058988322,0.1,4.1,1.590382756738161e-14,50.0,361203
9,"(2.0, 1.0, 0.096)",6058.278152974794,4272.2737782994345,8400.331955666907,17.88733082556018,6.1494130153719535,38.6042996334148,97416000.0,"(2.0, 1.0, 0.096)",0.0034973506970178,0.1,3.5,2.0799853472805287e-14,200.0,4742.190611718667,0.00013759757095388865,0.0034973506970178,0.1,3.5,2.0799853472805287e-14,200.0,152380
